"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_1_36032_36153_+" 0 0 0 0 0
"scaffold_1_51116_51250_+" 0 0 0 0 0
"scaffold_1_100758_100798_+" 0 0 0 0 0
"scaffold_1_120712_120756_+" 0 0 0 0 0
"scaffold_1_123342_123407_+" 0 0 0 0 0
"scaffold_1_157367_157631_+" -1 0 0 0 0
"scaffold_1_162005_162076_+" 0 0 0 0 0
"scaffold_1_163634_163763_+" 0 0 0 0 0
"scaffold_1_168216_168320_+" 0 0 0 0 0
"scaffold_1_193033_193076_+" 0 0 0 0 0
"scaffold_1_213599_213638_+" 0 0 0 0 0
"scaffold_1_216826_216959_+" 0 0 0 0 0
"scaffold_1_224641_224784_+" 0 0 0 0 0
"scaffold_1_226506_226520_+" 0 0 0 0 0
"scaffold_1_230618_230693_+" 0 0 0 0 0
"scaffold_1_234741_234787_+" 0 0 0 0 0
"scaffold_1_338746_338806_+" -1 1 1 -1 0
"scaffold_1_342937_343098_+" 0 0 0 0 0
"scaffold_1_387184_387577_+" -1 0 0 0 0
"scaffold_1_402493_402620_+" 0 0 0 0 0
"scaffold_1_406273_406401_+" 0 0 0 0 0
"scaffold_1_409253_409272_+" 0 0 1 0 0
"scaffold_1_415148_415340_+" 0 0 0 0 0
"scaffold_1_424087_424142_+" 0 0 0 0 0
"scaffold_1_442719_442888_+" 0 0 0 0 0
"scaffold_1_517680_517747_+" 1 1 -1 0 -1
"scaffold_1_532542_532595_+" 0 -1 0 0 0
"scaffold_1_560713_561027_+" 0 0 0 0 0
"scaffold_1_561738_561880_+" 0 0 0 0 0
"scaffold_1_562536_562733_+" 1 -1 0 1 0
"scaffold_1_562852_562992_+" 0 0 0 0 0
"scaffold_1_563095_563168_+" 1 -1 0 1 0
"scaffold_1_563313_563413_+" 0 0 0 0 0
"scaffold_1_563491_563715_+" 1 -1 0 1 0
"scaffold_1_563847_564115_+" 0 -1 0 1 0
"scaffold_1_599178_599364_+" 0 0 0 0 0
"scaffold_1_599463_599519_+" 0 0 0 0 0
"scaffold_1_599726_599744_+" 0 0 0 0 0
"scaffold_1_601246_601435_+" 0 0 0 0 0
"scaffold_1_638780_638910_+" -1 0 0 0 0
"scaffold_1_642019_642165_+" 0 0 0 0 0
"scaffold_1_645396_645539_+" 0 0 0 0 0
"scaffold_1_704266_704358_+" 0 0 0 0 0
"scaffold_1_704457_704735_+" 0 0 0 0 0
"scaffold_1_901885_902022_+" 0 0 0 0 0
"scaffold_1_919754_919923_+" 0 0 0 0 0
"scaffold_1_932293_932366_+" 0 0 0 0 0
"scaffold_1_934085_934235_+" -1 0 0 -1 0
"scaffold_1_957564_957617_+" 0 -1 0 1 0
"scaffold_1_978257_978406_+" 0 0 0 0 0
"scaffold_1_986141_986338_+" 0 0 0 0 0
"scaffold_1_986827_986915_+" 0 0 0 0 0
"scaffold_1_989241_989330_+" 0 0 0 0 0
"scaffold_1_995544_995787_+" 0 0 0 0 0
"scaffold_1_996764_996879_+" 0 0 0 0 0
"scaffold_1_998625_998709_+" 0 0 0 0 0
"scaffold_1_1000768_1001155_+" 0 0 0 0 0
"scaffold_1_1001128_1001478_+" 0 0 0 0 0
"scaffold_1_1002363_1002478_+" 1 0 0 0 0
"scaffold_1_1004679_1004737_+" 1 -1 0 1 0
"scaffold_1_1006298_1006417_+" 0 0 0 0 0
"scaffold_1_1007150_1007434_+" 0 0 0 0 0
"scaffold_1_1008310_1008840_+" 0 0 0 0 0
"scaffold_1_1111383_1111430_+" 0 -1 1 1 1
"scaffold_1_1142650_1142758_+" 1 -1 0 1 0
"scaffold_1_1180782_1180799_+" 0 0 0 0 0
"scaffold_1_1253012_1253144_+" 0 0 0 0 0
"scaffold_1_1256933_1257054_+" 0 0 0 0 0
"scaffold_1_1269184_1269192_+" 0 0 0 0 0
"scaffold_1_1269401_1269416_+" 0 0 0 0 0
"scaffold_1_1327832_1327934_+" 0 -1 0 0 0
"scaffold_1_1359569_1359704_+" 0 0 0 0 0
"scaffold_1_1389414_1389758_+" -1 0 0 -1 0
"scaffold_1_1394040_1394177_+" 0 0 0 0 0
"scaffold_1_1394552_1394701_+" 0 0 0 0 0
"scaffold_1_1403240_1403291_+" 0 0 0 0 0
"scaffold_1_1478689_1478794_+" 1 -1 0 1 0
"scaffold_1_1515498_1515630_+" 0 1 -1 -1 0
"scaffold_1_1588560_1588669_+" 0 1 0 0 0
"scaffold_1_1591689_1591752_+" 0 0 -1 0 0
"scaffold_1_1614038_1614199_+" 1 -1 0 1 0
"scaffold_1_1623598_1623807_+" -1 0 0 -1 0
"scaffold_1_1640768_1640848_+" 0 0 0 0 0
"scaffold_1_1647758_1647859_+" -1 1 1 -1 0
"scaffold_1_1651964_1652012_+" 0 0 -1 0 0
"scaffold_1_1657497_1657553_+" 1 0 -1 1 -1
"scaffold_1_1659741_1659876_+" 1 -1 0 1 0
"scaffold_1_1659898_1660052_+" 0 -1 0 0 0
