"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_182_153327_153902_+" 12.3089546741868 12.1502562089716 137.466349354143 6.94213604657567e-25 3.00774986353937e-20 44.1776191681111
"scaffold_40_709687_709851_-" 11.6110772440636 10.2314197750797 122.196946124417 4.12923610723346e-24 4.73010830155492e-20 42.9253056722468
"scaffold_4_2804474_2807513_-" 12.0729861792568 12.2338058749425 122.001839895632 4.23036406456817e-24 4.73010830155492e-20 43.0444150389828
"scaffold_4_2370068_2370663_+" 12.8027390977091 12.7836276905445 120.751502172528 4.94446369122846e-24 4.73010830155492e-20 43.1421309115015
"scaffold_20_953762_954713_-" 12.2334424614441 11.5942384289181 119.964960780748 5.45874105797318e-24 4.73010830155492e-20 42.9300238645524
"scaffold_18_339393_339729_-" 11.3928089761366 11.3059435696586 116.642063042989 8.35217989649838e-24 6.03110910326148e-20 42.4298064781855
"scaffold_107_74856_75513_-" 11.1973850672088 10.6984323413807 110.749254050164 1.8308764983102e-23 1.08918545406757e-19 41.878260899345
"scaffold_1_1985497_1985815_+" 11.4631551166674 11.3098658856683 110.064372784955 2.01114426269228e-23 1.08918545406757e-19 41.8884804541269
"scaffold_25_421449_422999_-" 10.7978591659196 10.3196698950469 106.80392942473 3.17057525135123e-23 1.45903558992464e-19 41.4128182694716
"scaffold_8_1007080_1007432_-" 11.7941224238739 11.2693562258319 106.193372677348 3.45801751405455e-23 1.45903558992464e-19 41.6103927250412
"scaffold_3_2181819_2182172_-" 13.135167726386 12.5103772168125 105.711752651963 3.70433261532821e-23 1.45903558992464e-19 41.854745205163
"scaffold_115_212918_213301_+" 13.0910436740488 12.0995641262179 104.829371622953 4.2054507031645e-23 1.51837797637754e-19 41.7562041925815
"scaffold_104_349273_350077_+" 11.2290897522932 11.3897237811675 103.819682421019 4.86895334115521e-23 1.62270978814531e-19 41.2411279310095
"scaffold_38_282087_284114_+" 10.812142101195 10.924342144437 102.860354072655 5.60350345732121e-23 1.73412421994214e-19 41.0403406418887
"scaffold_241_38542_39566_-" 10.1868622607348 10.183860527745 101.969932957396 6.39161301302228e-23 1.78135282909021e-19 40.783553846333
"scaffold_25_1177514_1178408_-" 10.805033411868 10.6838230663938 100.827210192286 7.58033927327801e-23 1.78135282909021e-19 40.833566915637
"scaffold_187_95661_96543_+" 11.0475894541638 10.3057755251255 100.439663847342 8.03529779491129e-23 1.78135282909021e-19 40.8537691950025
"scaffold_97_57250_57427_+" 11.9762825856833 10.5650473580762 100.074328241972 8.49090367880872e-23 1.78135282909021e-19 41.025929244145
"scaffold_63_379025_379198_+" 10.750172855834 11.1594770416542 100.051498493541 8.52027395939608e-23 1.78135282909021e-19 40.7410737093784
"scaffold_4_2366338_2367285_+" 11.6842402648808 11.6996115435365 100.011183181184 8.57240405031303e-23 1.78135282909021e-19 40.9566558237066
"scaffold_3_466366_466648_-" 12.7887921605007 11.7708182843839 99.9637519783439 8.63417103145788e-23 1.78135282909021e-19 41.176934845014
"scaffold_5_2220526_2223109_+" 11.0144772915147 11.4085072739672 98.6306271565654 1.05795178648542e-22 2.08349177733034e-19 40.6559887461635
"scaffold_94_359567_360130_-" 10.5066968036042 10.0645717539898 98.1944196936267 1.13135454981914e-22 2.13117683588974e-19 40.4854994131538
"scaffold_83_528610_529502_-" 11.0261419635679 11.4065863608681 97.3731051802142 1.28470524831067e-22 2.18807479953444e-19 40.5228357596104
"scaffold_1_3274884_3275496_-" 10.0738281698584 9.86859056810724 97.1159733086462 1.33715609836749e-22 2.18807479953444e-19 40.2592401032501
"scaffold_37_993365_993765_-" 11.4161405723287 10.8911229144225 96.9546320128636 1.37122909928968e-22 2.18807479953444e-19 40.5641936611085
"scaffold_30_429654_430725_-" 11.3029400701951 11.6136386371193 96.5992239328615 1.44959435758343e-22 2.18807479953444e-19 40.4995607457997
"scaffold_4_3049055_3049963_-" 10.1124774315635 10.4220927622685 96.4401735163768 1.48619778052473e-22 2.18807479953444e-19 40.197531697414
"scaffold_38_865901_866450_+" 10.1333954665285 10.1578308014279 96.2933818098284 1.52085501705035e-22 2.18807479953444e-19 40.1867329654493
"scaffold_69_643230_643535_-" 10.9548143838722 10.3126941567035 96.1940840677008 1.54478683460462e-22 2.18807479953444e-19 40.3765615883086
"scaffold_7_1618433_1618888_-" 10.252000139368 10.6771014324414 96.0205496349235 1.58757947537787e-22 2.18807479953444e-19 40.1875361088559
"scaffold_51_57736_58069_-" 10.2080360631396 9.20586109125442 95.827302623309 1.63672455147781e-22 2.18807479953444e-19 40.1559166456526
"scaffold_7_1474887_1476022_-" 10.0036710823653 9.84071567689131 95.7128827539727 1.66658515405615e-22 2.18807479953444e-19 40.0904006475466
"scaffold_1577_2000_2153_+" 11.1060619174561 11.2442514314215 95.5115087199018 1.72055788536247e-22 2.19249679238866e-19 40.3328720794104
"scaffold_24_1139127_1139404_+" 10.3413372150358 10.127418795907 94.5903785195128 1.99231435219878e-22 2.46625747495326e-19 40.0525461506018
"scaffold_505_20038_20957_-" 10.5027963453295 11.117600852185 94.3060447106265 2.08517316540649e-22 2.50950590456671e-19 40.0588981547446
"scaffold_152_84220_85007_-" 9.90905267182723 9.91618299951175 93.1141270349266 2.52772187203645e-22 2.9192165713076e-19 39.7788317582839
"scaffold_23_1335525_1335753_-" 9.86319616661494 9.72280999550215 92.6970557667253 2.70538998308061e-22 2.9192165713076e-19 39.719486316129
"scaffold_7_575860_576331_+" 12.5709809958369 11.9906415737111 92.6807310013376 2.71260939565319e-22 2.9192165713076e-19 40.2845223494388
"scaffold_675_14770_15293_+" 10.2432370691269 10.3184877496868 92.5926911370856 2.75189948574139e-22 2.9192165713076e-19 39.801514237878
"scaffold_182_154032_155098_+" 10.4911565890741 10.2719633372966 92.5691772761941 2.76249548593481e-22 2.9192165713076e-19 39.8566911543946
"scaffold_4_2235029_2235849_+" 10.3646262533375 10.3426833761055 91.5853543607563 3.24724106201527e-22 3.29556081236439e-19 39.7115289991869
"scaffold_958_4146_5529_+" 12.9636898950277 14.3791850093278 91.5416753799878 3.27076385846072e-22 3.29556081236439e-19 40.2056194881412
"scaffold_5_61672_62339_+" 9.75460324798367 9.48030317886249 91.06737875739 3.53821156115376e-22 3.44605688829446e-19 39.5043949347338
"scaffold_8_1574602_1575015_-" 10.46580540974 9.98895214802829 90.998074744104 3.57920324916333e-22 3.44605688829446e-19 39.6655142598654
"scaffold_11_1577934_1578255_-" 10.7388179464168 9.95193143114196 90.5967367805351 3.82675767232305e-22 3.60430658502323e-19 39.6772539176258
"scaffold_5_2474681_2475168_-" 10.3878481361639 10.6165157357304 89.8307553750422 4.3513321264953e-22 3.9604293922638e-19 39.5071850670812
"scaffold_129_52392_52786_+" 11.6599485466178 11.6220645170936 89.7813784128563 4.38767970338047e-22 3.9604293922638e-19 39.7581211286756
"scaffold_1_560604_561920_+" 12.2858362332198 11.9586993849657 89.5582113163484 4.55604237261338e-22 4.02847126195607e-19 39.839077793024
"scaffold_62_508856_510613_+" 10.5270926603823 10.5754886871877 89.1358891246396 4.89379023517403e-22 4.240567114583e-19 39.4524790106796
"scaffold_43_161133_162074_+" 9.61710944316413 10.4657251996353 88.7993573302416 5.18201978636689e-22 4.37553724631616e-19 39.2004415161579
"scaffold_3_1731806_1732506_+" 9.58479489648045 10.1803393858126 88.5332339794183 5.42274878897367e-22 4.37553724631616e-19 39.159626231097
"scaffold_11_1049426_1050088_+" 10.1253962032968 9.88491527963826 88.5137063639778 5.44087636376435e-22 4.37553724631616e-19 39.2861592318847
