"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_1_51100_51250_+" 5.17259277280458 4.97703974251072 40.1555013168404 0 0 797.365559107118
"scaffold_1_100602_101573_+" 7.24988652679958 7.15780646686418 92.5426261768258 0 0 4271.8985884908
"scaffold_1_163633_164010_+" 6.01058764267734 5.61210860939501 56.0607930033571 0 0 1562.06337504796
"scaffold_1_224588_225825_+" 6.2048581628514 6.26467311418595 59.6911413558471 0 0 1772.06822026804
"scaffold_1_386992_387787_+" 5.30045367854493 5.54274391274666 42.2782914003315 0 0 884.791456090746
"scaffold_1_406224_406444_+" 5.9761414986251 5.71431811996834 55.3594309311087 0 0 1523.01015819943
"scaffold_1_442719_443208_+" 5.40491869790431 5.27414101189865 43.97223932347 0 0 957.788710928096
"scaffold_1_517680_517831_+" 7.62034280505465 5.55102474814103 107.338990527645 0 0 5750.38853389969
"scaffold_1_560604_561920_+" 11.7758789256786 11.9586993862444 840.786579196559 0 0 353446.452563322
"scaffold_1_562332_563168_+" 9.98362788599771 10.2493057205197 298.014009120986 0 0 44393.6824897571
