"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_182_153327_153902_+" 12.0512234068636 12.1502562089716 165.723590321518 4.09029773705199e-26 1.77216239755515e-21 47.1433143660219
"scaffold_47_126646_127258_-" 14.0017345777898 11.5949692102418 158.228698269689 8.24551721871582e-26 1.78622639509041e-21 47.2296095950111
"scaffold_4_2804474_2807513_-" 11.9900833178841 12.2338058749425 150.455229942712 1.76851748391596e-25 2.55409295027142e-21 46.254170021902
"scaffold_958_4146_5529_+" 15.4913510632217 14.3791850093278 143.423490477746 3.65137295110592e-25 3.72161394078689e-21 46.2819013131324
"scaffold_18_339393_339729_-" 11.1921676959895 11.3059435696586 141.533441266668 4.46389483696091e-25 3.72161394078689e-21 45.4545695943597
"scaffold_4_2370068_2370663_+" 12.2435095302771 12.7836276905445 140.196669936732 5.15387611243164e-25 3.72161394078689e-21 45.6351692107742
"scaffold_104_349273_350077_+" 11.3782010426201 11.3897237811675 132.215292257564 1.25215258819989e-24 5.57196447966398e-21 44.8320897295277
"scaffold_1_1985497_1985815_+" 11.1851880583318 11.3098658856683 132.13692936998 1.26344549976587e-24 5.57196447966398e-21 44.7780045278545
"scaffold_43_161133_162074_+" 10.7319357312928 10.4657251996353 131.456286174612 1.36622447073421e-24 5.57196447966398e-21 44.6091746861396
"scaffold_63_379025_379198_+" 11.1085807592779 11.1594770416542 131.424811031622 1.37118792746428e-24 5.57196447966398e-21 44.7043724542829
"scaffold_5_2220526_2223109_+" 11.4333529506708 11.4085072739672 130.438825563978 1.53682466349298e-24 5.57196447966398e-21 44.7067153622187
"scaffold_958_486_1593_-" 14.704439470085 12.7068542781469 130.135226734797 1.59202458390734e-24 5.57196447966398e-21 45.2284317724802
"scaffold_7_1618433_1618888_-" 10.7618798119479 10.6771014324414 129.307649117221 1.75350594720881e-24 5.57196447966398e-21 44.4520102822888
"scaffold_83_528610_529502_-" 11.4396547145056 11.4065863608681 128.7040157221 1.88226323736237e-24 5.57196447966398e-21 44.5711799643845
"scaffold_241_38542_39566_-" 10.2439339999035 10.183860527745 128.495362077575 1.92908339553524e-24 5.57196447966398e-21 44.2503399748683
"scaffold_30_429654_430725_-" 11.5815956686085 11.6136386371193 125.198675814766 2.85943338770368e-24 7.17314029945256e-21 44.3134676964749
"scaffold_107_74856_75513_-" 10.4908211651694 10.6984323413807 124.878729481286 2.97240055198499e-24 7.17314029945256e-21 44.0275234576124
"scaffold_4_3049055_3049963_-" 10.3454272033655 10.4220927622685 124.803690765358 2.99957807810898e-24 7.17314029945256e-21 43.9850264934809
"scaffold_3_1731806_1732506_+" 10.3386281423655 10.1803393858126 124.372227740986 3.16107368633776e-24 7.17314029945256e-21 43.947770623315
"scaffold_38_282087_284114_+" 10.5642819584435 10.924342144437 123.873708159904 3.35928617387059e-24 7.17314029945256e-21 43.9638443447915
