"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_182_153327_153902_+" 12.1434146054091 12.1502562089716 163.415869425315 5.05836408739694e-26 1.46254999579622e-21 46.8855487102496
"scaffold_4_2804474_2807513_-" 12.5855015599455 12.2338058749425 158.336924434607 8.16055678221507e-26 1.46254999579622e-21 46.743103114774
"scaffold_4_2370068_2370663_+" 13.3081597842908 12.7836276905445 156.09615708952 1.01270599348859e-25 1.46254999579622e-21 46.8122198438328
"scaffold_20_953762_954713_-" 12.0825490261388 11.5942384289181 142.872848232996 3.87042404498196e-25 3.43055540074951e-21 45.6447688400476
"scaffold_505_20038_20957_-" 12.0180776687526 11.117600852185 141.517391883284 4.47156838612303e-25 3.43055540074951e-21 45.5334116404238
"scaffold_18_339393_339729_-" 11.3586134350984 11.3059435696586 140.952522462939 4.75080376782926e-25 3.43055540074951e-21 45.3128274079459
"scaffold_4_2366338_2367285_+" 12.4882050138306 11.6996115435365 134.99660396078 9.13557347754921e-25 4.57629760186856e-21 45.184891544821
"scaffold_38_282087_284114_+" 11.352553751772 10.924342144437 134.825893900368 9.31232738322057e-25 4.57629760186856e-21 44.8843422891488
"scaffold_63_379025_379198_+" 11.4773050656309 11.1594770416542 134.625406410621 9.52457932870306e-25 4.57629760186856e-21 44.903350059394
"scaffold_1_1985497_1985815_+" 11.3318153341085 11.3098658856683 131.224104741577 1.40329372205406e-24 4.57629760186856e-21 44.6099818261605
"scaffold_104_349273_350077_+" 11.501956444928 11.3897237811675 130.920087820041 1.4534609518453e-24 4.57629760186856e-21 44.6320133325107
"scaffold_5_2220526_2223109_+" 11.6462956473322 11.4085072739672 130.745147493124 1.48319229945973e-24 4.57629760186856e-21 44.6544311630632
"scaffold_47_126646_127258_-" 12.5551098891957 11.5949692102418 130.029625541806 1.61171708378927e-24 4.57629760186856e-21 44.8111132854204
"scaffold_958_4146_5529_+" 14.2119327429124 14.3791850093278 129.092985516824 1.7981846693556e-24 4.57629760186856e-21 45.0652642738033
"scaffold_83_528610_529502_-" 11.6207988061846 11.4065863608681 128.427624170342 1.94454890470391e-24 4.57629760186856e-21 44.4661014030942
"scaffold_43_161133_162074_+" 10.7614719876681 10.4657251996353 128.352659671839 1.96181853880485e-24 4.57629760186856e-21 44.2366601931846
"scaffold_8_1007080_1007432_-" 11.7567210911135 11.2693562258319 128.330883731301 1.96686566765153e-24 4.57629760186856e-21 44.4917048909301
"scaffold_4_3049055_3049963_-" 10.7005157253911 10.4220927622685 127.818211512773 2.08977888300386e-24 4.57629760186856e-21 44.178425334634
