mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 29.6784330291997 27.5671406582336 27.5258538843433 17.5523517125888 26.4534047340617 31.5570349528382 23.733636248165 34.5451960139759 -0.329591300777536 4.97572932966088 -1.6253872458553 0.14505959752311 0.228573831497749 -6.20642682804196 0.228573831497749 0.0218878857139856 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 133.092210455506 110.542574722387 125.530130144398 148.113793621571 173.809791546173 156.083827447884 111.207981482015 150.944897945701 0.385842157885348 7.30531423016884 2.28874780266836 0.0533211902153235 0.111088435441088 -5.31554275083942 0.111088435441088 0.0204749803775028 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 8.46705160150253 5.30442372554335 9.69141205511912 8.14218275199546 13.612536915731 5.09358150328123 5.18841056926057 9.93446941945723 0.648068506807234 3.24625608311628 2.03336223578818 0.0786369725430471 0.145831413477663 -4.97947073503646 0.145831413477663 0.0294100756935277 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00747687246070172 0.00426258370349708 6.35802149544656 0 9.06774059240901 0 6.50053989915236 8.05585136239323 0.232758217965222 1.19437580700917 0.132776098941282 0.897847288682793 0.928963998533444 -5.66607772114962 0.928963998533444 0.477054159300542 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 38.3776733592051 35.0354005820702 33.9399631764019 16.5806615485132 12.7352314687053 18.4852033846704 20.6938479912641 16.7403053295248 -0.721766266253102 4.71586237868816 -5.0144967206122 0.00123706774976275 0.00769521129861581 -1.16600875434185 0.00769521129861581 0.0189492207901641 scaffold_1 157386 157461 + 1
scaffold_1_162014_162063_+ 8.70483661359288 8.82691733161437 8.95408811007691 0 0 6.90688354504577 5.09654161920048 7.1828437762873 -3.9164985791872 2.19652232819016 -4.93568683981452 0.00135940344500031 0.00812587086574471 -1.21373669607244 0.00812587086574471 0.0251133332810871 scaffold_1 162014 162063 + 1
scaffold_1_163697_163750_+ 32.9517027795346 34.8963506693171 34.3056381118345 32.6507235228661 26.906544025322 40.8954187411089 50.7568302287397 44.2655430102727 -0.313603153308453 5.41286473131798 -2.67308287279659 0.029779588390054 0.0729130917470352 -4.70908412808669 0.0729130917470352 0.0172098860772792 scaffold_1 163697 163750 + 0
scaffold_1_168298_168301_+ 13.4374649360983 11.4094050300222 11.8797675984905 5.54559518356554 0.00316766237134702 11.707432358383 6.86719841849791 0 -1.86147046153592 2.45951603566319 -1.14253850867663 0.28823145209935 0.392913102640921 -5.09369175237474 0.392913102640921 0.0578127685944206 scaffold_1 168298 168301 + 0
scaffold_1_193052_193068_+ 19.5767327068177 17.6549675037846 17.8180587480557 29.9051069677676 18.2753466434733 17.8682162457938 7.96490480567796 9.3866935779448 0.788883746988166 4.25722779106502 2.97165106745399 0.0190731292366025 0.0524639856878237 -4.11501140072184 0.0524639856878237 0.0310226507908465 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 8.08261914734826 5.7114099218475 10.5343330289928 11.5383587912297 14.832630258544 9.23831023259824 12.6238960030728 9.90848982565774 0.581896410264442 3.58991348915686 2.85036798000191 0.0228345298104234 0.0598825694204329 -3.99454548841118 0.0598825694204329 0.024832938090755 scaffold_1 213623 213627 + 0
scaffold_1_216878_216897_+ 5.59892044361504 6.78753567658232 5.84732802146797 6.90711535839782 5.75849291342516 6.26818722086542 5.56327932370563 6.49646780230999 0.135849497356633 2.93109818022684 0.478103407763999 0.646137917655592 0.729036066835962 -6.25712206658438 0.729036066835962 0.0247810717838201 scaffold_1 216878 216897 + 0
scaffold_1_224681_224753_+ 39.8374845078853 74.9352141438752 69.8981704562165 72.7276217509694 178.326255784977 55.7709556438668 85.2097844738583 38.9167108636876 1.0493093002917 6.31676365401 2.53133933130366 0.0368860115539783 0.0854215919870476 -4.96271893682753 0.0854215919870476 0.0965387945839082 scaffold_1 224681 224753 + 0
scaffold_1_226515_226518_+ 32.6447674218647 43.2990267353999 28.5913081230174 36.1556040791121 34.8748083655102 24.5638828555843 16.6975948366604 9.364856959858 0.683783828923225 4.92150055700172 2.40059092112714 0.0449792708729571 0.0985312821346483 -5.12081125749482 0.0985312821346483 0.0326046771751132 scaffold_1 226515 226518 + 0
scaffold_1_230668_230676_+ 18.7325498771368 24.7004571573011 15.7678474836226 22.1156253689635 13.9560141064635 24.037298897993 11.3050694784526 10.2296648617 0.172318115043513 4.31352591299417 0.513796436140039 0.622116077260892 0.708851741607661 -7.26210990134529 0.708851741607661 0.0401834964678762 scaffold_1 230668 230676 + 0
scaffold_1_234773_234777_+ 10.1758289065428 10.5881011526846 7.37000572797104 10.5451154449934 10.0754627714458 9.79168565509714 5.93962796659832 0 1.02936435859138 2.92055020386457 1.95238821004639 0.0889057460959935 0.158696375079349 -4.89839188160459 0.158696375079349 0.0356998871491946 scaffold_1 234773 234777 + 0
scaffold_1_338755_338789_+ 29.548789241668 40.9967490086946 35.4374072916404 0 0 8.60194125412637 8.80968389843615 11.2905770093471 -5.15790280497017 3.12578473523576 -4.33605782892308 0.00286911658193082 0.0132678534115879 -1.65486567298456 0.0132678534115879 0.0236663507260078 scaffold_1 338755 338789 + 0
scaffold_1_342988_343020_+ 25.4061531534666 26.2033045041871 21.6018403396706 20.2303367359458 13.0697491290061 22.9537003516472 20.1290680802329 18.9635432333096 -0.36433695057882 4.60559553662289 -1.96814612836917 0.0868100508350396 0.156043556514247 -5.65100664465873 0.156043556514247 0.0210315940924879 scaffold_1 342988 343020 + 0
scaffold_1_387210_387364_+ 52.3066607602303 55.2677762809678 61.2400978772836 25.3667537101886 21.3702450041957 24.0106205579782 22.2600126400377 25.3025300662753 -0.557905206059727 5.25473474055332 -4.4545917633652 0.00246491199982739 0.0119467867178688 -2.0277591817399 0.0119467867178688 0.0171381814693783 scaffold_1 387210 387364 + 0
scaffold_1_402522_402533_+ 11.9640463547077 9.6467333113478 12.3392577470597 10.6665443918855 11.5134804707987 10.0902133770293 11.8780239712634 10.4230644599982 0.0916445248570184 3.72843103110163 0.574757810157959 0.582203037475626 0.673548458374721 -6.88829347330312 0.673548458374721 0.0223011928377797 scaffold_1 402522 402533 + 0
scaffold_1_406282_406290_+ 49.3381738414885 45.8999168686706 47.7835476432488 48.5957433077899 40.4137064525401 45.3503914505209 62.0761727457597 58.465131026318 -0.11968939757487 5.83979203892006 -0.871162039193991 0.410560694366986 0.518059423883398 -7.17742728040675 0.518059423883398 0.0180364059890508 scaffold_1 406282 406290 + 0
scaffold_1_409256_409263_+ 25.6390615606606 20.9206089001607 27.2213592759125 14.3192926119252 11.1848196133482 5.62658353476591 8.16922329185382 6.32051614134618 0.0624555529588653 3.93326527222047 0.291651642375656 0.778419961789028 0.837292750702194 -7.00127663596157 0.837292750702194 0.0225506001791999 scaffold_1 409256 409263 + 0
scaffold_1_415215_415257_+ 18.8134937303653 20.3693493422982 22.5126672459442 10.2897767670269 11.1813025850992 13.3871721739702 13.9183260483498 11.6142909388962 -0.499157974532507 4.12639767549094 -3.12141992143508 0.0153050450570155 0.0444400552653518 -3.58998780599252 0.0444400552653518 0.020687387185294 scaffold_1 415215 415257 + 0
scaffold_1_424111_424137_+ 8.78784388191093 10.9957636440357 9.80393092384812 0 0 6.16566125819957 8.923401296135 0 -3.44460976970729 1.83036621992799 -1.98006708982876 0.0852566320856116 0.154246650240206 -4.04829566639521 0.154246650240206 0.036028196623215 scaffold_1 424111 424137 + 0
scaffold_1_442734_442760_+ 35.7367008521694 34.3531424794305 30.36595559812 31.1423356950376 26.3524546964595 32.8304347449559 30.5178388442024 32.3056499374602 -0.100543778963666 5.20497710565231 -0.850729545786554 0.421128784078532 0.528057432369375 -7.14458241001268 0.528057432369375 0.017173444694787 scaffold_1 442734 442760 + 0
scaffold_1_517723_517732_+ 13.9915092472986 10.3325196347384 19.7516663897065 28.8404041826636 45.824360087351 179.7601971275 171.989993518009 200.174025543331 -0.411567849967782 5.77875794875134 -1.7678333829936 0.117380059848645 0.193317345857796 -6.04848854012728 0.193317345857796 0.0239350872994327 scaffold_1 517723 517732 + 0
scaffold_1_532568_532577_+ 47.413566425561 50.9227680276648 57.6545967258515 59.1502078108011 44.5125315422812 25.718088187732 19.3796059169949 22.5611520510657 0.666235104747584 5.46016740315373 4.14993951125743 0.00365702815276879 0.0154842069354031 -2.52466406649498 0.0154842069354031 0.0199660841785063 scaffold_1 532568 532577 + 0
scaffold_1_560841_560913_+ 4252.1700085678 3676.04792899061 3820.69526155204 5213.78135941206 4929.69703293116 3179.52541978244 2868.48272839082 4671.35902105844 0.540423780890343 12.1668239766577 2.77815241843267 0.0254348257850722 0.0648804686797069 -4.51662711795186 0.0648804686797069 0.0300457596735488 scaffold_1 560841 560913 + 0
scaffold_1_561752_561822_+ 41.3959317584862 30.5626807308235 34.5947662010906 65.0181792097641 71.1844948136294 68.1467690778773 52.1543949279563 11.879308164524 1.0261007143554 5.59302282262089 1.86104035318954 0.102053253157163 0.174130073207002 -5.97618819743606 0.174130073207002 0.117474396243987 scaffold_1 561752 561822 + 0
scaffold_1_562554_562716_+ 1081.35926650226 888.460591808294 743.183392753208 1452.81604766413 1624.88659506445 876.314005158675 661.074441953079 733.270589892421 0.990130735209615 10.1075574449955 5.61992108321165 0.000616895345854139 0.00499749029978735 -0.54431993218672 0.00499749029978735 0.0253146774670576 scaffold_1 562554 562716 + 1
scaffold_1_562906_562947_+ 16.3819873388801 14.2565860259968 10.3001370805377 13.7856267734466 22.3568456081905 8.07210727181979 9.65166844206539 8.0288665567628 0.768748606716836 3.8613144685684 3.12996700093258 0.0151151783879053 0.0440925675384385 -3.72186938577358 0.0440925675384385 0.0263453179132682 scaffold_1 562906 562947 + 0
scaffold_1_563101_563167_+ 306.867538188606 221.342676790035 185.8265023485 469.24972287006 483.248435993287 223.239495477688 178.022799889611 158.074943752237 1.28207692144976 8.19965434948574 6.13507180282168 0.000354390479142794 0.00346939318396556 0.047095680345044 0.00346939318396556 0.0329503962434455 scaffold_1 563101 563167 + 1
scaffold_1_563319_563394_+ 95.8359216589149 65.7322645808801 60.2701303664767 128.797977794716 129.862973498082 69.7167409302799 68.5813493042866 29.3303049840263 1.15292111672603 6.41999372027725 3.38673251260361 0.0104323923032665 0.0333118842244014 -3.64305713671467 0.0333118842244014 0.0566845724561375 scaffold_1 563319 563394 + 0
scaffold_1_563543_563715_+ 108.502219307787 75.7803279912154 69.6003603398885 134.423229477002 168.936331149527 57.365566632756 66.0617560872671 59.3062191488042 1.16363706718773 6.63207934733669 6.37585307597366 0.000276554981736016 0.00297376914363026 0.290687288558098 0.00297376914363026 0.0261563737364778 scaffold_1 563543 563715 + 1
scaffold_1_563871_564079_+ 122.296831545307 89.779438245993 135.946363239109 171.713485694723 202.815460926983 75.5399596429637 66.4127042226173 80.5208689101415 1.10158882871856 6.98595268446444 6.14289464081401 0.000351508695081093 0.00346506586835505 0.0365637761678483 0.00346506586835505 0.0231794216367002 scaffold_1 563871 564079 + 1
scaffold_1_599179_599238_+ 328.144374604924 228.159226812008 426.44841859209 213.892184073051 254.737983953761 590.846340768859 458.935106947912 402.665639831248 -0.653014338851257 8.62403245664595 -2.6780784020254 0.0295565555245227 0.0725239529894493 -4.69956676349726 0.0725239529894493 0.0443565900886732 scaffold_1 599179 599238 + 0
scaffold_1_599470_599495_+ 0.00611940006595724 0.00348887656086949 5.14264505713421 0 5.3078421035532 7.00957195016509 6.02356938454916 9.58408889461525 -0.739760966794878 1.57684864432577 -0.597474986301346 0.567705513732509 0.661359712428571 -5.44920096762551 0.661359712428571 0.0384153334687984 scaffold_1 599470 599495 + 0
scaffold_1_599729_599732_+ 14.2890505922785 10.462464624134 12.8168070202157 11.6581254318163 17.1556629685484 27.9565045665552 22.8234025176604 15.3528912170419 -0.116489470621146 4.22472453202069 -0.435464676048281 0.675428460572074 0.754037971470771 -7.21165468044964 0.754037971470771 0.0275752952043041 scaffold_1 599729 599732 + 0
scaffold_1_601270_601305_+ 25.8098106965047 16.1847317528799 43.8212180257892 17.5447579924224 30.214948014671 31.0123687854062 45.8517459613771 31.7751817185877 -0.320605196520689 5.06255927940683 -0.863226167469752 0.414642512675637 0.52204558686647 -7.09634343332889 0.52204558686647 0.0586389118171656 scaffold_1 601270 601305 + 0
scaffold_1_642134_642148_+ 98.0834863326547 117.314053341118 114.779824272611 48.8225484776454 54.9096837478553 105.735922521161 72.8093068059041 76.3851589282393 -0.798562274811414 6.57136674061854 -4.81861194082094 0.00156638692311165 0.00885156383909321 -1.62018216485187 0.00885156383909321 0.0213367106322141 scaffold_1 642134 642148 + 1
scaffold_1_645397_645444_+ 22.2975226393323 24.1632622653138 17.2751071585079 18.0882786590814 13.731944883792 24.8724857529988 22.7360050487192 13.1283123951293 -0.269473632500294 4.4894432113276 -1.0107555790877 0.343484128864985 0.451083167943274 -6.85723904636515 0.451083167943274 0.0270114263231718 scaffold_1 645397 645444 + 0
scaffold_1_704266_704330_+ 154.799433373223 159.690293576251 179.69841749198 99.4249669430124 97.8685148651883 137.91014055869 144.08886578316 106.109655397591 -0.471290974043803 7.24922904253466 -3.6618930263785 0.00708031648054584 0.0248788346174597 -3.23353280987758 0.0248788346174597 0.0167652369761194 scaffold_1 704266 704330 + 0
scaffold_1_704480_704529_+ 10.9362432449967 11.7988154886067 0.0350982250834941 0 5.41842062453275 0 5.21316165881206 0 -0.276443973076967 1.22506887580073 -0.132163064012229 0.898315828453072 0.929156940694528 -5.60007701651211 0.929156940694528 0.37108536673002 scaffold_1 704480 704529 + 0
scaffold_1_901912_901974_+ 21.9179201729863 24.1676410158805 22.5287405444973 14.186173813772 13.5076169992877 10.8332721135501 13.5504300620085 10.9332751191813 -0.154293545615721 4.21999508028996 -1.24996728997896 0.248734648886628 0.350618068883241 -6.50016051160536 0.350618068883241 0.0202240071392357 scaffold_1 901912 901974 + 0
scaffold_1_919853_919867_+ 42.3603469251452 46.8455329102046 48.1497843151706 68.7932920762269 68.198002557766 42.8188998826674 42.3993261991629 37.4200415359936 0.743097564813307 5.81534351958783 7.73115459749056 7.69849520251803e-05 0.00136337002864767 1.67022407699608 0.00136337002864767 0.0149983702918139 scaffold_1 919853 919867 + 1
scaffold_1_932304_932340_+ 11.1099837880028 11.4042380212363 9.24915040429781 10.0453488590937 8.85833039128554 12.5346807170031 11.6840069133524 14.7083265698023 -0.206898489769291 3.73339920020913 -0.990116002587477 0.352840936928929 0.460461266275444 -6.39726955791892 0.460461266275444 0.0223564886765208 scaffold_1 932304 932340 + 0
scaffold_1_934122_934162_+ 17.4908325648655 19.8229653288227 19.1313593525509 7.1839529995575 0.00400750915325765 7.00678884375851 9.74544782906933 8.54574071941583 -2.64745812630209 3.22533207518084 -2.82134829993965 0.0238445174357899 0.0618463375060237 -3.10305212478551 0.0618463375060237 0.0266452982379228 scaffold_1 934122 934162 + 0
scaffold_1_957583_957584_+ 6.53368497608907 6.25086996037591 9.50072847387655 6.75958991354802 12.7261915755255 0 0 0 2.39927807879109 1.75553372575984 4.56892074130391 0.00213329251565915 0.0108670923896734 -0.984646066033744 0.0108670923896734 0.0298647920823891 scaffold_1 957583 957584 + 0
scaffold_1_978321_978344_+ 7.59890127145365 0.00937307851975122 7.60924230787592 6.80589738856808 0.0038172036259021 11.9031841675967 9.55139984933381 9.90927007489886 -1.5298658943983 2.35995149498785 -1.01896556112929 0.339815814802993 0.44730409024546 -5.23288245661312 0.44730409024546 0.0460279186461571 scaffold_1 978321 978344 + 0
scaffold_1_986174_986322_+ 221.221547051458 250.917858481306 183.169805836384 303.064185138741 255.414292461401 287.810456014313 335.299105532786 252.599895290605 0.23444422736889 8.21112545351298 1.49798471684826 0.17480702295103 0.265561676071958 -6.43256682349995 0.265561676071958 0.0222945656471175 scaffold_1 986174 986322 + 0
scaffold_1_989274_989324_+ 56.0352660030293 60.560639294146 62.4750092072109 31.006305822491 30.8885774566323 37.3958677605836 42.5922562270961 33.8278207856535 -0.525426721889944 5.63302845357325 -5.00688592044345 0.00124833712009285 0.00772754826377234 -1.33975007883662 0.00772754826377234 0.0159567683884879 scaffold_1 989274 989324 + 1
scaffold_1_995581_995764_+ 452.683251842103 361.482923758171 429.745748411784 631.56552906417 663.926346106512 309.348609435095 385.919641476938 562.263202915853 0.744273235728636 9.04605029146001 3.40871119696434 0.0101104920804018 0.032477962414742 -3.56821180489636 0.032477962414742 0.0366438354015486 scaffold_1 995581 995764 + 0
scaffold_1_998645_998649_+ 9.24988859672844 10.3181048371218 9.14739801998095 9.04383612099722 7.08773036804536 7.43450213501372 9.00212635828211 7.51657285569386 -0.0334762738944541 3.37706360053889 -0.152314225409127 0.882938006431791 0.917351058003768 -6.6635802012802 0.917351058003768 0.0234307091006927 scaffold_1 998645 998649 + 0
scaffold_1_1000904_1001064_+ 901.371582420521 922.948220306029 942.819085076549 727.582147155734 886.669154965365 813.289325114465 932.842948336024 726.754799490158 -0.0303829502758148 9.937669962557 -0.254802583445485 0.805691050017127 0.858222279779993 -7.49070376095592 0.858222279779993 0.0155823197544536 scaffold_1 1000904 1001064 + 0
scaffold_1_1001249_1001290_+ 118.498447645805 122.883655930646 111.790712399064 105.544287229736 141.589162450203 104.540463977922 145.790737246173 70.017030853867 0.240794285228307 7.02381704244642 0.995546442298371 0.350360350676416 0.457987092546591 -7.04693847290416 0.457987092546591 0.0418857309252162 scaffold_1 1001249 1001290 + 0
scaffold_1_1002385_1002452_+ 0.0130823873346586 6.23751081501848 5.45177124500348 8.13626387521482 15.9353514081027 5.20309629392012 6.77559356730985 5.46605964204422 1.5997074577928 2.63341484132423 2.72474004956125 0.0275548226894875 0.0688397348986878 -3.68380589045449 0.0688397348986878 0.0360006469235119 scaffold_1 1002385 1002452 + 0
scaffold_1_1003940_1003966_+ 0 0 0 6.26297133242983 10.1817742169239 0 0 4.98420430119322 3.59223646726076 0.659146476610441 5.05039106624781 0.00118540544511218 0.00748356084784708 -0.518387733585951 0.00748356084784708 0.0358187914782033 scaffold_1 1003940 1003966 + 1
scaffold_1_1004706_1004728_+ 34.3354042938345 29.4708851659557 30.6363550973533 49.3097119038544 66.1974053775767 19.7487954720292 30.8163328079671 24.2674081135342 1.1113072894494 5.27953953828418 6.57787199010686 0.000225768389494397 0.00263383871844141 0.506697855694457 0.00263383871844141 0.0227707385955218 scaffold_1 1004706 1004728 + 1
scaffold_1_1006322_1006326_+ 6.7501799875311 0.00936654649463442 8.44802064370153 0 6.74539587754967 6.26984702083655 5.56512223241802 5.12303461271005 -1.14883477688162 2.04190570035081 -0.766054041655204 0.466960139928235 0.570150492192951 -5.42156024466618 0.570150492192951 0.0518992583971846 scaffold_1 1006322 1006326 + 0
scaffold_1_1007278_1007367_+ 16.1352920006559 8.69893671892206 9.06755343181738 16.669144796393 27.5589751729533 7.74120229216852 14.1051097967078 16.6008001670988 0.951597210794911 4.00584440445005 3.07014395012746 0.0164981989122539 0.0471772142047087 -3.90740174564529 0.0471772142047087 0.036228636467534 scaffold_1 1007278 1007367 + 0
scaffold_1_1008363_1008547_+ 320.974424140731 237.65110110471 318.519344018718 334.123710633583 521.76002140458 213.317266897037 255.494469159779 292.490683922255 0.712297923724019 8.43774067529563 3.37029822676186 0.0106802183252922 0.0338805804381465 -3.63131332629951 0.0338805804381465 0.03538279245409 scaffold_1 1008363 1008547 + 0
scaffold_1_1111413_1111417_+ 6.84171551010311 5.43818801516322 9.49894508259822 8.65139304217725 11.622132436802 0 0 0 2.52691045838362 1.76591591941808 5.81708411115784 0.000497013086983223 0.00434176515467315 0.350243033128255 0.00434176515467315 0.0278843403980785 scaffold_1 1111413 1111417 + 1
scaffold_1_1142701_1142721_+ 10.8087942269503 11.8149898457107 13.5605171226386 21.4537397581537 26.3458886579811 10.7279620291727 11.6896936950049 11.6233467119371 1.08046266687937 4.05573623677979 8.33137937053039 4.62085835481108e-05 0.000999027614162234 2.39391109950958 0.000999027614162234 0.0216313436406624 scaffold_1 1142701 1142721 + 1
scaffold_1_1180791_1180794_+ 18.5610681240458 14.5348999325286 15.8386292187449 24.6452434993141 10.1961942276608 7.85892181232177 6.95096734465331 10.9532461862352 0.514304048594677 3.91848005559234 1.48155856507886 0.179020590455426 0.270389598428894 -6.15185894070111 0.270389598428894 0.0337884219305926 scaffold_1 1180791 1180794 + 0
scaffold_1_1253015_1253051_+ 12.4377754978282 13.9843699828914 13.1025664047525 9.04664155541519 6.31349611352205 10.2030035845272 8.62594386721314 7.85509489380781 -0.399075331358343 3.57740151485965 -1.60841955625376 0.148733903725218 0.233152300128371 -5.42161444817283 0.233152300128371 0.022909324411748 scaffold_1 1253015 1253051 + 0
scaffold_1_1269185_1269192_+ 76.1533920021159 96.927341608155 58.4936763216296 58.5838007741194 92.0984109829104 67.5042853525472 56.1487208984979 12.9045845065665 0.557595984502522 6.0549715865196 0.990298683921613 0.352757271603224 0.460415629133031 -7.06806042723618 0.460415629133031 0.127601905355856 scaffold_1 1269185 1269192 + 0
scaffold_1_1269405_1269415_+ 11.8788495466943 10.3194847191756 7.74858300847272 9.0194393338259 15.1619923209586 12.9985440674717 0 0 1.72913306903921 2.58197498881442 2.65831383883355 0.0304491917327976 0.0741425440973404 -3.68549767349152 0.0741425440973404 0.147600409822314 scaffold_1 1269405 1269415 + 0
scaffold_1_1327886_1327899_+ 39.8633441160231 40.8708202181932 38.8359932861396 53.3629164694127 46.501870511377 19.5401239432011 25.1470331478678 23.9334301551562 0.799932719201481 5.31680749401461 7.01979473491719 0.000147125272976527 0.00201561254909125 0.976019646791808 0.00201561254909125 0.0171634969639578 scaffold_1 1327886 1327899 + 1
scaffold_1_1359614_1359645_+ 6.92500455173056 8.0132608230474 10.0699736775148 6.39638109126051 7.74874301453939 0 6.22608157256588 5.30813113114455 0.712265190332617 2.63695203104452 1.21410738277334 0.261383658230739 0.364512433821366 -5.60545832291681 0.364512433821366 0.0303626286528222 scaffold_1 1359614 1359645 + 0
scaffold_1_1389417_1389645_+ 112.134076712173 121.525284217601 114.042759560902 30.7516616356435 32.3267527011835 48.647578003148 64.212225584645 55.5484647349154 -1.25293455402073 6.20528176852068 -11.0189097157901 6.49602875323462e-06 0.000339276855334138 4.38307310476602 0.000339276855334138 0.0150689453068392 scaffold_1 1389417 1389645 + 1
scaffold_1_1394059_1394082_+ 56.4146707709767 62.3181328660334 50.9170840368919 41.9430244770607 34.1034222357691 44.8399838000252 40.3524652240723 39.4758881270382 -0.266592917966705 5.72414916027149 -2.06104811318758 0.0753995029516277 0.141606997151683 -5.67324762347017 0.141606997151683 0.0167672923819969 scaffold_1 1394059 1394082 + 0
scaffold_1_1394632_1394660_+ 9.93677207972652 9.09544333394196 5.5845455627482 0 0 0 0 5.67177488115805 -2.56094159986569 1.17921466677285 -1.87675897452896 0.099664736078515 0.171292908358424 -4.15242786508391 0.171292908358424 0.0353754933754724 scaffold_1 1394632 1394660 + 0
scaffold_1_1403266_1403272_+ 8.08212219664294 7.87688934207949 8.10623819231078 12.5645184055375 8.74990129559299 9.24084440890368 9.7402067066541 10.2574162579233 0.322115704297876 3.48330169019419 1.64791014657695 0.140311837174638 0.222484496722102 -5.62894072561601 0.222484496722102 0.0234311238593253 scaffold_1 1403266 1403272 + 0
scaffold_1_1478716_1478781_+ 54.0807450998504 41.2984350264724 64.3218218783494 108.415383122676 170.36838080858 30.2780860442495 27.0801202845905 34.1992968959656 1.84024080611974 5.97686370208107 8.24569217573131 4.96083369749106e-05 0.00104157050601137 2.17051165087119 0.00104157050601137 0.0342564839855733 scaffold_1 1478716 1478781 + 1
scaffold_1_1515529_1515540_+ 46.3914575109706 48.2026706817575 45.5276620809539 27.2472822901057 24.1372958079932 135.674332618068 123.655866438107 138.630156725465 -1.51558238004164 6.10921399150608 -13.9533653725366 1.18194207717383e-06 0.000150446452148264 6.21141294008779 0.000150446452148264 0.01385583171335 scaffold_1 1515529 1515540 + 1
