mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3
scaffold_1_36116_36124_+ 5.43437869092859 0 0 0 0 0 0 0
scaffold_1_51155_51224_+ 29.2384881680947 27.329135685793 26.8961336715737 17.8784327867982 26.3291685876494 31.8225821400311 23.9876800774352 35.0834229957943
scaffold_1_100766_100796_+ 131.11395348677 109.585795311505 122.69058236485 150.689647774442 172.957299927237 157.39856284076 112.348548487675 153.359715372705
scaffold_1_120715_120736_+ 8.34291939874953 5.25042508249226 9.48733482250716 8.30070093672771 13.5501578923886 5.14304357818685 5.24730501693896 10.0734580879013
scaffold_1_123356_123357_+ 0 0 6.26348318379114 0 9.03343859492574 0 6.5591312711737 8.1629746574373
scaffold_1_157386_157461_+ 37.8110292016722 34.7335813149488 33.1596168553648 16.856808056124 12.6688468099568 18.6435329709273 20.8955181924533 17.0206705623161
scaffold_1_162014_162063_+ 8.5725410335775 8.75070847082043 8.7504544479435 0 0 6.9645381787947 5.15360314163648 7.29457309813545
scaffold_1_163697_163750_+ 32.4531910556862 34.5989550307823 33.5280570426467 33.2028037469109 26.7698241288653 41.251495366707 51.2549257904573 44.9832007718353
scaffold_1_168298_168301_+ 13.2415142750795 11.3086078699833 11.6058658993777 5.61893601870799 0 11.7861415333449 6.93393877238362 0
scaffold_1_193052_193068_+ 19.2882173255494 17.5014169416409 17.4087988490665 30.3933357375569 18.1770410751555 18.000652523654 8.0583612760134 9.55241715232024
scaffold_1_213623_213627_+ 7.96021667403625 5.65430393499166 10.3163252438913 11.7486844027531 14.7619606307323 9.32176648546367 12.7434550411375 10.0734580879013
scaffold_1_216878_216897_+ 5.51091923587125 6.7313142083234 5.71082290286839 7.02367002338499 5.72852203580657 6.32165773152134 5.62211251814888 6.59985185069398
scaffold_1_224681_224753_+ 39.18875901064 74.3137088598904 68.3456547407798 74.0677929738781 177.4740192247 56.2520391364187 86.0183215276779 39.5991111041639
scaffold_1_226515_226518_+ 32.1470288759156 42.9457846491033 27.9093441865987 36.7784903042705 34.7016238707513 24.7508972200242 16.8663375544466 9.55241715232024
scaffold_1_230668_230676_+ 18.4462713311801 24.5019837182972 15.3823778190165 22.475744074832 13.8806495483005 24.2151635139631 11.4316287869027 10.4208187116221
scaffold_1_234773_234777_+ 10.026811387488 10.5008501649845 7.18458365199572 10.7270596720789 10.0249135626615 9.8575001915248 5.99692001935881 0
scaffold_1_240409_240414_+ 0 0 0 5.74663911004226 5.72852203580657 0 0 0
scaffold_1_338755_338789_+ 29.0854070782094 40.6571378182734 34.6333776044922 0 0 8.67888603819031 8.90167815373573 11.4629005827843
scaffold_1_342988_343020_+ 25.0287581962486 25.9828728441283 21.0932007218849 20.5601977048179 12.9993384658687 23.1436961018408 20.3333069406385 19.2785146165008
scaffold_1_387210_387364_+ 51.5117867464076 54.7928976557525 59.8715304332976 25.7960244495231 21.2616298636667 24.2151635139631 22.4884500725955 25.7046861553345
scaffold_1_402522_402533_+ 11.7872439211691 9.55846617581923 12.06641613348 10.8547627634132 11.4570440716131 10.1789404151615 11.9938400387176 10.5944990234824
