logFC AveExpr t P.Value adj.P.Val B
scaffold_18_339584_339710_- 11.4022327558939 11.5165075746875 185.267954180209 4.62452721220047e-15 1.28883575571371e-11 21.7461574337401
scaffold_4_2807198_2807261_- 11.9424489205377 12.158450005289 180.59969518081 5.60485419717256e-15 1.28883575571371e-11 21.6801854558724
scaffold_182_153376_153483_+ 12.2889354086926 12.3826345772358 175.260084437879 7.02677371795156e-15 1.28883575571371e-11 21.6085826658963
scaffold_4_3049786_3049903_- 10.564974529973 10.6366540679501 169.129998894682 9.18840429401779e-15 1.28883575571371e-11 21.5650663095858
scaffold_104_349383_349500_+ 11.6200948710129 11.6254656104432 162.813831035091 1.22393974542157e-14 1.28883575571371e-11 21.4407524088369
scaffold_15_855928_856002_+ 9.62089084444664 9.09568884521885 159.972389316841 1.39752810233334e-14 1.28883575571371e-11 21.4596963423437
scaffold_4_2370071_2370125_+ 12.4860016271302 13.0157134003866 156.609203975428 1.6401135834163e-14 1.28883575571371e-11 21.3281126655064
scaffold_152_84663_84795_- 10.0199878071869 10.1123753857056 155.232941166216 1.75287508734837e-14 1.28883575571371e-11 21.3629000941958
scaffold_24_558116_558181_- 9.95487219531935 9.88994152697517 153.055167088328 1.94972089129179e-14 1.28883575571371e-11 21.3260066256638
scaffold_12_882307_882420_+ 10.3153631973342 10.2753023657287 148.298679397399 2.47316705487828e-14 1.28883575571371e-11 21.2224327594208
scaffold_1_3275378_3275473_- 9.81332388640395 9.92482467416624 147.314483602 2.60038124175679e-14 1.28883575571371e-11 21.2208848791448
scaffold_43_161186_161249_+ 10.9484305089635 10.6676593492883 146.623224924825 2.69416405313887e-14 1.28883575571371e-11 21.1692832613268
scaffold_63_379069_379166_+ 11.3595727021145 11.4022372450201 146.507978715059 2.7101691622527e-14 1.28883575571371e-11 21.1567735609987
scaffold_23_1335711_1335752_- 9.83824384587868 9.96318232623297 146.036924534982 2.77671731427375e-14 1.28883575571371e-11 21.1940284378972
scaffold_94_359880_359984_- 10.0275522121942 10.2913990580874 145.48280035719 2.85738251037289e-14 1.28883575571371e-11 21.1757899734909
scaffold_38_282141_282183_+ 10.7396804053412 11.096132484249 145.233456978017 2.89454345691777e-14 1.28883575571371e-11 21.1469938078892
scaffold_8_1453634_1453753_- 8.87603240818732 8.86161639300487 145.112959730235 2.91269776386526e-14 1.28883575571371e-11 21.2087214526506
scaffold_32_35465_35572_- 9.55024767401598 9.63300197166856 145.081901173879 2.91739797685198e-14 1.28883575571371e-11 21.1846389467273
scaffold_5_2475060_2475157_- 10.6841323197377 10.855947127425 144.613661619452 2.98930984620397e-14 1.28883575571371e-11 21.1358406486501
scaffold_83_529357_529453_- 11.5750208977069 11.5303133516577 144.080360767507 3.07367091748026e-14 1.28883575571371e-11 21.1027371628131
scaffold_43_742485_742519_- 8.5364349654651 8.60806705802316 141.793393639654 3.4673683077012e-14 1.28883575571371e-11 21.1503011773445
scaffold_65_202824_203232_+ 10.1330136837257 9.74083793261501 141.729070293014 3.47923958090453e-14 1.28883575571371e-11 21.0922580629939
scaffold_20_954272_954350_- 10.900010827245 11.8131946064142 141.152695429898 3.58769233852942e-14 1.28883575571371e-11 21.0556627363552
scaffold_42_861746_861820_- 9.61324928171343 9.52078829330275 141.098307545624 3.59812235133018e-14 1.28883575571371e-11 21.0965626063948
scaffold_5_2220759_2220780_+ 11.3539196871845 11.3304569140231 140.716297166964 3.67235617593311e-14 1.28883575571371e-11 21.0350140253922
scaffold_107_75256_75341_- 10.6887588330533 10.8852874745743 140.286544010452 3.75794898698547e-14 1.28883575571371e-11 21.0424895887395
scaffold_241_39425_39495_- 10.4778140025477 10.4100913815773 139.924934491371 3.8317230690527e-14 1.28883575571371e-11 21.040823345318
scaffold_58_468078_468180_- 9.87119902720376 9.99741224685608 139.852242735332 3.84675058076899e-14 1.28883575571371e-11 21.0595813939397
scaffold_51_57739_57895_- 9.10336859197255 9.34450234949336 139.271802207028 3.96916844037153e-14 1.28883575571371e-11 21.0724517058698
scaffold_211_113782_113855_- 10.3804017477503 10.3880123047918 139.105877351001 4.00496953085713e-14 1.28883575571371e-11 21.02540056606
scaffold_5_61794_61846_+ 9.39708484679739 9.56928307995787 138.296343652906 4.18497026129721e-14 1.28883575571371e-11 21.0401511832807
scaffold_36_968781_968907_- 9.30035678215227 9.33730717642705 138.279151864299 4.18889101404169e-14 1.28883575571371e-11 21.0429619612212
scaffold_3_1731834_1731904_+ 10.54632915086 10.370536664951 136.271488212042 4.67673483167369e-14 1.28883575571371e-11 20.9541696040931
scaffold_62_509000_509076_+ 10.7433058808394 10.7396950134334 136.04778953888 4.73496920094225e-14 1.28883575571371e-11 20.9430941292273
scaffold_675_14876_15005_+ 10.2899018801708 10.5458790490227 136.030188884518 4.73958583518916e-14 1.28883575571371e-11 20.9563964028434
scaffold_90_468832_469018_+ 9.65752792679327 9.63745487539805 135.819293251749 4.79530194655102e-14 1.28883575571371e-11 20.9725261835411
scaffold_8_1007136_1007213_- 10.5851909448313 11.4279227079143 135.595084179288 4.8553504213602e-14 1.28883575571371e-11 20.936790719063
scaffold_24_1139171_1139237_+ 10.2369342838719 10.3601356948028 135.500003499524 4.88107209107651e-14 1.28883575571371e-11 20.9453331054495
scaffold_30_430634_430704_- 11.8224284047759 11.8451365994527 135.298380799756 4.93612829940435e-14 1.28883575571371e-11 20.9020669049953
scaffold_15_1441694_1441795_- 8.45730023226973 8.96222738901802 134.478386711961 5.16740586019044e-14 1.31549234685798e-11 20.9811375297404
scaffold_7_1475699_1475731_- 9.5760508622815 10.0310255945859 133.717319644708 5.39309852537352e-14 1.32241797620753e-11 20.9234376014087
scaffold_1_2364124_2364221_+ 10.0748916367369 9.98078125336962 133.105953327231 5.58250233632653e-14 1.32241797620753e-11 20.8914671785585
scaffold_51_64551_64898_+ 10.8718972995316 10.3442376222778 133.03805945376 5.60399705116749e-14 1.32241797620753e-11 20.8659675165822
scaffold_15_266027_266052_- 10.8017401920651 10.9036925603668 132.656026663545 5.72670778720538e-14 1.32241797620753e-11 20.8581947266637
scaffold_49_730775_730835_- 8.53534206124228 8.62896741584031 132.299622410703 5.84393684860442e-14 1.32241797620753e-11 20.922200638934
scaffold_7_1618819_1618860_- 11.0029971950455 10.9093384145893 131.626518383425 6.07282692774499e-14 1.34433905663537e-11 20.8268508201739
scaffold_11_1049486_1049533_+ 9.9634498706755 10.1035611323669 129.749353442057 6.76671363905387e-14 1.36657881655991e-11 20.8079807300714
scaffold_100_289718_289917_- 10.373654348107 10.3400123790313 129.219336817069 6.97858757447346e-14 1.36657881655991e-11 20.7809332837901
scaffold_61_460948_461023_- 7.75949329592243 7.91310122692247 129.069113910737 7.03999863162839e-14 1.36657881655991e-11 20.8808526005793
scaffold_1_1985516_1985613_+ 11.4233248841571 11.5437436335106 128.051306955388 7.47257130817479e-14 1.36657881655991e-11 20.7234269127398
scaffold_2_1465728_1465853_- 8.75814558598501 8.92976378179333 127.978091475218 7.5048309629765e-14 1.36657881655991e-11 20.797785917573
scaffold_1321_3241_3287_+ 11.6493084472099 10.86023043799 127.905361054385 7.53703316025453e-14 1.36657881655991e-11 20.715582845945
scaffold_25_814611_814690_- 9.11786890096704 9.08419920318704 127.838648925581 7.56670836524924e-14 1.36657881655991e-11 20.7825942040337
scaffold_13_839759_839874_+ 8.50536368372529 8.58676474277478 126.79248114543 8.04981944001669e-14 1.36657881655991e-11 20.7736982978606
scaffold_46_49748_49795_- 8.35700838647394 8.29680519073978 126.747801392365 8.07121697670006e-14 1.36657881655991e-11 20.7787999353009
scaffold_100_116993_117062_+ 10.4738938788602 10.4019382341017 126.449909825792 8.21553766873705e-14 1.36657881655991e-11 20.701895710735
scaffold_61_456183_456338_- 8.43981430059742 8.44792020359823 125.772115253707 8.55493425645504e-14 1.36657881655991e-11 20.7471596190957
scaffold_143_83319_83401_+ 10.4322823780879 10.3978245084332 125.586782144044 8.65048271104632e-14 1.36657881655991e-11 20.6786418754105
scaffold_87_477248_477324_+ 9.0155724454235 8.95796510569952 125.568593693098 8.65992471727871e-14 1.36657881655991e-11 20.7213122764301
scaffold_38_865982_866054_+ 10.3590403640203 10.391720515192 125.208693216306 8.84917857948881e-14 1.36657881655991e-11 20.6699292794218
scaffold_43_199030_199124_- 8.46585062208849 8.49889185809825 124.802915734348 9.06819820919228e-14 1.36657881655991e-11 20.7177357117973
scaffold_120_315451_315491_+ 7.76647158251057 7.79453026230218 124.629972998008 9.16340563752063e-14 1.36657881655991e-11 20.7523828529471
scaffold_43_993025_993130_- 8.55869570590717 8.66717684524506 124.434831218396 9.27219612849372e-14 1.36657881655991e-11 20.7031953268535
