mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 27.7930597242423 28.2575422870354 29.5806391721607 21.2255237181405 25.4953725920531 29.3243619050096 26.3858290305201 31.883052218151 -0.227672893814684 5.0488117065742 -1.70717120191603 0.126024943215204 0.214294062237794 -6.04022180534974 0.214294062237794 0.0178042725749267 scaffold_1 51155 51224 + 0
scaffold_1_100766_100777_+ 129.630000503696 108.126441744922 122.985889835938 143.035953523432 168.649662946296 153.419406038644 107.771598101607 148.638817747088 0.362028101496231 7.31911611024484 2.07332126396847 0.0717185357142184 0.142259157848099 -5.56877575226943 0.142259157848099 0.0209295892046013 scaffold_1 100766 100777 + 0
scaffold_1_120715_120736_+ 8.50446971804149 5.33766787622401 9.7468343670158 8.09858154361498 13.574141727051 5.07285982489272 5.17844064336197 9.90973373221957 0.636419672147171 3.29561957770571 2.11211166859041 0.0675140037449641 0.13604036108357 -5.10607990300438 0.13604036108357 0.0281733669755099 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00978025283749728 0.00690607318056258 6.38352308866195 0 9.046616289147 0 6.49073869572321 8.03678890734393 0.210999323871067 1.2437393015986 0.116776826791015 0.90990407246569 0.936605324781007 -5.6397698809305 0.936605324781007 0.321658937551236 scaffold_1 123356 123357 + 0
scaffold_1_157406_157461_+ 31.0568919218073 27.4434737957641 28.7380916420139 11.8758767907936 9.93451760203346 15.4542608060167 17.5103050634749 14.305811664087 -0.870564456540118 4.46556986087367 -6.06372170736242 0.000296540746155469 0.00307256355716852 0.398053642556941 0.00307256355716852 0.0193109031344183 scaffold_1 157406 157461 + 1
scaffold_1_163697_163739_+ 28.4971026061943 30.0292410515743 30.1532251251914 29.5034480774929 23.5114125119395 34.4980944632589 45.9537929514272 37.9987807057017 -0.289457116701365 5.2698271951362 -2.04079347643495 0.0754403456076312 0.147646428193315 -5.57726705452561 0.147646428193315 0.0187139771879509 scaffold_1 163697 163739 + 0
scaffold_1_168298_168301_+ 13.4964848805242 11.4712435516097 11.9545700783159 5.52564165473451 0.00122282681730179 11.6647345740888 6.8486848054295 4.5787601755511 -2.42899471664058 2.93082440074392 -1.89024754153592 0.095242957261428 0.174049617933592 -4.23649325718345 0.174049617933592 0.0294137850347147 scaffold_1 168298 168301 + 0
scaffold_1_193064_193065_+ 17.8691854268944 16.5188829140396 16.0358875901391 26.2720133341397 15.8969194033106 15.1635415835272 6.28196200013269 8.33863955620215 0.766660501146272 4.12409303933651 2.69154624773177 0.0273326635769592 0.0699519697392081 -4.46359354353226 0.0699519697392081 0.0287542352690058 scaffold_1 193064 193065 + 0
scaffold_1_213623_213627_+ 8.11957548594372 5.74655501102528 10.5934729361254 11.4806799411067 14.7891447214545 9.20338556516812 12.6038928068337 9.87880058532737 0.568497283999078 3.63927698374629 2.74828217609075 0.0250312608512418 0.0654775546573494 -4.2560977054081 0.0654775546573494 0.0241613192810737 scaffold_1 213623 213627 + 0
scaffold_1_216878_216890_+ 4.76165160245009 5.04893631575207 3.99278073930054 5.24975817890598 4.41546554867839 4.44411386293187 4.16412732590206 5.45864224522646 0.131371514552512 2.62016539250883 0.433876365913824 0.675796640059402 0.75483209351519 -6.31202077928049 0.75483209351519 0.0251369514260474 scaffold_1 216878 216890 + 0
scaffold_1_224729_224735_+ 39.332215853894 73.9496870819638 68.5210918836074 70.6117114710538 168.420306489396 54.9359215995008 82.2014506771621 38.453022899655 1.00402874810063 6.33114591462329 2.55283771541594 0.0339161770395338 0.0816950883954031 -4.84016460036032 0.0816950883954031 0.0872808645452227 scaffold_1 224729 224735 + 0
scaffold_1_226515_226518_+ 32.795253733309 43.5146955369611 28.7787074855284 35.9854886618919 34.7682966199741 24.4863702927613 16.6691828681717 9.33044102179284 0.667078250750352 4.97086405159115 2.34149101637158 0.0471829647103888 0.103846059123834 -5.12993682610953 0.103846059123834 0.0311238699601491 scaffold_1 226515 226518 + 0
scaffold_1_230668_230673_+ 17.6460405267682 22.3681974245431 14.8271421152183 20.7693807644533 12.5852842698649 20.8892593584866 10.0813683635026 9.00459627766032 0.184580461796484 4.22870693985761 0.558808103010595 0.591527037585641 0.683429337079754 -7.16907786093171 0.683429337079754 0.034533125466175 scaffold_1 230668 230673 + 0
scaffold_1_234773_234776_+ 9.43768029266074 8.87076425202171 6.75317994821228 9.24537684049689 8.94058056298792 8.38442464619416 5.28190929032859 0 0.980651921637069 2.82229655718396 2.05875560847195 0.073362471753878 0.144618046075155 -4.80250172811748 0.144618046075155 0.0307829489138425 scaffold_1 234773 234776 + 0
scaffold_1_338755_338789_+ 24.3015063021073 33.971359643617 29.3035491256875 1.38777878078145e-17 1.38777878078145e-17 6.87437633624803 7.86999201691921 9.725152394758 -4.92704184566614 2.98904945194295 -3.32237757367361 0.0104435539447761 0.034730550082645 -2.68505096780047 0.034730550082645 0.023528550024221 scaffold_1 338755 338789 + 0
scaffold_1_342988_343020_+ 23.492904465735 25.1080097281372 20.2239663402187 18.1370490791065 12.3638815823088 21.5002277939764 18.1490917237057 16.8597877617716 -0.378364738160365 4.54274889231791 -2.03302173652372 0.076357026125206 0.148812114622875 -5.48044339154434 0.148812114622875 0.0208765605794088 scaffold_1 342988 343020 + 0
scaffold_1_387218_387361_+ 43.7248554585024 46.5481906639055 50.2403861746375 20.2585221963104 14.9022926169454 18.3151938719057 16.8508283197888 18.7508545174329 -0.64876012911811 4.95355828533101 -4.24929235645369 0.00277651729107622 0.0139425007758728 -2.09850497537922 0.0139425007758728 0.0182520225624911 scaffold_1 387218 387361 + 0
scaffold_1_402528_402533_+ 9.60038366901721 8.4687007308804 9.95241874779028 9.24727004103857 8.49924869508817 8.46402712723221 10.3763596303641 9.37202816685032 0.00198929840313466 3.53217203639371 0.0127157196886436 0.990164769634358 0.993705907971117 -7.10359727359581 0.993705907971117 0.0224266148810148 scaffold_1 402528 402533 + 0
scaffold_1_406284_406290_+ 46.0483557816533 43.4117963818236 44.7612662012866 46.2443994046217 39.2947881336794 43.2773035171745 59.2879869199638 55.3993429314802 -0.103976706140384 5.81521714272417 -0.744192387324184 0.477964567033871 0.584573764141798 -7.21094756259684 0.584573764141798 0.0177638668438421 scaffold_1 406284 406290 + 0
scaffold_1_409256_409263_+ 25.7538152138738 21.0362585115483 27.385044867161 14.254170297944 11.148994262285 5.60474216393383 8.15640867590563 6.30151354110376 0.0443681857663569 3.9826287668099 0.234955810633986 0.820122300653493 0.868263079287059 -7.17027404617387 0.868263079287059 0.0220788205496704 scaffold_1 409256 409263 + 0
scaffold_1_415223_415253_+ 14.2144242706098 14.7454051969669 16.7715107713428 7.23916698418315 8.60881371404007 9.4219865088361 10.0980500883779 8.17169614312384 -0.483049966554093 3.73712669580608 -2.75332079394532 0.0248367520131406 0.0651725662699051 -4.06364218776308 0.0651725662699051 0.0217772232819711 scaffold_1 415223 415253 + 0
scaffold_1_442738_442758_+ 30.7417427635414 28.664433024015 25.3442532059124 25.6295008707597 20.200129681256 29.0123515476365 26.2059564972013 26.4115311811302 -0.201414987458282 4.99727736962986 -1.40772364544729 0.196716882185156 0.298239698183723 -6.43540349932715 0.298239698183723 0.0183910516556527 scaffold_1 442738 442758 + 0
scaffold_1_517725_517731_+ 13.9776280578084 10.2581410865405 19.5788505156868 28.0709438792606 44.1460059509105 177.956554107114 170.586142971869 197.383024759953 -0.455491483177444 5.80796561851127 -1.95206634919339 0.0865705447469216 0.163009585046453 -5.71828951339177 0.163009585046453 0.0227201104841087 scaffold_1 517725 517731 + 0
scaffold_1_532568_532573_+ 45.5255315208085 48.7353327315023 56.2938776321543 57.5029828975065 43.7108723413228 24.3572961372373 18.9752250434108 22.3277022362587 0.670043944300406 5.46669745241078 4.15988303803151 0.00313817139251538 0.0151524763441241 -2.34403358521207 0.0151524763441241 0.0196517278065576 scaffold_1 532568 532573 + 0
scaffold_1_560841_560913_+ 4267.06451503055 3692.72591608676 3841.79056281104 5184.84311942916 4910.54665622391 3166.01538678671 2861.0323191742 4654.80579974386 0.523941641375737 12.2150447318294 2.67945556377105 0.0278505492193557 0.0710107135494047 -4.60410461079216 0.0710107135494047 0.0294507241060679 scaffold_1 560841 560913 + 0
scaffold_1_561762_561816_+ 40.4830452224439 30.0461995138912 33.3909365973056 60.5870093714917 65.6719298513228 65.3829061450966 50.4023946464199 11.8283739213394 0.944947284595304 5.58793188778712 1.81186829530846 0.107433876709404 0.190175455392671 -5.97078975330165 0.190175455392671 0.104514992443366 scaffold_1 561762 561816 + 0
scaffold_1_562554_562716_+ 1073.50075978659 879.878885809785 738.985369761369 1431.59655045032 1599.43012691856 864.745813377495 654.395678428001 722.796936711482 0.97374805492222 10.1405169406876 5.52543955571723 0.000549101393848362 0.00464036882082127 -0.444215293515067 0.00464036882082127 0.0247729432482948 scaffold_1 562554 562716 + 1
