mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 27.7930597242423 28.2575422870354 29.5806391721607 21.2255237181405 25.4953725920531 29.3243619050096 26.3858290305201 31.883052218151 0.35309948061816 5.0488117065742 2.38571009973683 0.0440309404253738 0.113571019896862 -4.87693264070777 0.113571019896862 0.0178042725749267 scaffold_1 51155 51224 + 0
scaffold_1_100766_100777_+ 129.630000503696 108.126441744922 122.985889835938 143.035953523432 168.649662946296 153.419406038644 107.771598101607 148.638817747088 -0.164946633583773 7.31911611024484 -0.844973672889391 0.422579743953524 0.555731679815378 -6.95559553138579 0.555731679815378 0.0209295892046013 scaffold_1 100766 100777 + 0
scaffold_1_120715_120736_+ 8.50446971804149 5.33766787622401 9.7468343670158 8.09858154361498 13.574141727051 5.07285982489272 5.17844064336197 9.90973373221957 -0.648987834052131 3.29561957770571 -1.72265780002288 0.123097379499822 0.232333318059117 -5.41467613282492 0.232333318059117 0.0281733669755099 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00978025283749728 0.00690607318056258 6.38352308866195 0 9.046616289147 0 6.49073869572321 8.03678890734393 0.586409911239477 1.2437393015986 0.333997996537247 0.746934441223547 0.826452685111199 -5.57535304719024 0.826452685111199 0.321658937551236 scaffold_1 123356 123357 + 0
scaffold_1_157406_157461_+ 31.0568919218073 27.4434737957641 28.7380916420139 11.8758767907936 9.93451760203346 15.4542608060167 17.5103050634749 14.305811664087 0.549295732086655 4.46556986087367 3.43947829280854 0.00877710583571129 0.0394452975876219 -3.06704018081676 0.0394452975876219 0.0193109031344183 scaffold_1 157406 157461 + 0
scaffold_1_163697_163739_+ 28.4971026061943 30.0292410515743 30.1532251251914 29.5034480774929 23.5114125119395 34.4980944632589 45.9537929514272 37.9987807057017 0.602339339609903 5.2698271951362 3.84824031643585 0.0048528400035087 0.0269617299155769 -2.62687247471416 0.0269617299155769 0.0187139771879509 scaffold_1 163697 163739 + 0
scaffold_1_168298_168301_+ 13.4964848805242 11.4712435516097 11.9545700783159 5.52564165473451 0.00122282681730179 11.6647345740888 6.8486848054295 4.5787601755511 2.17309885347347 2.93082440074392 1.67042548660958 0.133231725449336 0.245824024346667 -4.46959006663415 0.245824024346667 0.0294137850347147 scaffold_1 168298 168301 + 0
scaffold_1_193064_193065_+ 17.8691854268944 16.5188829140396 16.0358875901391 26.2720133341397 15.8969194033106 15.1635415835272 6.28196200013269 8.33863955620215 -1.07027379698043 4.12409303933651 -3.12290453824697 0.0140960798429212 0.0533286742348183 -3.56411027651953 0.0533286742348183 0.0287542352690058 scaffold_1 193064 193065 + 0
scaffold_1_213623_213627_+ 8.11957548594372 5.74655501102528 10.5934729361254 11.4806799411067 14.7891447214545 9.20338556516812 12.6038928068337 9.87880058532737 -0.2638814259925 3.63927698374629 -1.17993590212366 0.271789735638409 0.402350018266262 -6.38593635315867 0.402350018266262 0.0241613192810737 scaffold_1 213623 213627 + 0
scaffold_1_216878_216890_+ 4.76165160245009 5.04893631575207 3.99278073930054 5.24975817890598 4.41546554867839 4.44411386293187 4.16412732590206 5.45864224522646 -0.0137448911474434 2.62016539250883 -0.0407168499994571 0.968515557445193 0.984027763018873 -6.26117152018096 0.984027763018873 0.0251369514260474 scaffold_1 216878 216890 + 0
scaffold_1_224729_224735_+ 39.332215853894 73.9496870819638 68.5210918836074 70.6117114710538 168.420306489396 54.9359215995008 82.2014506771621 38.453022899655 -0.924444495246352 6.33114591462329 -2.10599796343649 0.0681602881743611 0.153123924999195 -5.37964607614977 0.153123924999195 0.0872808645452227 scaffold_1 224729 224735 + 0
scaffold_1_226515_226518_+ 32.795253733309 43.5146955369611 28.7787074855284 35.9854886618919 34.7682966199741 24.4863702927613 16.6691828681717 9.33044102179284 -1.11218174684598 4.97086405159115 -3.34222197597435 0.0101391616902378 0.0431479668539513 -3.36130148384023 0.0431479668539513 0.0311238699601491 scaffold_1 226515 226518 + 0
scaffold_1_230668_230673_+ 17.6460405267682 22.3681974245431 14.8271421152183 20.7693807644533 12.5852842698649 20.8892593584866 10.0813683635026 9.00459627766032 -0.33442298945884 4.22870693985761 -0.887288202447619 0.400711222263043 0.534487036433901 -6.74201823956901 0.534487036433901 0.034533125466175 scaffold_1 230668 230673 + 0
scaffold_1_234773_234776_+ 9.43768029266074 8.87076425202171 6.75317994821228 9.24537684049689 8.94058056298792 8.38442464619416 5.28190929032859 0 -1.64837135092597 2.82229655718396 -2.0636193723718 0.072809484458907 0.160359023827893 -4.3192331374309 0.160359023827893 0.0307829489138425 scaffold_1 234773 234776 + 0
scaffold_1_338755_338789_+ 24.3015063021073 33.971359643617 29.3035491256875 1.38777878078145e-17 1.38777878078145e-17 6.87437633624803 7.86999201691921 9.725152394758 4.14746852148798 2.98904945194295 2.78512254373943 0.0236444642189136 0.0751129963339555 -3.22348361688718 0.0751129963339555 0.023528550024221 scaffold_1 338755 338789 + 0
scaffold_1_342988_343020_+ 23.492904465735 25.1080097281372 20.2239663402187 18.1370490791065 12.3638815823088 21.5002277939764 18.1490917237057 16.8597877617716 0.350079342843104 4.54274889231791 1.68832458310792 0.129674886721459 0.241081078372846 -5.82789630564283 0.241081078372846 0.0208765605794088 scaffold_1 342988 343020 + 0
scaffold_1_387218_387361_+ 43.7248554585024 46.5481906639055 50.2403861746375 20.2585221963104 14.9022926169454 18.3151938719057 16.8508283197888 18.7508545174329 0.0815822707371474 4.95355828533101 0.471071149533475 0.650119107290809 0.751102770251089 -7.08459959743567 0.751102770251089 0.0182520225624911 scaffold_1 387218 387361 + 0
scaffold_1_402528_402533_+ 9.60038366901721 8.4687007308804 9.95241874779028 9.24727004103857 8.49924869508817 8.46402712723221 10.3763596303641 9.37202816685032 0.114066651679002 3.53217203639371 0.659446346935653 0.528059943795914 0.649923069473233 -6.72059839676354 0.649923069473233 0.0224266148810148 scaffold_1 402528 402533 + 0
scaffold_1_406284_406290_+ 46.0483557816533 43.4117963818236 44.7612662012866 46.2443994046217 39.2947881336794 43.2773035171745 59.2879869199638 55.3993429314802 0.326016180661942 5.81521714272417 2.0924673421966 0.0696122295421568 0.155470571643661 -5.3997973435657 0.155470571643661 0.0177638668438421 scaffold_1 406284 406290 + 0
