"logFC" "logCPM" "PValue" "FDR" "promoter_ID"
"JGI_V11_189791" 14.5406468271727 10.3964704523488 2.74690853632163e-122 9.3239232084544e-119 "scaffold_25_949272_949300_+"
"JGI_V11_219913" 12.060105275104 7.91609837661982 4.96213928237287e-106 1.01058928624806e-102 "scaffold_13_738311_738319_+"
"JGI_V11_299986" -14.6441063367845 9.91451924600852 1.53845352352023e-104 2.61101203833441e-101 "scaffold_36_524765_524773_+"
"JGI_V11_299784" 13.310824597842 9.16676934009076 1.6327564779612e-102 2.3751941735827e-99 "scaffold_18_956514_956518_-"
"JGI_V11_231974" -12.5722617978615 7.84633126354384 5.51512122970612e-101 7.02005993526218e-98 "scaffold_14_1085111_1085121_+"
"JGI_V11_299786" -13.7506677953196 9.02305580099319 2.61496353704922e-77 2.21901447481435e-74 "scaffold_67_462373_462418_+"
"JGI_V11_299787" -11.9777258737044 7.25592046401911 3.04435697394951e-77 2.38466823582522e-74 "scaffold_245_22935_23039_+"
"JGI_V11_231986" -10.6369149236849 5.93803935109808 8.18304110246769e-73 5.95199339617347e-70 "scaffold_40_72120_72165_-"
"JGI_V11_299990" 6.25179471269371 8.31414863849988 9.14096714856641e-72 6.20549789825678e-69 "scaffold_113_165495_165518_-"
"JGI_V11_309510" 14.2994564864207 10.1556095095883 2.54079797723044e-65 1.6170591126336e-62 "scaffold_10_520875_520898_-"
"JGI_V11_299792" 3.83500883642179 9.91289424513379 4.10725620941916e-65 2.46024646944208e-62 "scaffold_12_1046153_1046183_-"
"JGI_V11_219940" 15.9439767268329 11.8008472116498 3.70873367162021e-59 2.09811305433937e-56 "scaffold_10_522696_522713_+"
"JGI_V11_219945" 4.79553844391942 9.02935733336255 1.79466592458961e-58 9.61846479478736e-56 "scaffold_32_670433_670441_+"
"JGI_V11_299604" 12.3297529147984 8.18889658164226 5.49098724817046e-54 2.66260586419618e-51 "scaffold_25_996147_996185_+"
"JGI_V11_299637" 3.45378383495756 8.53287758343183 6.2361539853915e-53 2.76098939274964e-50 "scaffold_97_428994_429002_-"
"JGI_V11_219955" -9.79388154708781 5.12943156974769 3.20326211835159e-52 1.35911742296559e-49 "scaffold_6_1022713_1022718_+"
"JGI_V11_309533" 3.81874695675759 7.28837430157473 1.55679274891919e-50 6.27362635699508e-48 "scaffold_5_1871687_1871800_-"
"JGI_V11_300012" 12.1830423584056 8.03833403936229 5.72746973872847e-50 2.160104605536e-47 "scaffold_40_218630_218671_-"
"JGI_V11_300012.1" 5.61295516152917 11.0954029892106 2.06107552094567e-49 7.49569001063921e-47 "scaffold_10_524722_524735_-"
"JGI_V11_300012.2" 11.1484181539874 7.0101012823385 8.42226041938162e-49 2.95737509829528e-46 "scaffold_10_39320_39601_+"
"JGI_V11_300012.3" 5.09109117591862 11.7238284450299 1.30722290565294e-48 4.43715028275463e-46 "scaffold_18_452985_453012_-"
"JGI_V11_300012.4" 4.5826737911157 13.9727103913193 3.98956936192684e-47 1.31050918750003e-44 "scaffold_958_1392_1439_-"
"JGI_V11_300012.5" 11.6938899202154 7.55067066167625 4.40718314168317e-46 1.40244831036749e-43 "scaffold_13_634992_635101_-"
"JGI_V11_300012.6" 5.50120805126017 6.57726718317513 6.86842958471455e-46 2.11943086245904e-43 "scaffold_18_452397_452772_-"
"JGI_V11_300012.7" 3.69990015650873 8.65846903065293 1.23456271891314e-45 3.69751534314486e-43 "scaffold_4_2993955_2993976_-"
"JGI_V11_230075" -2.85592705423685 8.2786763534762 1.2713574914523e-45 3.69892381013109e-43 "scaffold_10_1904550_1904623_-"
"JGI_V11_230075.1" 11.0227871735283 6.88613133756302 4.15764284704336e-45 1.17603547531785e-42 "scaffold_9_1663314_1663429_-"
"JGI_V11_230075.2" -2.40947011520765 7.8348024635113 2.40481861815285e-43 6.61845080774336e-41 "scaffold_25_741934_741953_-"
"JGI_V11_299805" 9.95872028331629 5.83975899136965 8.71027269938077e-42 2.33412386573143e-39 "scaffold_86_359301_359307_+"
"JGI_V11_299809" 3.76574717774089 9.74500579558473 1.56393363793051e-41 4.08347082949908e-39 "scaffold_72_512521_512528_+"
"JGI_V11_300019" 3.38100218634929 10.0003922160144 3.05127583430854e-41 7.76778545519098e-39 "scaffold_25_1045255_1045263_+"
"JGI_V11_299812" -10.4774489568618 5.78267365651301 1.31564209593732e-39 3.26760572266578e-37 "scaffold_120_29233_29239_+"
"JGI_V11_299812.1" 10.2641378761597 6.13721249080086 7.09696896946198e-38 1.72067702419122e-35 "scaffold_76_29353_29367_+"
"JGI_V11_300027" -2.93181552265308 9.13704735968368 1.04994700373373e-37 2.48642100907455e-35 "scaffold_6_1142921_1142929_+"
"JGI_V11_309592" 3.48143352730637 7.79493562787927 5.88139045337025e-37 1.33089331081487e-34 "scaffold_77_247104_247123_+"
"JGI_V11_309592.1" -6.08082282733175 5.45990989299742 8.9872522443819e-37 1.98950412183784e-34 "scaffold_72_337525_337549_+"
"JGI_V11_299818" -6.08082282733175 5.45990989299742 8.9872522443819e-37 1.98950412183784e-34 "scaffold_72_337525_337549_+.1"
"JGI_V11_299820" 2.74195458904374 8.95590245002508 2.51904072953208e-36 5.3440399476719e-34 "scaffold_88_276950_277007_-"
"JGI_V11_189934" 10.2260727628261 6.10005032807368 3.1993157923169e-36 6.64870055370673e-34 "scaffold_83_53791_53827_+"
"JGI_V11_309603" 10.2260727628261 6.10005032807368 3.1993157923169e-36 6.64870055370673e-34 "scaffold_83_53791_53827_+.1"
"JGI_V11_299826" 5.84675820212615 6.43588564281592 4.45953415245027e-36 9.08228725488022e-34 "scaffold_10_524420_524545_-"
"JGI_V11_230081" 11.1341396058088 6.99508791640777 7.89002852301301e-36 1.57537569509493e-33 "scaffold_25_234669_234677_+"
"JGI_V11_230081.1" 2.35406566581015 11.1715577984853 1.60004469474307e-35 3.13331829357091e-33 "scaffold_1321_3241_3287_+"
"JGI_V11_230081.2" -9.19762448568212 4.57551003437915 2.09546914233019e-35 4.02606835402798e-33 "scaffold_32_184311_184407_-"
"JGI_V11_230081.3" 10.5436251537468 8.42711404491174 3.7376258820243e-35 7.04819339938026e-33 "scaffold_958_615_869_-"
"JGI_V11_230081.4" -1.54567701801659 9.50246430698203 6.57832923061628e-35 1.2179477555521e-32 "scaffold_51_57739_57895_-"
"JGI_V11_230081.5" 3.31423729671547 8.47324658263589 1.70879405279078e-33 3.10725889992295e-31 "scaffold_4_2620278_2620308_-"
"JGI_V11_230081.6" 3.93788544120283 8.1288117811852 4.90359555599129e-32 8.76023044678233e-30 "scaffold_77_513088_513094_-"
"JGI_V11_230081.7" -8.73629036240758 4.62059469279386 6.40180331404086e-32 1.123957985291e-29 "scaffold_32_202920_202952_-"
"JGI_V11_230081.8" 9.79675774081672 5.68157367008261 2.10904074133445e-31 3.64006133373028e-29 "scaffold_10_520586_520707_-"
"JGI_V11_230081.9" 9.43078016248959 5.33040817499855 1.73790382170089e-30 2.94951243606336e-28 "scaffold_70_288001_288005_+"
"JGI_V11_232153" 9.02028420917742 13.1354963432787 2.55368726331075e-30 4.19422538746667e-28 "scaffold_13_635408_635499_-"
"JGI_V11_299828" 9.25051736975362 5.33743271835229 3.87119313377943e-30 6.25719994940887e-28 "scaffold_18_315578_315598_+"
"JGI_V11_300039" -9.0292836868616 4.42160440709739 2.47170707823842e-29 3.93271768401591e-27 "scaffold_67_52450_52551_-"
"JGI_V11_94071" -8.74030477115127 4.16421955145196 5.5115127303003e-29 8.63442063579199e-27 "scaffold_10_679474_679539_+"
"JGI_V11_94071.1" 4.78317115031867 6.02693183660503 8.13691409302477e-29 1.25542721529199e-26 "scaffold_31_20999_21130_+"
"JGI_V11_220021" 6.03048752228728 8.1865567231756 3.80481129574279e-28 5.69770491537483e-26 "scaffold_958_1032_1273_-"
"JGI_V11_232197" 4.97868326516528 5.7630059302827 1.57837337312618e-26 2.29608229407769e-24 "scaffold_32_669235_669237_-"
"JGI_V11_232197.1" 3.55375618273203 6.95868410204751 1.24052208144924e-25 1.77918821907008e-23 "scaffold_16_1584746_1584755_-"
"JGI_V11_299840" 4.72683254252636 5.92730345864097 1.10970396641612e-24 1.5479610260295e-22 "scaffold_2_1080565_1080573_-"
"JGI_V11_300053" 8.63908028331399 4.87107084784378 2.71658724044175e-24 3.72819515955808e-22 "scaffold_32_670641_670746_+"
"JGI_V11_300057" 3.58763650299393 7.80025536689021 2.74589646437058e-24 3.72819515955808e-22 "scaffold_51_78265_78363_+"
"JGI_V11_300058" -10.4609790276531 13.4713414282685 3.36892879722266e-24 4.51392130817347e-22 "scaffold_10571_351_375_-"
"JGI_V11_205172" 12.2806420330733 8.13910102971613 1.38650894720247e-23 1.83361306615101e-21 "scaffold_13_635196_635287_-"
"JGI_V11_232248" 3.58514388243487 9.06619400899651 1.67626826400041e-23 2.18838970927131e-21 "scaffold_8_18417_18482_+"
"JGI_V11_220051" 8.56809563088442 6.20105755427703 1.71158034398026e-23 2.20620539781658e-21 "scaffold_58_177193_177328_-"
"JGI_V11_190015" -8.17400225702473 3.67953146363323 1.71327865133732e-22 2.05250782430211e-20 "scaffold_57_500324_500327_+"
"JGI_V11_190018" 4.05449632668751 5.92596441594366 6.46368457966462e-22 7.47951137212783e-20 "scaffold_14_1324158_1324164_-"
"JGI_V11_190018.1" 3.54056579245128 7.21010730858623 6.65857249083238e-22 7.61845434540968e-20 "scaffold_121_21177_21182_-"
"JGI_V11_190018.2" 4.00843713752371 6.27931369784873 9.58072887329898e-22 1.08400624574226e-19 "scaffold_15_665749_665757_+"
"JGI_V11_232260" 9.37117692599093 5.34127884565368 9.87445024915526e-22 1.1049618339247e-19 "scaffold_6_2270754_2270760_+"
"JGI_V11_186925" 8.56060980223612 4.51487256409569 1.29189921388888e-21 1.41456018226134e-19 "scaffold_25_243070_243124_+"
"JGI_V11_299852" 8.32007895523931 5.774932942417 1.5883196215978e-21 1.72062326667345e-19 "scaffold_13_491583_491625_-"
"JGI_V11_232289" 8.39504890454009 4.36533553105108 2.11860470494079e-21 2.27092123267496e-19 "scaffold_10_524232_524292_-"
