Motif1:Motif2	TotalPeaks	Peaks with Motif2	Peaks with Motif1	Peaks with Both	Expected Overlap	Observed/Expected	logPvalue
   Dpm1:   Dpm1	10580	1140	1140	69	63.8154766802257	1.08124241311796	-1.29577925026887
   Dpm1:Dpm2	10580	1140	900	68	96.9754253308129	0.701208576998051	6.76923082978749
   Dpm1:Dpm3	10580	1140	3392	371	365.489603024575	1.01507675438596	-0.936763788160916
   Dpm1:Dpm4	10580	1140	684	59	73.7013232514178	0.800528367702883	3.10611126740236
   Dpm1:Dpm5	10580	1140	785	115	84.5841209829868	1.35959325064253	-6.99339626215535
   Dpm1:Dpm6	10580	1140	16	0	1.72400756143667	0	1.72414803877229
   Dpm1:Dpm7	10580	1140	522	82	56.2457466918715	1.4578880150568	-7.22633361831716
   Dpm1:Dpm8	10580	1140	412	56	44.3931947069943	1.26145460739227	-2.96818267774551
Dpm2:Dpm2	10580	900	900	11	36.9092195900858	0.298028517594414	14.4116271818454
Dpm2:Dpm3	10580	900	3392	340	288.544423440454	1.17832809224319	-6.50808218413329
Dpm2:Dpm4	10580	900	684	39	58.1852551984877	0.670272904483431	5.32611417568784
Dpm2:Dpm5	10580	900	785	37	66.7769376181474	0.554083510261854	9.92951768724712
Dpm2:Dpm6	10580	900	16	10	1.36105860113422	7.34722222222222	-13.2555174664585
Dpm2:Dpm7	10580	900	522	41	44.4045368620038	0.923329076202639	1.08312575964158
Dpm2:Dpm8	10580	900	412	21	35.047258979206	0.599190938511327	4.91241475542842
Dpm3:Dpm3	10580	3392	3392	568	581.53717077666	0.976721744615944	1.23593717606775
Dpm3:Dpm4	10580	3392	684	216	219.293761814745	0.984980139026812	0.847387897505078
Dpm3:Dpm5	10580	3392	785	206	251.674858223062	0.818516404278332	6.4860741076039
Dpm3:Dpm6	10580	3392	16	12	5.1296786389414	2.33932783018868	-5.02152456813562
Dpm3:Dpm7	10580	3392	522	155	167.355765595463	0.926170660738813	1.72464228762596
Dpm3:Dpm8	10580	3392	412	120	132.089224952741	0.908476827257739	1.86472123978896
Dpm4:Dpm4	10580	684	684	21	22.3889830242441	0.937961316834263	0.823517878594517
Dpm4:Dpm5	10580	684	785	62	50.7504725897921	1.22166350057735	-2.6791612916145
Dpm4:Dpm6	10580	684	16	0	1.034404536862	0	1.03445510736666
Dpm4:Dpm7	10580	684	522	46	33.7474480151229	1.36306603033766	-3.66695612505154
Dpm4:Dpm8	10580	684	412	32	26.6359168241966	1.20138534037359	-1.76333897213999
Dpm5:Dpm5	10580	785	785	29	29.6457849081156	0.978216636526333	0.690124430436848
Dpm5:Dpm6	10580	785	16	0	1.18714555765595	0	1.18721216766537
Dpm5:Dpm7	10580	785	522	42	38.7306238185255	1.08441320740903	-1.13872917573047
Dpm5:Dpm8	10580	785	412	17	30.5689981096408	0.556118978418156	5.20177294477666
Dpm6:Dpm6	10580	16	16	0	0.0120378608079127	0	1.0000472622596
Dpm6:Dpm7	10580	16	522	0	0.789413988657845	0	1.0000472622596
Dpm6:Dpm8	10580	16	412	0	0.623062381852552	0	1.0000472622596
Dpm7:Dpm7	10580	522	522	18	13.2709431613782	1.3563467028014	-2.08016899796615
Dpm7:Dpm8	10580	522	412	33	20.3274102079395	1.62342372503069	-5.13328963537009
Dpm8:Dpm8	10580	412	412	11	8.20275285949968	1.34101321695445	-1.58638608878859
