Motif1:Motif2	TotalPeaks	Peaks with Motif2	Peaks with Motif1	Peaks with Both	Expected Overlap	Observed/Expected	logPvalue
   Dpm1:   Dpm1	10580	3952	3952	790	796.353469330948	0.992021797385669	0.875741261843114
   Dpm1:Dpm2	10580	3952	3880	1356	1449.3156899811	0.935613965524438	5.50111546578574
   Dpm1:Dpm3	10580	3952	3766	1372	1406.73270321361	0.97530966392246	1.81080371139671
   Dpm1:Dpm4	10580	3952	684	221	255.497920604915	0.864977685441674	4.25571545419647
   Dpm1:Dpm5	10580	3952	3760	1414	1404.49149338374	1.00677007063485	-0.924080696973816
   Dpm1:Dpm6	10580	3952	1059	424	395.573534971645	1.071861392422	-2.55956967813705
   Dpm1:Dpm7	10580	3952	831	356	310.407561436673	1.14687927817322	-5.22122974662909
Dpm2:Dpm2	10580	3880	3880	731	759.653641423452	0.962280650205586	1.93550064752845
Dpm2:Dpm3	10580	3880	3766	1441	1381.10396975425	1.04336822683697	-3.12623696038204
Dpm2:Dpm4	10580	3880	684	218	250.843100189036	0.869069150539579	4.03043503771539
Dpm2:Dpm5	10580	3880	3760	1308	1378.90359168242	0.948579732397456	3.88969844679564
Dpm2:Dpm6	10580	3880	1059	406	388.366729678639	1.04540365838225	-1.67460189271718
Dpm2:Dpm7	10580	3880	831	234	304.75236294896	0.767836540250847	11.4157221598529
Dpm3:Dpm3	10580	3766	3766	735	727.69770948883	1.01003478562039	-0.929001272410304
Dpm3:Dpm4	10580	3766	684	233	243.472967863894	0.956985089737976	1.34368215198546
Dpm3:Dpm5	10580	3766	3760	1218	1338.38941398866	0.91004903899391	8.55210606885104
Dpm3:Dpm6	10580	3766	1059	349	376.95595463138	0.925837609705044	2.60848593340469
Dpm3:Dpm7	10580	3766	831	299	295.798298676749	1.01082393420643	-0.836674209324503
Dpm4:Dpm4	10580	684	684	21	22.3889830242441	0.937961316834263	0.823517878594517
Dpm4:Dpm5	10580	684	3760	251	243.085066162571	1.03256034590021	-1.1634658158164
Dpm4:Dpm6	10580	684	1059	94	68.4646502835539	1.37297130140428	-6.26503783373516
Dpm4:Dpm7	10580	684	831	59	53.7243856332703	1.09819776074764	-1.37578465193416
Dpm5:Dpm5	10580	3760	3760	762	735.50434112154	1.03602379672982	-1.8315970585479
Dpm5:Dpm6	10580	3760	1059	368	376.355387523629	0.977799208406164	1.07138072147749
Dpm5:Dpm7	10580	3760	831	218	295.327032136106	0.73816473359449	13.748773407479
Dpm6:Dpm6	10580	1059	1059	69	55.8304334380168	1.23588508544545	-3.03315089886804
Dpm6:Dpm7	10580	1059	831	96	83.1785444234405	1.15414378389803	-2.41141698138115
Dpm7:Dpm7	10580	831	831	38	33.6720950483352	1.12853090802494	-1.38942651739016
