Motif1:Motif2	TotalPeaks	Peaks with Motif2	Peaks with Motif1	Peaks with Both	Expected Overlap	Observed/Expected	logPvalue
7:7	10580	0	0	0	4.69410008581465e-05	0	1.0000472622596
7:Group2_consensus	10580	0	179	0	0	0	1.0000472622596
7:Group5_consensus	10580	0	0	0	0	0	1.0000472622596
7:Group6_consensus	10580	0	933	0	0	0	1.0000472622596
7:Group7_consensus	10580	0	1239	0	0	0	1.0000472622596
7:Group8_consensus	10580	0	438	0	0	0	1.0000472622596
Group2_consensus:Group2_consensus	10580	179	179	1	1.50406773271043	0.664863674854547	0.586172753659975
Group2_consensus:Group5_consensus	10580	179	0	0	0	0	1.0000472622596
Group2_consensus:Group6_consensus	10580	179	933	7	15.7851606805293	0.443454465980468	4.48083557334955
Group2_consensus:Group7_consensus	10580	179	1239	31	20.9622873345936	1.47884624922784	-3.74905948473033
Group2_consensus:Group8_consensus	10580	179	438	8	7.41039697542533	1.07956429682916	-0.771713880633343
Group5_consensus:Group5_consensus	10580	0	0	0	4.69410008581465e-05	0	1.0000472622596
Group5_consensus:Group6_consensus	10580	0	933	0	0	0	1.0000472622596
Group5_consensus:Group7_consensus	10580	0	1239	0	0	0	1.0000472622596
Group5_consensus:Group8_consensus	10580	0	438	0	0	0	1.0000472622596
Group6_consensus:Group6_consensus	10580	933	933	30	41.013035513979	0.731474752454611	3.10299091563207
Group6_consensus:Group7_consensus	10580	933	1239	57	109.261531190926	0.521684067381381	17.5284215265427
Group6_consensus:Group8_consensus	10580	933	438	62	38.6251417769376	1.60517210158227	-8.05951772627856
Group7_consensus:Group7_consensus	10580	1239	1239	26	69.4645143855254	0.374291826985229	20.0998103126166
Group7_consensus:Group8_consensus	10580	1239	438	33	51.2931947069943	0.643360199896072	5.47051772967599
Group8_consensus:Group8_consensus	10580	438	438	12	9.24429892144028	1.29809735729861	-1.508518416876
