AveExpr t P.Value adj.P.Val B
scaffold_182_153327_153902_+ 12.1628994451909 12.6058214520021 2.39301845161725e-08 0.00103679917434769 6.61272057013926
scaffold_40_709687_709851_- 10.244063011299 10.8831458414466 1.24909356724971e-07 0.00270591139473304 5.63397002744695
scaffold_4_2804474_2807513_- 12.2464491111617 10.2784725982517 2.35041881269915e-07 0.00278677939178297 5.3968291892023
scaffold_18_339393_339729_- 11.3185868058778 10.1942703134721 2.57284715116371e-07 0.00278677939178297 5.20348628353075
scaffold_20_953762_954713_- 11.6068816651373 9.93229042534821 3.42202554088553e-07 0.00295053738896573 5.21675338426472
scaffold_4_2370068_2370663_+ 12.7962709267638 9.57497915008215 5.09904329729023e-07 0.00295053738896573 5.08461522336156
scaffold_107_74856_75513_- 10.7110755776 9.46605396661706 5.77165798200031e-07 0.00295053738896573 4.7139884898152
scaffold_241_38542_39566_- 10.1965037639642 9.41820913842962 6.09663182487092e-07 0.00295053738896573 4.46946859629207
scaffold_25_421449_422999_- 10.3323131312662 9.41358323927562 6.12907642078464e-07 0.00295053738896573 4.59844888300299
scaffold_1_1985497_1985815_+ 11.3225091218876 9.12676830531583 8.55176033087876e-07 0.00370513568095653 4.53629189307009
scaffold_38_282087_284114_+ 10.9369853806563 8.70415811431855 1.41794378925153e-06 0.0046688669482778 4.11525264477988
scaffold_25_1177514_1178408_- 10.6964663026131 8.61816117653572 1.57514845245368e-06 0.0046688669482778 4.05032659569121
scaffold_1_3274884_3275496_- 9.88123380432652 8.60892327504297 1.59311338638647e-06 0.0046688669482778 3.90484313950074
scaffold_38_865901_866450_+ 10.1704740376472 8.537467344522 1.73970665719779e-06 0.0046688669482778 3.86494492509602
scaffold_7_1474887_1476022_- 9.85335891311059 8.50550358827887 1.8098941877666e-06 0.0046688669482778 3.81650391060666
scaffold_187_95661_96543_+ 10.3184187613448 8.46250284858912 1.90913444046159e-06 0.0046688669482778 3.97621394549407
scaffold_7_1618433_1618888_- 10.6897446686606 8.42598977083988 1.99797444440425e-06 0.0046688669482778 3.80562594085992
scaffold_4_3049055_3049963_- 10.4347359984878 8.41373638898056 2.028770742634e-06 0.0046688669482778 3.77051537923377
scaffold_104_349273_350077_+ 11.4023670173868 8.37286026689791 2.13523011373576e-06 0.0046688669482778 3.93799255155012
scaffold_8_1007080_1007432_- 11.2819994620512 8.36542596593325 2.15522639905729e-06 0.0046688669482778 4.0222568617806
scaffold_94_359567_360130_- 10.0772149902091 8.28353243302385 2.38924255418832e-06 0.00472406161250724 3.74464252522944
scaffold_63_379025_379198_+ 11.1721202778735 8.28038051374632 2.39877568838941e-06 0.00472406161250724 3.78484040298716
