Promoter_ID	Gene_ID	alias	mat_fem_1	mat_fem_2	mat_fem_3	mat_male_1	mat_male_2	pE_1	pE_2	pE_3	mat_fem average	mat_fem_SEM	mat_male_average	mat_male_SEM	pE_average	pE_SEM	MF_v_M_FC	pEv_MF_FC	M_v_pE	MF_v_Sexuals
scaffold_163_128481_128482_-	JGI_V11_299520	cyclinE	6.434199257	9.20942359	6.579496828	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	7.407706558	0.901834435	1.38778E-17	0	1.38778E-17	0	17.72736353	-17.72736353	0	17.72736353
scaffold_17_682512_682553_-	JGI_V11_299714	rad51	8.843535095	11.15876012	10.47193123	9.777911504	11.71419002	6.887498585	8.634859337	6.683933583	10.15807548	0.686524049	10.74605076	0.968139258	7.402097168	0.619175958	-0.024437452	-0.137456654	0.161894106	0.049009121
scaffold_77_79138_79154_-	JGI_V11_299469	cdk2	28.63451073	28.81942548	28.91666684	1.38778E-17	1.38778E-17	13.07281512	11.92967436	16.59316343	28.79020102	0.082751776	1.38778E-17	0	13.86521764	1.403324492	18.31692445	-0.317318006	-17.99960645	0.618348002
scaffold_79_381752_381806_+	JGI_V11_299546	cdk1/cdc2	61.14729714	74.10121629	59.23158569	23.37199475	26.8836982	57.63259381	58.80445714	70.0345781	64.82669971	4.670117092	25.12784647	1.755851723	62.15720968	3.953185036	0.411598643	-0.018262402	-0.39333624	0.171844012
scaffold_100_432647_432719_-	JGI_V11_228408	cyclinB-B	8.842157202	13.22497732	18.2228777	1.38778E-17	1.38778E-17	5.477065702	8.411586571	0.063890036	13.43000407	2.709920431	1.38778E-17	0	4.650847436	2.444925822	17.9857559	-0.460544051	-17.52521185	0.761574047
scaffold_12_754858_754872_+	JGI_V11_222925	cyclinB-D	234.0819461	249.5591729	244.4066559	13.72750892	14.25514647	109.0498082	134.5412321	114.9243604	242.6825916	4.550290673	13.99132769	0.263818774	119.5051336	7.706940283	1.239179696	-0.307652062	-0.931527633	0.560598866
scaffold_88_276410_276559_-	JGI_V11_216737	cyclinA	50.31395909	40.99046179	45.64866915	1.38778E-17	1.38778E-17	27.49514815	24.57957836	16.03309721	45.65103001	2.691462095	1.38778E-17	0	22.70260791	3.439327284	18.51713034	-0.303374832	-18.21375551	0.604404828
scaffold_17_649232_649239_-	JGI_V11_210441	cyclinB3	8.145923006	8.771702317	9.888944567	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	8.935523297	0.509790488	1.38778E-17	0	1.38778E-17	0	17.80879975	-17.80879975	0	17.80879975
scaffold_1_409256_409263_+	JGI_V11_299604	cyclinD-A	23.47108407	18.96512503	24.84464849	15.02411565	11.63988093	6.09978333	8.441850637	6.857917579	22.42695253	1.77574933	13.33199829	1.69211736	7.133183849	0.689963394	0.225875015	-0.497486846	0.271611832	0.340784645
scaffold_10_928060_928062_+	JGI_V11_230543	cdk10	40.09470604	42.86594177	34.68196582	27.6736876	20.05265111	52.79336342	34.92552821	50.45268235	39.21420455	2.403180374	23.86316936	3.810518245	46.05719133	5.606696586	0.215715286	0.06985404	-0.285569327	0.049869746
scaffold_12_1037164_1037224_+	JGI_V11_301125	polo-B	94.4930537	105.9720137	93.92859724	13.99307032	14.8277144	40.5574835	45.99706006	41.64647059	98.13122156	3.92378088	14.41039236	0.417322043	42.73367138	1.66170118	0.833131399	-0.361036999	-0.4720944	0.535866079
scaffold_9_1434538_1434559_+	JGI_V11_309099	polo-A	14.37695348	16.57747643	18.05519598	0.019702696	5.235742314	6.707611163	10.65148647	10.52014272	16.33654196	1.068629034	2.627722505	2.608019809	9.293080119	1.293290388	0.793580632	-0.245000451	-0.548580181	0.437884631
scaffold_4_611628_611657_-	JGI_V11_311335	pms1	28.28250754	27.52118892	18.58854874	20.04257403	17.15247105	26.88038081	27.17570473	22.62713955	24.79741507	3.11220272	18.59752254	1.445051489	25.56107503	1.469442877	0.124951318	0.013172704	-0.138124021	0.050421135
scaffold_9_486816_486818_-	JGI_V11_237171	polo-C	8.121614248	8.958206654	4.73446732	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	7.271429408	1.29126607	1.38778E-17	0	1.38778E-17	0	17.71929955	-17.71929955	0	17.71929955
scaffold_120_151613_151617_+	JGI_V11_301153	mcm4	11.80722674	14.47696856	16.17671019	1.38778E-17	1.38778E-17	0.064711691	5.562085399	7.859954013	14.15363516	1.271679306	1.38778E-17	0	4.495583701	2.312611808	18.00854775	-0.498081909	-17.51046585	0.799111904
scaffold_83_138855_138856_+	JGI_V11_308681	aub-C	7.017254759	7.158184452	8.254404495	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	1.38778E-17	7.476614569	0.391017123	1.38778E-17	0	1.38778E-17	0	17.73138475	-17.73138475	0	17.73138475
scaffold_61_470695_470696_-	JGI_V11_307300	mcm6	13.66125184	12.7322976	12.16348831	5.237814796	0.025864254	10.06790202	8.371087389	10.52895209	12.85234592	0.436513686	2.631839525	2.605975271	9.6559805	0.656088034	0.688723001	-0.124186026	-0.564536975	0.32053756
