Motif1:Motif2	TotalPeaks	Peaks with Motif2	Peaks with Motif1	Peaks with Both	Expected Overlap	Observed/Expected	logPvalue
Dpm1:Dpm1	10580	662	662	26	21.292488878107	1.22108787511137	-1.72163157065238
Dpm1:Dpm2	10580	662	1588	74	99.3625708884688	0.744747235687597	5.38258013948089
Dpm1:Dpm3	10580	662	1081	77	67.6391304347826	1.1383942919586	-1.96288841456124
Dpm1:Dpm4	10580	662	890	128	55.6880907372401	2.29851658236872	-37.2507529957992
Dpm1:Dpm5	10580	662	1268	63	79.3398865784499	0.794052055238404	3.39308149909217
Dpm1:Dpm6	10580	662	395	23	24.7155009451796	0.930590079926575	0.877848507599687
Dpm1:Dpm7	10580	662	251	13	15.7052930056711	0.827746416148096	1.20737518322203
Dpm1:Dpm8	10580	662	283	18	17.707561436673	1.0165148975692	-0.685507571194184
Dpm2:Dpm2	10580	1588	1588	83	118.48870286512	0.700488721650386	7.98514838085211
Dpm2:Dpm3	10580	1588	1081	197	162.252173913043	1.21415938689104	-5.47245919934709
Dpm2:Dpm4	10580	1588	890	109	133.584120982987	0.815965244955141	4.14880116145732
Dpm2:Dpm5	10580	1588	1268	118	190.319848771267	0.620008899554228	18.5279763778651
Dpm2:Dpm6	10580	1588	395	70	59.2873345935728	1.18069062270829	-2.36268432481587
Dpm2:Dpm7	10580	1588	251	38	37.6737240075614	1.00866057181852	-0.692141565461233
Dpm2:Dpm8	10580	1588	283	40	42.4767485822306	0.941691662735534	0.942880261733174
Dpm3:Dpm3	10580	1081	1081	57	56.754641647203	1.00432314160879	-0.683689767374417
Dpm3:Dpm4	10580	1081	890	65	90.9347826086957	0.714797991871862	5.9744316355932
Dpm3:Dpm5	10580	1081	1268	91	129.55652173913	0.702396133968723	8.5000371533585
Dpm3:Dpm6	10580	1081	395	61	40.3586956521739	1.51144626986264	-6.54504558030891
Dpm3:Dpm7	10580	1081	251	35	25.645652173913	1.36475375095363	-3.09710100649759
Dpm3:Dpm8	10580	1081	283	36	28.9152173913043	1.24501917149087	-2.18529470525951
Dpm4:Dpm4	10580	890	890	34	37.8494010735677	0.898296909214346	1.20614175142332
Dpm4:Dpm5	10580	890	1268	153	106.665406427221	1.4343919469748	-11.247754760525
Dpm4:Dpm6	10580	890	395	40	33.2277882797732	1.20381169108235	-1.975304543449
Dpm4:Dpm7	10580	890	251	18	21.1143667296786	0.852500111911903	1.22766237034924
Dpm4:Dpm8	10580	890	283	21	23.8062381852552	0.882121729463612	1.11573041155276
Dpm5:Dpm5	10580	1268	1268	59	76.149269005566	0.774794042943308	3.71615747824254
Dpm5:Dpm6	10580	1268	395	30	47.3402646502836	0.63371001876772	5.3654014552047
Dpm5:Dpm7	10580	1268	251	26	30.0820415879017	0.86430304020511	1.33870368092374
Dpm5:Dpm8	10580	1268	283	30	33.917202268431	0.884506916654591	1.25625365082968
Dpm6:Dpm6	10580	395	395	12	7.58219876619666	1.58265436847937	-2.47611075999821
Dpm6:Dpm7	10580	395	251	49	9.37098298676749	5.22890715618539	-44.1598429660699
Dpm6:Dpm8	10580	395	283	17	10.5656899810964	1.60898152703851	-3.1833801507534
Dpm7:Dpm7	10580	251	251	5	3.02798360200065	1.65126389611106	-1.66369869415229
Dpm7:Dpm8	10580	251	283	8	6.71389413988658	1.19155885292751	-1.02519414016126
Dpm8:Dpm8	10580	283	283	6	3.85105765755578	1.55801354680525	-1.65018590678849
