Motif1:Motif2	TotalPeaks	Peaks with Motif2	Peaks with Motif1	Peaks with Both	Expected Overlap	Observed/Expected	logPvalue
Dpm1:Dpm1	10580	1003	1003	62	49.9629455991295	1.24091963066886	-2.90687370647777
Dpm1:Dpm2	10580	1003	2393	188	226.860018903592	0.828704859095926	5.48591606702258
Dpm1:Dpm3	10580	1003	1274	127	120.777126654064	1.05152360813947	-1.2157502540844
Dpm1:Dpm4	10580	1003	1264	214	119.829111531191	1.78587654757247	-33.1502187126644
Dpm1:Dpm5	10580	1003	1617	116	153.29404536862	0.756715629240911	6.97936236394354
Dpm1:Dpm6	10580	1003	726	67	68.8258979206049	0.973470772256234	0.811957603215635
Dpm1:Dpm7	10580	1003	435	38	41.2386578449905	0.921465488591696	1.0718254376631
Dpm1:Dpm8	10580	1003	490	44	46.452741020794	0.947199218670519	0.927248476601068
Dpm2:Dpm2	10580	2393	2393	270	284.851941980622	0.947860836484548	1.63482995982466
Dpm2:Dpm3	10580	2393	1274	306	288.155198487713	1.06192774451386	-1.89558534682023
Dpm2:Dpm4	10580	2393	1264	267	285.893383742911	0.933914582088052	2.00572641072961
Dpm2:Dpm5	10580	2393	1617	322	365.735444234405	0.880417813138248	4.63757330297967
Dpm2:Dpm6	10580	2393	726	169	164.20775047259	1.02918406417248	-1.01165519914211
Dpm2:Dpm7	10580	2393	435	96	98.3889413988658	0.975719411501938	0.842984765260598
Dpm2:Dpm8	10580	2393	490	104	110.828922495274	0.938383209531201	1.28694538637335
Dpm3:Dpm3	10580	1274	1274	73	78.6532095227275	0.928124871737193	1.25866854347027
Dpm3:Dpm4	10580	1274	1264	130	152.205671077505	0.854107465771119	3.33230115508122
Dpm3:Dpm5	10580	1274	1617	150	194.71247637051	0.770366659579488	7.69746011850699
Dpm3:Dpm6	10580	1274	726	104	87.4219281663516	1.18963287794457	-3.10030351005084
Dpm3:Dpm7	10580	1274	435	59	52.3809073724008	1.12636460419712	-1.62736299096359
Dpm3:Dpm8	10580	1274	490	61	59.0037807183365	1.03383205715567	-0.880682500251406
Dpm4:Dpm4	10580	1264	1264	66	76.6520220424458	0.861034037216301	2.11443697792271
Dpm4:Dpm5	10580	1264	1617	233	193.184120982987	1.20610326984649	-5.90293060996488
Dpm4:Dpm6	10580	1264	726	102	86.7357277882798	1.17598598179726	-2.83812305617799
Dpm4:Dpm7	10580	1264	435	53	51.9697542533081	1.0198239487851	-0.773200810836566
Dpm4:Dpm8	10580	1264	490	57	58.5406427221172	0.973682510979075	0.789238936669206
Dpm5:Dpm5	10580	1617	1617	88	123.085423958043	0.714950618604503	7.58295743301435
Dpm5:Dpm6	10580	1617	726	79	110.958601134215	0.711977252709248	7.09690101717496
Dpm5:Dpm7	10580	1617	435	58	66.4834593572779	0.872397443826015	1.81379879390939
Dpm5:Dpm8	10580	1617	490	63	74.8894139886579	0.8412403922608	2.40066939337439
Dpm6:Dpm6	10580	726	726	51	27.074133302561	1.88371680932722	-10.5677740331121
Dpm6:Dpm7	10580	726	435	82	29.8497164461248	2.74709477217314	-33.5235021694484
Dpm6:Dpm8	10580	726	490	38	33.6238185255199	1.13015123404734	-1.40027861909534
Dpm7:Dpm7	10580	435	435	18	9.38995662505704	1.91694176221934	-4.83156103123082
Dpm7:Dpm8	10580	435	490	22	20.1465028355388	1.09200093830636	-0.997850399897387
Dpm8:Dpm8	10580	490	490	14	11.5864067957713	1.20831248606856	-1.28888517897048
