mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC logCPM PValue FDR chr start end strand de
scaffold_1_51155_51224_+ 27.172847308377 25.0922411771283 25.0389423250866 18.5150988969955 27.422578680769 33.9675351573648 24.636651088444 37.2884994478685 0.16590748736546 5.07552801502446 0.663852031780053 0.800474273489198 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 121.822860855534 100.595427584239 114.317595315159 155.723912745439 180.45292004753 168.038324924967 115.247929487317 163.281111988789 -0.58197244095752 7.34783748260744 0.0244605232058927 0.0595319091313588 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 7.75995193244494 4.74445781007938 8.88417311481052 8.61021255939807 14.0992268839371 5.54248135649745 5.39849957267845 10.6403257567784 -0.661658731686126 3.5474602581245 0.228897991971349 0.367239365407949 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0 0 5.98177648079879 0.033180799495204 9.33489133980539 0.0725974879680238 6.70922551129676 8.59914239336476 -1.22747991513027 2.72630515886394 0.134943919765036 0.246702681322686 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 35.1502365071726 31.8969541484903 30.8584895912461 17.3955721764274 13.2536396644877 19.9209793065561 21.411166665884 18.1683373540318 1.08473799312299 4.88668543737904 0.00485783848054387 0.0149222833325425 scaffold_1 157386 157461 + 0
scaffold_1_162014_162063_+ 7.95169016819962 8.03420279501791 8.14956435918423 1.38777878078145e-17 1.38777878078145e-17 7.4290730698792 5.30007717754637 7.75082721530443 6.07747998116382 3.13712240822697 1.73906109252774e-05 9.68755968556346e-05 scaffold_1 162014 162063 + 1
scaffold_1_163697_163750_+ 30.1131459973453 31.8035030288293 31.2346264120007 34.2806564667382 27.9733795148417 44.1285446335838 52.5249044185647 47.9252348484849 -0.00329054575954961 5.49967151518773 1 1 scaffold_1 163697 163750 + 0
scaffold_1_168298_168301_+ 12.3212658859661 10.3614510371889 10.797953804051 5.76155386903713 0.0282378724989987 12.4183600477887 7.10498349250839 0.0852198657761982 1.89387059366534 3.44966255155145 0.00261538103427465 0.00867223219538219 scaffold_1 168298 168301 + 1
scaffold_1_193052_193068_+ 17.933521459863 16.058300376072 16.2017200771507 31.3462949436498 19.0428491501303 19.0674039814408 8.29803064858642 10.2311035880043 -0.587088236852172 4.46938587750894 0.126930600237297 0.235134491944042 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 7.38574522991199 5.11901898636599 9.67180520577851 12.1591973717806 15.3841412919875 9.99499212849078 13.0495306478295 10.7479824645327 -0.886326157998312 3.82631581567003 0.0807726169497908 0.163325567593272 scaffold_1 213623 213627 + 0
scaffold_1_216878_216897_+ 5.09818107352926 6.20216693507561 5.30814996795584 7.25093481722943 5.99263573838831 6.75253708185722 5.77304914787823 7.02208685225002 -0.251057738216715 3.2275747018207 0.703205253199896 0.832547272797877 scaffold_1 216878 216897 + 0
scaffold_1_224681_224753_+ 36.1457124459074 68.47096072544 63.7664627705861 76.6864576158394 184.967520194394 60.1384581180612 88.0773646253382 42.3983423706208 -1.21884897680156 6.51130779026602 6.91564683176938e-06 4.2900881144889e-05 scaffold_1 224681 224753 + 1
scaffold_1_226515_226518_+ 29.8108433468575 39.6234616413191 25.899453432734 37.9947776257803 36.2258099847008 26.2580194341487 17.2980259176541 10.3218332239866 -0.222426817437829 5.11005453555658 0.525041176850255 0.679351245726321 scaffold_1 226515 226518 + 0
scaffold_1_230668_230676_+ 17.1028666593296 22.6343453016012 14.2467481691663 23.1784255638178 14.5446000060814 25.6484369349344 11.7557863499267 11.2044712530393 -0.0670873813308979 4.49043432326775 0.924591370134859 0.991064623377187 scaffold_1 230668 230676 + 0
scaffold_1_234773_234777_+ 9.32699339004229 9.67980529697141 6.63856964110468 11.0820029349467 10.4701684369679 10.3859881625874 6.14376577602926 0.0740446855690222 -0.328329469438891 3.52482258055715 0.547706240225231 0.699519359577829 scaffold_1 234773 234777 + 0
scaffold_1_338755_338789_+ 26.9113448656019 37.4637394191239 32.2620476196869 1.38777878078145e-17 1.38777878078145e-17 9.29966335263033 9.13747117853099 12.1668438068501 8.06205820378185 4.40006256769064 1.15731756263719e-16 4.10625949140574e-15 scaffold_1 338755 338789 + 1
scaffold_1_342988_343020_+ 23.2568999162246 23.9102415175377 19.593745440691 21.2037871947457 13.6196780721545 24.6767056288243 20.8555189199862 20.5682589577072 0.351943192221217 4.72394799139754 0.398141592882803 0.555228134802189 scaffold_1 342988 343020 + 0
scaffold_1_387210_387364_+ 47.7802125671042 50.33008457144 55.8348993731061 26.6339309668623 22.2179596922421 25.8665152344054 23.0723197861671 27.351332680624 1.06733469784766 5.41938307772398 0.00166013560486468 0.00576967947588295 scaffold_1 387210 387364 + 1
scaffold_1_402522_402533_+ 10.9571153145754 8.72960110542076 11.2609715222484 11.2220161956891 11.9540523403351 10.8945407780929 12.2904051814217 11.2954562018604 -0.165010118907608 3.90692439308481 0.787457857013644 0.895342045329381 scaffold_1 402522 402533 + 0
scaffold_1_406282_406290_+ 45.1524172692149 41.7800243801746 43.5036083267943 51.0330311035013 42.004034195225 48.9950851996781 64.2418730978227 63.2268701931161 -0.097136202904871 5.89815945042155 0.756493150936103 0.873496967454625 scaffold_1 406282 406290 + 0
scaffold_1_409256_409263_+ 23.4710840674277 18.9651250273401 24.8446484921475 15.0241156470426 11.6398809263562 6.09978333029199 8.44185063700574 6.85791757865526 0.745096943613101 4.25988264864168 0.0773333459014264 0.157560116309369 scaffold_1 409256 409263 + 0
scaffold_1_415215_415257_+ 17.1589860795228 18.5452294589799 20.5436028023853 10.8265298583521 11.6087130569396 14.4142315604076 14.4058468706255 12.6120640805832 0.735752807998665 4.29875890834027 0.0949217026566214 0.18581078395855 scaffold_1 415215 415257 + 0
