mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC logCPM PValue FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 27.172847308377 25.0922411771283 25.0389423250866 18.5150988969955 27.422578680769 33.9675351573648 24.636651088444 37.2884994478685 -0.307670911460173 5.07552801502446 0.292870544779307 0.498046218685318 0.0231034156113715 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 121.822860855534 100.595427584239 114.317595315159 155.723912745439 180.45292004753 168.038324924967 115.247929487317 163.281111988789 -0.406240333082494 7.34783748260744 0.050196423413428 0.13550778953665 0.0227054154473347 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 7.75995193244494 4.74445781007938 8.88417311481052 8.61021255939807 14.0992268839371 5.54248135649745 5.39849957267845 10.6403257567784 -0.010756748478921 3.5474602581245 1 1 0.0299302264926319 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0 0 5.98177648079879 0.033180799495204 9.33489133980539 0.0725974879680238 6.70922551129676 8.59914239336476 -1.35341339288733 2.72630515886394 0.232502035517945 0.425442205297304 0.444630065862872 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 35.1502365071726 31.8969541484903 30.8584895912461 17.3955721764274 13.2536396644877 19.9209793065561 21.411166665884 18.1683373540318 0.714930513757909 4.88668543737904 0.0143620383005134 0.0509454461820552 0.0191461566845284 scaffold_1 157386 157461 + 0
scaffold_1_162014_162063_+ 7.95169016819962 8.03420279501791 8.14956435918423 1.38777878078145e-17 1.38777878078145e-17 7.4290730698792 5.30007717754637 7.75082721530443 0.236850053609322 3.13712240822697 0.785317326407509 0.924190120295093 0.0256009977156645 scaffold_1 162014 162063 + 0
scaffold_1_163697_163750_+ 30.1131459973453 31.8035030288293 31.2346264120007 34.2806564667382 27.9733795148417 44.1285446335838 52.5249044185647 47.9252348484849 -0.632363158960631 5.49967151518773 0.010765792938818 0.0400980502911427 0.0170842067972813 scaffold_1 163697 163750 + 0
scaffold_1_168298_168301_+ 12.3212658859661 10.3614510371889 10.797953804051 5.76155386903713 0.0282378724989987 12.4183600477887 7.10498349250839 0.0852198657761982 0.754722325497225 3.44966255155145 0.160648791248593 0.327504833089974 0.0668629794850377 scaffold_1 168298 168301 + 0
scaffold_1_193052_193068_+ 17.933521459863 16.058300376072 16.2017200771507 31.3462949436498 19.0428491501303 19.0674039814408 8.29803064858642 10.2311035880043 0.416213760073348 4.46938587750894 0.296890889654208 0.502366222889465 0.0328619703255421 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 7.38574522991199 5.11901898636599 9.67180520577851 12.1591973717806 15.3841412919875 9.99499212849078 13.0495306478295 10.7479824645327 -0.600448056585209 3.82631581567003 0.184410690930061 0.360694035659435 0.0247090672306767 scaffold_1 213623 213627 + 0
