	promoter	gene	symbol	matfem_tpm	male_tpm	pE_tpm	logFC_1	t_value_1	adj.P.Val_1	logFC_2	t_value_2	adj.P.Val_2	logFC_3	t_value_3	adj.P.Val_3	de_1	de_2	de_3
aub-D	scaffold_16_328249_328251_-	JGI_V11_240344	aub-D	11.16289815	19.63239604	6.499669233	4.276466799	6.001588401	0.005351766	-3.909215545	-0.801043171	0.00869742	0.019794451	-5.566784746	0.007422436	1	1	1
cyclinB3	scaffold_17_649232_649239_-	JGI_V11_210441	cyclinB3	9.306365007	10.59265538	0	4.154762307	6.650152379	0.00417231	0.081603689	-5.489314243	0.769020173	-0.503048243	0.020415644	0.184206721	1	0	0
aub-C	scaffold_83_138855_138856_+	JGI_V11_308681	aub-C	7.731387638	8.842564495	0	3.91213866	6.360643351	0.004705898	-5.816523626	-5.269923455	0.00361198	4.774434959	0.020959356	0.011364203	1	1	1
cyclinE	scaffold_163_128481_128482_-	JGI_V11_299520	cyclinE	8.963293215	7.092473605	0	3.889421094	5.715494777	0.006226451	-1.344809531	-4.737697922	0.00089915	1.287428459	0.018970419	0.001745854	1	1	1
polo-C	scaffold_9_486816_486818_-	JGI_V11_237171	polo-C	9.370602348	5.158162622	0	3.838383588	4.836094924	0.011802369	-4.687353422	-4.012738525	0.110563632	2.58251825	0.016312401	0.431915574	1	0	0
mcm4	scaffold_120_151613_151617_+	JGI_V11_301153	mcm4	14.76160717	17.3166888	5.434708768	2.247176776	2.773592024	0.078784544	-4.066969691	-2.887841723	1.56705E-05	3.04268023	1.392989389	6.6515E-05	0	1	1
cyclinB-B	scaffold_100_432647_432719_-	JGI_V11_228408	cyclinB-B	12.81804449	19.43521988	13.3888086	2.104835172	2.071626314	0.164143434	-6.468267363	-2.233726325	0.017720743	5.447367214	1.117418643	0.044480737	0	1	1
cyclinD-A	scaffold_1_409256_409263_+	JGI_V11_299604	cyclinD-A	22.24109178	41.17795594	25.05109473	1.577023107	5.348977229	0.007944188	-4.174556758	-3.966119472	0.005124247	0.019794451	-2.668874758	0.996577459	1	1	0
polo-B	scaffold_12_1037164_1037224_+	JGI_V11_301125	polo-B	110.7597078	114.3970289	97.02428586	1.188575332	12.024007	0.000648141	-0.726056	-20.51210739	0.017525578	-0.850967106	11.55062973	0.086304422	1	1	0
cdk2	scaffold_77_79138_79154_-	JGI_V11_299469	cdk2	31.19389601	31.04108578	23.83376104	1.042088667	7.85751792	0.002426156	-0.715520988	-6.005515234	0.041348075	0.928907324	4.916362703	0.022256388	1	1	1
cyclinB-D	scaffold_12_754858_754872_+	JGI_V11_222925	cyclinB-D	265.0689951	275.6105348	246.9403467	1.02428946	9.516575309	0.001383546	-2.722239628	-27.94987983	4.15714E-05	1.533664296	21.10523431	0.000595433	1	1	1
cyclinA	scaffold_88_276410_276559_-	JGI_V11_216737	cyclinA	47.83533932	49.00254491	49.81004471	1.020900149	5.284061269	0.008229643	-3.27976789	-3.95542986	0.039107006	2.488273257	3.328202365	0.119226221	1	1	0
polo-A	scaffold_9_1434538_1434559_+	JGI_V11_309099	polo-A	17.20585826	19.34310983	21.68295787	0.791494633	2.86964808	0.071621897	-0.383464091	-3.180020222	0.178564252	0.447885098	2.363113456	0.153584222	0	0	0
rad51	scaffold_17_682512_682553_-	JGI_V11_299714	rad51	11.26676642	20.68745447	26.09868955	0.421444554	1.774459297	0.225109885	-3.858178039	0.420042128	0.016673781	0.019794451	-1.948063735	0.996577459	0	1	0
