chr start end strand gene gene_start gene_end gene_strand breadth expression SI promoter
1 scaffold_1 51223 51224 + No_gene NA NA NA 2 1953 0.512398122850412 scaffold_1_51223_51224_+
2 scaffold_1 100766 100777 + No_gene NA NA NA 12 10402 -0.360839870223338 scaffold_1_100766_100777_+
3 scaffold_1 123356 123357 + No_gene NA NA NA 2 446 0.974607468970843 scaffold_1_123356_123357_+
4 scaffold_1 193064 193065 + No_gene NA NA NA 2 1365 0.284100418538586 scaffold_1_193064_193065_+
5 scaffold_1 213626 213627 + No_gene NA NA NA 2 845 0.13076713865662 scaffold_1_213626_213627_+
6 scaffold_1 406285 406290 + No_gene NA NA NA 6 3797 0.152155872800072 scaffold_1_406285_406290_+
7 scaffold_1 415223 415239 + No_gene NA NA NA 17 1300 -2.2426089173383 scaffold_1_415223_415239_+
8 scaffold_1 532568 532573 + No_gene NA NA NA 6 3104 0.0516564310257752 scaffold_1_532568_532573_+
9 scaffold_1 919853 919856 + No_gene NA NA NA 4 3701 0.535664004887245 scaffold_1_919853_919856_+
10 scaffold_1 957583 957584 + No_gene NA NA NA 2 537 0.933631053896241 scaffold_1_957583_957584_+
11 scaffold_1 1111416 1111417 + No_gene NA NA NA 2 518 0.40992784004983 scaffold_1_1111416_1111417_+
12 scaffold_1 1327888 1327889 + No_gene NA NA NA 2 2736 0.849834267314141 scaffold_1_1327888_1327889_+
13 scaffold_1 1403268 1403272 + No_gene NA NA NA 5 735 -0.630201741439803 scaffold_1_1403268_1403272_+
14 scaffold_1 1629086 1629087 + No_gene NA NA NA 2 141 0.837364082946398 scaffold_1_1629086_1629087_+
15 scaffold_1 1636865 1636866 + No_gene NA NA NA 2 145 0.442071944232645 scaffold_1_1636865_1636866_+
16 scaffold_1 1657519 1657520 + No_gene NA NA NA 2 856 0.50495638990217 scaffold_1_1657519_1657520_+
17 scaffold_1 1659771 1659772 + No_gene NA NA NA 2 611 1.19193249537416 scaffold_1_1659771_1659772_+
18 scaffold_1 1659982 1659983 + No_gene NA NA NA 2 532 -0.930497391575028 scaffold_1_1659982_1659983_+
19 scaffold_1 1660003 1660004 + No_gene NA NA NA 2 1071 -1.46839796305483 scaffold_1_1660003_1660004_+
20 scaffold_1 1662833 1662838 + No_gene NA NA NA 6 3172 0.0477634975525238 scaffold_1_1662833_1662838_+
21 scaffold_1 1668802 1668803 + No_gene NA NA NA 2 777 0.183732281791878 scaffold_1_1668802_1668803_+
22 scaffold_1 1674376 1674380 + No_gene NA NA NA 5 4014 0.373047789792615 scaffold_1_1674376_1674380_+
23 scaffold_1 1859006 1859015 + No_gene NA NA NA 10 1718 -0.901527588210488 scaffold_1_1859006_1859015_+
24 scaffold_1 2020157 2020158 + No_gene NA NA NA 2 1106 -0.0268698603838198 scaffold_1_2020157_2020158_+
25 scaffold_1 2083512 2083521 + No_gene NA NA NA 10 1942 -2.56788705286765 scaffold_1_2083512_2083521_+
26 scaffold_1 2180797 2180801 + No_gene NA NA NA 5 2831 0.271101238030494 scaffold_1_2180797_2180801_+
27 scaffold_1 2180987 2180989 + No_gene NA NA NA 3 795 -0.173622292014742 scaffold_1_2180987_2180989_+
28 scaffold_1 2278351 2278352 + No_gene NA NA NA 2 822 -0.998370480602961 scaffold_1_2278351_2278352_+
