mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 29.6784330291997 27.5671406582336 27.5258538843433 17.5523517125888 26.4534047340617 31.5570349528382 23.733636248165 34.5451960139759 -0.186072295604088 4.97572932966088 -0.825923650732318 0.434216281690165 0.539222487372068 -7.02124809297591 0.539222487372068 0.0218878857139856 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 133.092210455506 110.542574722387 125.530130144398 148.113793621571 173.809791546173 156.083827447884 111.207981482015 150.944897945701 0.581459218790372 7.30531423016884 3.09483094801912 0.0159119588448193 0.0428995173197762 -3.97909035433546 0.0428995173197762 0.0204749803775028 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 8.46705160150253 5.30442372554335 9.69141205511912 8.14218275199546 13.612536915731 5.09358150328123 5.18841056926057 9.93446941945723 0.64404645577009 3.24625608311628 1.7446272396285 0.12152265026793 0.198184680922218 -5.26237930890333 0.198184680922218 0.0294100756935277 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00747687246070172 0.00426258370349708 6.35802149544656 0 9.06774059240901 0 6.50053989915236 8.05585136239323 1.03339155087324 1.19437580700917 0.478591764977478 0.645806124977478 0.734119643965803 -5.39717896248787 0.734119643965803 0.477054159300542 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 38.3776733592051 35.0354005820702 33.9399631764019 16.5806615485132 12.7352314687053 18.4852033846704 20.6938479912641 16.7403053295248 -1.07296423458527 4.71586237868816 -6.96135250129327 0.00015551248703737 0.00202685542259709 1.1272482750766 0.00202685542259709 0.0189492207901641 scaffold_1 157386 157461 + 1
scaffold_1_162014_162063_+ 8.70483661359288 8.82691733161437 8.95408811007691 0 0 6.90688354504577 5.09654161920048 7.1828437762873 -4.03551650112058 2.19652232819016 -5.06597850204338 0.00116371366202085 0.00681294596020128 -1.11289700912416 0.00681294596020128 0.0251133332810871 scaffold_1 162014 162063 + 1
scaffold_1_163697_163750_+ 32.9517027795346 34.8963506693171 34.3056381118345 32.6507235228661 26.906544025322 40.8954187411089 50.7568302287397 44.2655430102727 -0.00126157440900432 5.41286473131798 -0.00960995277706917 0.992582011472685 0.994339657926842 -7.44221723395889 0.994339657926842 0.0172098860772792 scaffold_1 163697 163750 + 0
scaffold_1_168298_168301_+ 13.4374649360983 11.4094050300222 11.8797675984905 5.54559518356554 0.00316766237134702 11.707432358383 6.86719841849791 0 -2.66667275935712 2.45951603566319 -1.6843572150631 0.132933426236406 0.212827961624574 -4.52843410405019 0.212827961624574 0.0578127685944206 scaffold_1 168298 168301 + 0
scaffold_1_193052_193068_+ 19.5767327068177 17.6549675037846 17.8180587480557 29.9051069677676 18.2753466434733 17.8682162457938 7.96490480567796 9.3866935779448 0.538632523595224 4.25722779106502 1.91790583256767 0.0936642152030926 0.161357249773827 -5.67273751981645 0.161357249773827 0.0310226507908465 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 8.08261914734826 5.7114099218475 10.5343330289928 11.5383587912297 14.832630258544 9.23831023259824 12.6238960030728 9.90848982565774 0.895382573661619 3.58991348915686 3.2379016362038 0.0129205700565829 0.0367575594894988 -3.14592169291004 0.0367575594894988 0.024832938090755 scaffold_1 213623 213627 + 0
