chr,start,end,name,score,strand,,,,,,,,
77,594178,597511,308285,.,.,,,,,,,,
163,125621,128426,299520,.,.,,,,,,,,
17,680569,682544,299714,.,.,,,,,,,,
163,214535,215111,5268,.,.,,,,,,,,
22,94055,94838,317739,.,.,,,,,,,,
24,170734,171597,103009,.,.,,,,,,,,
51,759385,760291,323070,.,.,,,,,,,,
2,2808348,2809289,190785,.,.,,,,,,,,
11,1310009,1310993,300755,.,.,,,,,,,,
165,170587,171600,262199,.,.,,,,,,,,
49,485562,486686,442518,.,.,,,,,,,,
120,17503,18656,130069,.,.,,,,,,,,
35,456503,457980,299508,.,.,,,,,,,,
74,422292,423779,308088,.,.,,,,,,,,
24,201191,202787,243162,.,.,,,,,,,,
77,77469,79151,299469,.,.,,,,,,,,
21,642866,644579,242313,.,.,,,,,,,,
79,381760,383475,299546,.,.,,,,,,,,
382,24234,25958,334665,.,.,,,,,,,,
100,431012,432846,299529,.,.,,,,,,,,
2,2784790,2786929,40427,.,.,,,,,,,,
3,445384,447543,206150,.,.,,,,,,,,
3,494509,496672,299643,.,.,,,,,,,,
117,290762,292929,329283,.,.,,,,,,,,
12,754695,756976,222925,.,.,,,,,,,,
88,274712,277003,216737,.,.,,,,,,,,
17,647208,649684,210441,.,.,,,,,,,,
75,69226,71817,308128,.,.,,,,,,,,
61,8853,11468,251822,.,.,,,,,,,,
1,410344,412996,299604,.,.,,,,,,,,
10,925176,927941,230543,.,.,,,,,,,,
12,1037337,1040137,301125,.,.,,,,,,,,
387,884,3709,13555,.,.,,,,,,,,
9,1434540,1437384,309099,.,.,,,,,,,,
8,716995,719840,308451,.,.,,,,,,,,
102,254297,257298,61614,.,.,,,,,,,,
35,1004050,1007117,246302,.,.,,,,,,,,
118,33191,36300,301022,.,.,,,,,,,,
141,52584,55706,114887,.,.,,,,,,,,
3,40593,43810,41238,.,.,,,,,,,,
60,208317,211547,324171,.,.,,,,,,,,
4,606526,609758,311334,.,.,,,,,,,,
24,181280,184538,243157,.,.,,,,,,,,
97,256695,259968,309383,.,.,,,,,,,,
77,576658,579947,308284,.,.,,,,,,,,
16,328899,332239,195225,.,.,,,,,,,,
9,484138,487481,237171,.,.,,,,,,,,
75,447869,451282,227386,.,.,,,,,,,,
116,277106,280527,62337,.,.,,,,,,,,
120,151712,155138,329431,.,.,,,,,,,,
47,911625,915094,306273,.,.,,,,,,,,
14,1485404,1488954,239845,.,.,,,,,,,,
45,126071,129633,322108,.,.,,,,,,,,
3,3120683,3124261,220987,.,.,,,,,,,,
83,137847,141473,308681,.,.,,,,,,,,
10,18912,22562,313767,.,.,,,,,,,,
61,466975,470629,307300,.,.,,,,,,,,
44,872605,876279,306072,.,.,,,,,,,,
382,26972,30731,11646,.,.,,,,,,,,
17,769975,773749,302355,.,.,,,,,,,,
4,2913591,2917411,311791,.,.,,,,,,,,
76,524487,528310,326138,.,.,,,,,,,,
3,192949,196823,95269,.,.,,,,,,,,
20,1003921,1007807,442510,.,.,,,,,,,,
3,3693056,3696950,347501,.,.,,,,,,,,
24,175930,179840,103010,.,.,,,,,,,,
1499,4612,8525,337363,.,.,,,,,,,,
16,324312,328229,240344,.,.,,,,,,,,
32,45513,49518,305021,.,.,,,,,,,,
9,780905,784938,347585,.,.,,,,,,,,
3,23625,27772,95243,.,.,,,,,,,,
95,356706,360856,327819,.,.,,,,,,,,
72,191411,195574,325677,.,.,,,,,,,,
2,1105636,1109827,187038,.,.,,,,,,,,
382,24594,28798,5682,.,.,,,,,,,,
24,982188,986398,303932,.,.,,,,,,,,
6,1648449,1652811,207797,.,.,,,,,,,,
25,650825,655262,103378,.,.,,,,,,,,
16,318792,323251,100816,.,.,,,,,,,,
138,30197,34838,63318,.,.,,,,,,,,
14,1047836,1052516,47908,.,.,,,,,,,,
118,151216,155911,258939,.,.,,,,,,,,
177,193964,199013,331955,.,.,,,,,,,,
6,1256392,1261444,235857,.,.,,,,,,,,
5,253009,258106,221442,.,.,,,,,,,,
25,541672,546812,318525,.,.,,,,,,,,
32,50955,56189,305022,.,.,,,,,,,,
11,1856476,1861733,46610,.,.,,,,,,,,
20,564649,569968,211085,.,.,,,,,,,,
259,64799,70140,265583,.,.,,,,,,,,
6,2000165,2005603,307154,.,.,,,,,,,,
7,1508565,1514131,221983,.,.,,,,,,,,
19,1150479,1156115,317147,.,.,,,,,,,,
25,47263,53103,382,.,.,,,,,,,,
102,244960,251030,442513,.,.,,,,,,,,
91,61662,67809,309208,.,.,,,,,,,,
6,2092018,2099144,236054,.,.,,,,,,,,
25,788039,795256,224715,.,.,,,,,,,,
47,649458,658022,226104,.,.,,,,,,,,
4,997088,1006264,347586,.,.,,,,,,,,
24,606442,616374,318263,.,.,,,,,,,,
24,373853,387839,318234,.,.,,,,,,,,
20,685585,700925,303339,.,.,,,,,,,,
8,571640,596639,313139,.,.,,,,,,,,
