chr start end strand gene gene_start gene_end gene_strand expression promoter
4 scaffold_1 120715 120736 + JGI_V11_189791 113263 122311 + 65.3953448158924 scaffold_1_102535_104769_+
6 scaffold_1 157386 157461 + JGI_V11_219913 157059 161120 + 191.789603963763 scaffold_1_113263_122311_+
7 scaffold_1 162014 162063 + JGI_V11_299986 161793 163483 + 45.486418370908 scaffold_1_123685_127071_+
8 scaffold_1 163697 163750 + JGI_V11_299784 163277 166417 + 298.042452933891 scaffold_1_126852_130061_+
9 scaffold_1 168298 168301 + JGI_V11_231974 167792 177801 + 60.495004368877 scaffold_1_147149_150087_+
13 scaffold_1 224681 224753 + JGI_V11_299786 224330 226671 + 615.259406578148 scaffold_1_160927_162244_-
14 scaffold_1 226515 226518 + JGI_V11_299786 224330 226671 + 225.651923813431 scaffold_1_161793_163483_+
14.1 scaffold_1 226515 226518 + JGI_V11_299787 226116 228243 + 225.651923813431 scaffold_1_161793_163483_+
15 scaffold_1 230668 230676 + JGI_V11_231986 230067 234216 + 140.754637504114 scaffold_1_163277_166417_+
16 scaffold_1 234773 234777 + JGI_V11_299990 234373 236719 + 64.3186386500922 scaffold_1_167792_177801_+
17 scaffold_1 240409 240414 + JGI_V11_231988 238218 244774 + 11.4751611458488 scaffold_1_198487_200370_+
18 scaffold_1 338755 338789 + JGI_V11_309510 335487 341050 + 133.419387275685 scaffold_1_200556_206797_+
19 scaffold_1 342988 343020 + JGI_V11_299792 342537 345223 + 168.419885591929 scaffold_1_213792_216162_+
20 scaffold_1 387210 387364 + JGI_V11_219940 386905 390357 + 285.642168890541 scaffold_1_217255_221001_+
21 scaffold_1 402522 402533 + JGI_V11_219945 402120 404526 + 88.4912125428561 scaffold_1_220699_221887_+
23 scaffold_1 409256 409263 + JGI_V11_299604 408853 413396 + 118.646049801333 scaffold_1_226116_228243_+
25 scaffold_1 424111 424137 + JGI_V11_299637 423658 430546 + 44.343146484679 scaffold_1_230067_234216_+
26 scaffold_1 442734 442760 + JGI_V11_299799 440500 442927 + 253.579745947875 scaffold_1_234373_236719_+
26.1 scaffold_1 442734 442760 + JGI_V11_219955 442329 444386 + 253.579745947875 scaffold_1_234373_236719_+
27 scaffold_1 517723 517732 + JGI_V11_309533 517338 522181 + 676.726773171731 scaffold_1_238218_244774_+
29 scaffold_1 560841 560913 + JGI_V11_300012 560460 565418 + 32626.7663295063 scaffold_1_253058_259598_+
30 scaffold_1 561752 561822 + JGI_V11_300012 560460 565418 + 375.376128003864 scaffold_1_259310_260699_-
31 scaffold_1 562554 562716 + JGI_V11_300012 560460 565418 + 8063.6999038703 scaffold_1_261464_263260_-
32 scaffold_1 562906 562947 + JGI_V11_300012 560460 565418 + 102.677376823006 scaffold_1_264418_266680_+
33 scaffold_1 563101 563167 + JGI_V11_300012 560460 565418 + 2227.1279032205 scaffold_1_266411_270143_+
34 scaffold_1 563319 563394 + JGI_V11_300012 560460 565418 + 648.121044808342 scaffold_1_273647_275373_+
35 scaffold_1 563543 563715 + JGI_V11_300012 560460 565418 + 739.747965881662 scaffold_1_274801_277890_+
36 scaffold_1 563871 564079 + JGI_V11_300012 560460 565418 + 943.970958562562 scaffold_1_305666_308445_+
37 scaffold_1 567480 567482 + JGI_V11_299803 567090 569021 + 16.6876510494021 scaffold_1_311121_312300_-
38 scaffold_1 599179 599238 + JGI_V11_230075 598814 600685 + 2905.96313806553 scaffold_1_311712_313518_-
39 scaffold_1 599470 599495 + JGI_V11_230075 598814 600685 + 33.2423233485647 scaffold_1_315790_317516_-
40 scaffold_1 599729 599732 + JGI_V11_230075 598814 600685 + 132.789922564711 scaffold_1_321134_324297_-
41 scaffold_1 601270 601305 + JGI_V11_299805 600866 602707 + 242.188556869312 scaffold_1_324483_328482_-
42 scaffold_1 638898 638899 + JGI_V11_300018 638566 642309 + 5.61871285604793 scaffold_1_332297_335940_-
43 scaffold_1 642134 642148 + JGI_V11_300018 638566 642309 + 687.221182924778 scaffold_1_335487_341050_+
43.1 scaffold_1 642134 642148 + JGI_V11_299809 641747 645266 + 687.221182924778 scaffold_1_335487_341050_+
44 scaffold_1 645397 645444 + JGI_V11_300019 644949 648068 + 156.239001384162 scaffold_1_340279_342530_-
45 scaffold_1 704266 704330 + JGI_V11_299812 703875 706584 + 1077.41981404112 scaffold_1_341145_343179_-
46 scaffold_1 704480 704529 + JGI_V11_299812 703875 706584 + 33.1500389562309 scaffold_1_341502_343179_-
47 scaffold_1 704683 704687 + JGI_V11_299812 703875 706584 + 5.62211251814888 scaffold_1_342537_345223_+
48 scaffold_1 901912 901974 + JGI_V11_300027 901591 905349 + 131.15763813028 scaffold_1_344404_347857_-
50 scaffold_1 932304 932340 + JGI_V11_309592 931930 934434 + 89.6963070873946 scaffold_1_381513_384953_-
51 scaffold_1 934122 934162 + JGI_V11_309592 931930 934434 + 88.4488732307943 scaffold_1_386905_390357_+
51.1 scaffold_1 934122 934162 + JGI_V11_299818 933740 935705 + 88.4488732307943 scaffold_1_386905_390357_+
51.2 scaffold_1 934122 934162 + JGI_V11_94039 934064 935495 + 88.4488732307943 scaffold_1_386905_390357_+
53 scaffold_1 978321 978344 + JGI_V11_299820 977777 979663 + 53.5830403887144 scaffold_1_400018_402708_-
54 scaffold_1 986174 986322 + JGI_V11_189934 983206 986504 + 2093.69207165744 scaffold_1_402120_404526_+
54.1 scaffold_1 986174 986322 + JGI_V11_309603 985925 989384 + 2093.69207165744 scaffold_1_402120_404526_+
55 scaffold_1 986839 986903 + JGI_V11_309603 985925 989384 + 13.8219296163772 scaffold_1_403993_405743_-
56 scaffold_1 989274 989324 + JGI_V11_309603 985925 989384 + 353.689919662132 scaffold_1_408853_413396_+
56.1 scaffold_1 989274 989324 + JGI_V11_299826 988878 991792 + 353.689919662132 scaffold_1_408853_413396_+
57 scaffold_1 995581 995764 + JGI_V11_230081 995287 1010474 + 3800.49492683606 scaffold_1_416662_421633_+
58 scaffold_1 996848 996858 + JGI_V11_230081 995287 1010474 + 5.36352983603945 scaffold_1_420845_423758_-
59 scaffold_1 998645 998649 + JGI_V11_230081 995287 1010474 + 68.7509957329867 scaffold_1_423658_430546_+
60 scaffold_1 1000904 1001064 + JGI_V11_230081 995287 1010474 + 6847.73310415544 scaffold_1_426192_432680_-
61 scaffold_1 1001249 1001290 + JGI_V11_230081 995287 1010474 + 919.948510168951 scaffold_1_438070_439760_+
62 scaffold_1 1001450 1001454 + JGI_V11_230081 995287 1010474 + 18.1716672461239 scaffold_1_438963_440869_-
63 scaffold_1 1002385 1002452 + JGI_V11_230081 995287 1010474 + 53.3476894037558 scaffold_1_440500_442927_+
64 scaffold_1 1003187 1003209 + JGI_V11_230081 995287 1010474 + 5.05990126633399 scaffold_1_442329_444386_+
65 scaffold_1 1003940 1003966 + JGI_V11_230081 995287 1010474 + 21.5569610586298 scaffold_1_451419_458484_-
66 scaffold_1 1004706 1004728 + JGI_V11_230081 995287 1010474 + 284.746828801641 scaffold_1_459387_460400_-
67 scaffold_1 1004968 1004987 + JGI_V11_230081 995287 1010474 + 5.6183581505026 scaffold_1_460717_463804_-
68 scaffold_1 1006322 1006326 + JGI_V11_230081 995287 1010474 + 38.8231082328759 scaffold_1_465173_466324_-
69 scaffold_1 1007278 1007367 + JGI_V11_230081 995287 1010474 + 116.705786022563 scaffold_1_469014_470075_-
70 scaffold_1 1008363 1008547 + JGI_V11_230081 995287 1010474 + 2492.63760180231 scaffold_1_471776_473074_-
73 scaffold_1 1142701 1142721 + JGI_V11_232153 1142496 1144929 + 118.110220889216 scaffold_1_490881_495011_-
74 scaffold_1 1180791 1180794 + JGI_V11_299828 1180534 1188748 + 109.409613318881 scaffold_1_501995_513631_-
75 scaffold_1 1253015 1253051 + JGI_V11_300039 1252615 1256108 + 81.3799109114903 scaffold_1_517338_522181_+
77 scaffold_1 1269185 1269192 + JGI_V11_94071 1268869 1270801 + 517.462345122508 scaffold_1_549079_554419_-
78 scaffold_1 1269405 1269415 + JGI_V11_94071 1268869 1270801 + 66.854302102759 scaffold_1_555638_558749_+
80 scaffold_1 1359614 1359645 + JGI_V11_220021 1359299 1364959 + 50.4972792177706 scaffold_1_565599_566880_-
81 scaffold_1 1389417 1389645 + JGI_V11_232195 1389316 1391618 + 576.207805758789 scaffold_1_567090_569021_+
82 scaffold_1 1394059 1394082 + JGI_V11_232197 1393791 1396974 + 369.781027110979 scaffold_1_568229_571070_-
83 scaffold_1 1394632 1394660 + JGI_V11_232197 1393791 1396974 + 29.9830938456125 scaffold_1_572859_579208_+
85 scaffold_1 1478716 1478781 + JGI_V11_299840 1478344 1495913 + 529.621293246575 scaffold_1_598814_600685_+
86 scaffold_1 1515529 1515540 + JGI_V11_300053 1515121 1519384 + 592.289207864925 scaffold_1_600866_602707_+
87 scaffold_1 1588593 1588638 + JGI_V11_300057 1588268 1590739 + 572.050315115049 scaffold_1_602122_610594_-
88 scaffold_1 1591711 1591715 + JGI_V11_300058 1591314 1593850 + 135.856145028036 scaffold_1_610961_612551_-
89 scaffold_1 1614087 1614110 + JGI_V11_309672 1613863 1617216 + 19.3697070852159 scaffold_1_611776_614348_+
90 scaffold_1 1623655 1623687 + JGI_V11_205172 1623266 1625224 + 216.47142227306 scaffold_1_614475_617547_-
93 scaffold_1 1640782 1640792 + JGI_V11_232248 1640557 1645524 + 102.285461005969 scaffold_1_620957_624790_+
94 scaffold_1 1647762 1647798 + JGI_V11_220051 1647395 1649112 + 184.683118754357 scaffold_1_623889_627151_-
100 scaffold_1 1665636 1665642 + JGI_V11_190015 1665236 1668677 + 26.0052909021443 scaffold_1_638566_642309_+
103 scaffold_1 1685675 1685714 + JGI_V11_190018 1684567 1691675 + 20.1808613435264 scaffold_1_647488_652087_-
104 scaffold_1 1686579 1686580 + JGI_V11_190018 1684567 1691675 + 36.8149233301297 scaffold_1_660008_667481_-
105 scaffold_1 1688814 1688832 + JGI_V11_190018 1684567 1691675 + 68.1818133651452 scaffold_1_667987_677597_-
106 scaffold_1 1692946 1693004 + JGI_V11_232260 1692667 1697335 + 195.484297009287 scaffold_1_677021_678631_+
108 scaffold_1 1771278 1771320 + JGI_V11_186925 1770890 1773093 + 40.9063509847811 scaffold_1_683701_686821_-
109 scaffold_1 1785022 1785036 + JGI_V11_299852 1784632 1787229 + 75.5174782597694 scaffold_1_687127_690318_-
110 scaffold_1 1788840 1788853 + JGI_V11_232289 1788508 1789748 + 147.969377694371 scaffold_1_692710_696379_-
111 scaffold_1 1836906 1836939 + JGI_V11_309707 1836514 1840877 + 147.185860021026 scaffold_1_697603_702413_-
112 scaffold_1 1841823 1841867 + JGI_V11_190026 1841433 1845086 + 667.318537420479 scaffold_1_703875_706584_+
114 scaffold_1 1868879 1868942 + JGI_V11_205195 1868339 1870061 + 451.318913898879 scaffold_1_756862_759105_+
115 scaffold_1 1913199 1913260 + JGI_V11_309722 1913114 1916950 + 37.6725015533118 scaffold_1_758468_759668_+
116 scaffold_1 1913528 1913530 + JGI_V11_309722 1913114 1916950 + 29.5909979708534 scaffold_1_758907_760553_+
117 scaffold_1 1932666 1932731 + JGI_V11_309730 1932518 1937275 + 1051.85003723064 scaffold_1_762970_767009_+
118 scaffold_1 1947973 1947979 + JGI_V11_232322 1947830 1953591 + 36.1221739476857 scaffold_1_766259_770734_+
119 scaffold_1 1951116 1951125 + JGI_V11_232322 1947830 1953591 + 20.4342662629332 scaffold_1_770038_773412_+
120 scaffold_1 1962874 1962939 + JGI_V11_232329 1961899 1963002 + 502.109243201539 scaffold_1_813436_825634_-
120.1 scaffold_1 1962874 1962939 + JGI_V11_309740 1962620 1966396 + 502.109243201539 scaffold_1_813436_825634_-
121 scaffold_1 1974465 1974469 + JGI_V11_299864 1974092 1975999 + 15.5989138710645 scaffold_1_852736_854482_-
122 scaffold_1 1985516 1985613 + JGI_V11_309746 1985194 1988785 + 20881.5520606603 scaffold_1_853943_858911_+
123 scaffold_1 1985999 1986104 + JGI_V11_309746 1985194 1988785 + 525.130079915103 scaffold_1_870533_872095_+
124 scaffold_1 1986310 1986333 + JGI_V11_309746 1985194 1988785 + 111.842379992209 scaffold_1_883947_897894_+
125 scaffold_1 1986618 1986624 + JGI_V11_309746 1985194 1988785 + 448.250191103076 scaffold_1_897899_899208_+
126 scaffold_1 1986938 1986941 + JGI_V11_309746 1985194 1988785 + 101.687217641043 scaffold_1_900647_902234_-
127 scaffold_1 1987249 1987312 + JGI_V11_309746 1985194 1988785 + 114.135335339044 scaffold_1_901591_905349_+
128 scaffold_1 1987414 1987583 + JGI_V11_309746 1985194 1988785 + 210.911952474764 scaffold_1_912172_919864_-
129 scaffold_1 1988827 1988856 + JGI_V11_299867 1988507 1990216 + 44.3190114839671 scaffold_1_923191_926627_+
130 scaffold_1 2014537 2014541 + JGI_V11_232341 2010400 2019305 + 5.36352983603945 scaffold_1_925746_931633_-
132 scaffold_1 2024522 2024527 + JGI_V11_4167 2020443 2028276 + 265.854658735285 scaffold_1_933740_935705_+
133 scaffold_1 2034982 2035027 + JGI_V11_299870 2034600 2036800 + 420.700755710639 scaffold_1_934064_935495_+
134 scaffold_1 2045725 2045770 + JGI_V11_190063 2045435 2047962 + 468.893075228856 scaffold_1_938133_939426_-
135 scaffold_1 2060780 2060876 + JGI_V11_220094 2060412 2064415 + 127.672235815733 scaffold_1_965891_968445_+
137 scaffold_1 2087920 2088007 + JGI_V11_205240 2087571 2092149 + 317.210953807877 scaffold_1_977777_979663_+
138 scaffold_1 2092225 2092299 + JGI_V11_300090 2091877 2095306 + 236.425811579653 scaffold_1_978953_981734_-
139 scaffold_1 2094266 2094267 + JGI_V11_300090 2091877 2095306 + 8.85769590487877 scaffold_1_981143_982592_+
140 scaffold_1 2096677 2096746 + JGI_V11_300091 2096464 2101695 + 150.786613990934 scaffold_1_981831_983603_-
143 scaffold_1 2194054 2194065 + JGI_V11_220106 2193631 2196530 + 6.04670305046984 scaffold_1_984817_986267_-
144 scaffold_1 2200277 2200286 + JGI_V11_300095 2200219 2203706 + 60.8179975719503 scaffold_1_985925_989384_+
145 scaffold_1 2203887 2203967 + JGI_V11_299504 2203533 2206108 + 1093.55263318962 scaffold_1_988878_991792_+
148 scaffold_1 2240871 2240911 + JGI_V11_300097 2240473 2245172 + 494.872509234546 scaffold_1_1124084_1133634_+
149 scaffold_1 2272313 2272314 + JGI_V11_300101 2271185 2275811 + 35.5765137812754 scaffold_1_1138463_1141499_-
151 scaffold_1 2286525 2286586 + JGI_V11_220118 2286155 2288099 + 550.429363485607 scaffold_1_1144183_1148463_+
152 scaffold_1 2292005 2292111 + JGI_V11_299889 2291662 2294876 + 149.101434457973 scaffold_1_1180534_1188748_+
153 scaffold_1 2298518 2298523 + JGI_V11_309801 2298181 2300308 + 258.221324962329 scaffold_1_1214354_1215547_+
154 scaffold_1 2302992 2302994 + JGI_V11_299891 2301689 2305961 + 5.14304357818685 scaffold_1_1221045_1225414_+
156 scaffold_1 2312440 2312463 + JGI_V11_300107 2312063 2315451 + 281.964091197944 scaffold_1_1232283_1234076_+
162 scaffold_1 2412627 2412664 + JGI_V11_299901 2412179 2413943 + 2391.98293493379 scaffold_1_1249435_1251749_+
164 scaffold_1 2477219 2477239 + JGI_V11_299906 2476812 2478088 + 152.178915933775 scaffold_1_1252615_1256108_+
165 scaffold_1 2536694 2536729 + JGI_V11_299909 2536299 2538102 + 115.3491219761 scaffold_1_1255440_1259146_-
167 scaffold_1 2548422 2548425 + JGI_V11_39340 2548383 2552806 + 17.5225443912409 scaffold_1_1259244_1261722_+
169 scaffold_1 2570350 2570463 + JGI_V11_230099 2570012 2572868 + 210.019979810927 scaffold_1_1268869_1270801_+
170 scaffold_1 2585736 2585790 + JGI_V11_300120 2585350 2587731 + 373.946416413444 scaffold_1_1271790_1273909_+
171 scaffold_1 2587941 2587947 + JGI_V11_232462 2587395 2588366 + 194.481400352293 scaffold_1_1278685_1282629_-
171.1 scaffold_1 2587941 2587947 + JGI_V11_232463 2587612 2588780 + 194.481400352293 scaffold_1_1278685_1282629_-
172 scaffold_1 2637125 2637137 + JGI_V11_299913 2636728 2639510 + 2699.95150299566 scaffold_1_1335143_1341882_+
173 scaffold_1 2637949 2637971 + JGI_V11_299913 2636728 2639510 + 12.715542279439 scaffold_1_1347162_1352992_+
174 scaffold_1 2640164 2640187 + JGI_V11_205334 2638817 2640396 + 43.3511550104942 scaffold_1_1352966_1357611_+
174.1 scaffold_1 2640164 2640187 + JGI_V11_309875 2640012 2643373 + 43.3511550104942 scaffold_1_1352966_1357611_+
175 scaffold_1 2645841 2645860 + JGI_V11_94321 2645573 2649731 + 221.856794363659 scaffold_1_1357233_1359940_-
178 scaffold_1 2686975 2686994 + JGI_V11_232495 2678408 2698531 + 57.5031469572383 scaffold_1_1367313_1385445_+
179 scaffold_1 2689123 2689223 + JGI_V11_232495 2678408 2698531 + 262.340774956924 scaffold_1_1385079_1387844_+
180 scaffold_1 2692183 2692187 + JGI_V11_232495 2678408 2698531 + 326.110767044372 scaffold_1_1387062_1389567_-
181 scaffold_1 2693578 2693585 + JGI_V11_232495 2678408 2698531 + 6.05901369171848 scaffold_1_1389316_1391618_+
182 scaffold_1 2752479 2752534 + JGI_V11_205349 2752111 2755025 + 287.831111143765 scaffold_1_1391210_1394161_-
183 scaffold_1 2761617 2761644 + JGI_V11_309890 2761228 2763620 + 128.305975276064 scaffold_1_1393791_1396974_+
184 scaffold_1 2763284 2763363 + JGI_V11_309890 2761228 2763620 + 1135.9972351564 scaffold_1_1409309_1410994_+
184.1 scaffold_1 2763284 2763363 + JGI_V11_94342 2762926 2764203 + 1135.9972351564 scaffold_1_1409309_1410994_+
185 scaffold_1 2796147 2796149 + JGI_V11_94360 2796076 2799292 + 36.9275870906681 scaffold_1_1410632_1414933_-
186 scaffold_1 2812837 2812867 + JGI_V11_220194 2812442 2814731 + 110.403620941244 scaffold_1_1414288_1430436_+
188 scaffold_1 2833758 2833759 + JGI_V11_232527 2831591 2835394 + 19.7769251929633 scaffold_1_1434581_1437255_+
189 scaffold_1 2836718 2836773 + JGI_V11_220196 2836320 2838376 + 3436.70065253581 scaffold_1_1436823_1440807_-
191 scaffold_1 2840190 2840211 + JGI_V11_39875 2840133 2843597 + 12.2594967680902 scaffold_1_1447084_1451811_-
192 scaffold_1 2841128 2841131 + JGI_V11_39875 2840133 2843597 + 6.12974838404508 scaffold_1_1452096_1454657_+
193 scaffold_1 2854396 2854400 + JGI_V11_300138 2854066 2857851 + 5.83868592111054 scaffold_1_1454628_1456984_-
194 scaffold_1 2857902 2857907 + JGI_V11_220200 2857505 2859409 + 97.341365630927 scaffold_1_1456313_1457869_-
195 scaffold_1 2860053 2860082 + JGI_V11_299926 2859671 2861442 + 552.477037252565 scaffold_1_1461963_1463612_-
196 scaffold_1 2860240 2860383 + JGI_V11_299926 2859671 2861442 + 60.1059953781892 scaffold_1_1466854_1468329_-
197 scaffold_1 2863990 2863999 + JGI_V11_220202 2863591 2865947 + 613.757153854323 scaffold_1_1478344_1495913_+
198 scaffold_1 2864144 2864318 + JGI_V11_220202 2863591 2865947 + 750.7818032577 scaffold_1_1495805_1499106_+
199 scaffold_1 2876550 2876605 + JGI_V11_299931 2876145 2878374 + 140.674381420147 scaffold_1_1498343_1500052_-
200 scaffold_1 2923835 2923861 + JGI_V11_309932 2923420 2926979 + 116.936608648759 scaffold_1_1500209_1502507_+
204 scaffold_1 3082196 3082301 + JGI_V11_300149 3081895 3086093 + 520.210082349084 scaffold_1_1515121_1519384_+
205 scaffold_1 3088838 3088863 + JGI_V11_309949 3088461 3091266 + 272.712131426999 scaffold_1_1518586_1519667_+
206 scaffold_1 3092765 3092814 + JGI_V11_220221 3092482 3094890 + 170.259046072613 scaffold_1_1520194_1533338_-
210 scaffold_1 3124439 3124500 + JGI_V11_309961 3122684 3124590 + 555.727797082571 scaffold_1_1553731_1556458_+
210.1 scaffold_1 3124439 3124500 + JGI_V11_300155 3124083 3127945 + 555.727797082571 scaffold_1_1553731_1556458_+
213 scaffold_1 3210899 3210920 + JGI_V11_300157 3208314 3210982 + 22.7517777581944 scaffold_1_1572219_1577290_-
213.1 scaffold_1 3210899 3210920 + JGI_V11_39815 3210815 3212646 + 22.7517777581944 scaffold_1_1572219_1577290_-
216 scaffold_1 3216765 3216912 + JGI_V11_300159 3214434 3216936 + 905.595747280513 scaffold_1_1586349_1588439_-
216.1 scaffold_1 3216765 3216912 + JGI_V11_309973 3216395 3222031 + 905.595747280513 scaffold_1_1586349_1588439_-
218 scaffold_1 3226938 3226942 + JGI_V11_300160 3222806 3226970 + 40.5165338858035 scaffold_1_1591314_1593850_+
219 scaffold_1 3272868 3272935 + JGI_V11_299952 3272495 3275068 + 731.046073877781 scaffold_1_1595091_1598298_+
220 scaffold_1 3286041 3286042 + JGI_V11_300164 3283369 3290234 + 21.84060323916 scaffold_1_1599135_1601365_-
221 scaffold_1 3562687 3562692 + JGI_V11_94463 3561260 3562886 + 144.639311337591 scaffold_1_1613863_1617216_+
222 scaffold_1 3768975 3769056 + JGI_V11_300165 3768608 3772449 + 1461.41757306631 scaffold_1_1618286_1619575_+
223 scaffold_1 3771116 3771148 + JGI_V11_300165 3768608 3772449 + 60.6259101565186 scaffold_1_1623266_1625224_+
224 scaffold_1 3773690 3773826 + JGI_V11_299958 3773310 3776813 + 2890.86029635126 scaffold_1_1627259_1629772_-
225 scaffold_1 3774444 3774467 + JGI_V11_299958 3773310 3776813 + 33.3425398381905 scaffold_1_1629396_1631190_-
226 scaffold_1 3775436 3775454 + JGI_V11_299958 3773310 3776813 + 11.3588990212018 scaffold_1_1632773_1634304_-
227 scaffold_1 3776611 3776679 + JGI_V11_299958 3773310 3776813 + 692.799719764214 scaffold_1_1634603_1637577_-
227.1 scaffold_1 3776611 3776679 + JGI_V11_299959 3776188 3778372 + 692.799719764214 scaffold_1_1634603_1637577_-
229 scaffold_1 3781684 3781813 + JGI_V11_232690 3781407 3782667 + 60.9554463872554 scaffold_1_1644758_1645974_+
230 scaffold_1 3781955 3781970 + JGI_V11_232690 3781407 3782667 + 23.2410140222663 scaffold_1_1645443_1646904_-
231 scaffold_1 3782844 3782855 + JGI_V11_232691 3782671 3801120 + 183.075966092669 scaffold_1_1647395_1649112_+
234 scaffold_1 3878257 3878342 + JGI_V11_299963 3877887 3879616 + 295.433937601715 scaffold_1_1665236_1668677_+
235 scaffold_1 3879596 3879629 + JGI_V11_299963 3877887 3879616 + 173.785028836765 scaffold_1_1670260_1672689_+
235.1 scaffold_1 3879596 3879629 + JGI_V11_126671 3879343 3881063 + 173.785028836765 scaffold_1_1670260_1672689_+
236 scaffold_1 3900099 3900140 + JGI_V11_299967 3899715 3902351 + 297.3155734073 scaffold_1_1674510_1682207_+
237 scaffold_1 3904998 3905043 + JGI_V11_190346 3904574 3908259 + 73.9085719851064 scaffold_1_1681789_1684105_+
238 scaffold_1 3908088 3908139 + JGI_V11_190346 3904574 3908259 + 223.239149282914 scaffold_1_1684567_1691675_+
238.1 scaffold_1 3908088 3908139 + JGI_V11_310030 3907884 3911444 + 223.239149282914 scaffold_1_1684567_1691675_+
239 scaffold_1 3917619 3917624 + JGI_V11_299971 3917217 3919632 + 185.006883217496 scaffold_1_1692667_1697335_+
240 scaffold_1 3922776 3922841 + JGI_V11_300177 3922396 3927294 + 405.647301871641 scaffold_1_1728993_1731628_+
241 scaffold_1 3927164 3927215 + JGI_V11_300177 3922396 3927294 + 753.219669112892 scaffold_1_1732077_1734736_+
241.1 scaffold_1 3927164 3927215 + JGI_V11_39424 3926817 3929533 + 753.219669112892 scaffold_1_1732077_1734736_+
242 scaffold_1 3927665 3927667 + JGI_V11_39424 3926817 3929533 + 11.564457151589 scaffold_1_1735422_1739195_-
245 scaffold_1 3973867 3973931 + JGI_V11_299973 3973484 3976283 + 1931.61253957358 scaffold_1_1762531_1763625_-
246 scaffold_1 3975263 3975264 + JGI_V11_299973 3973484 3976283 + 6.17137313697068 scaffold_1_1763332_1767462_-
247 scaffold_1 3977748 3977776 + JGI_V11_230130 3977358 3979731 + 492.355755809865 scaffold_1_1767160_1768260_-
