mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 27.7930597242423 28.2575422870354 29.5806391721607 21.2255237181405 25.4953725920531 29.3243619050096 26.3858290305201 31.883052218151 -0.125426586803476 5.0488117065742 -1.93553878542533 0.0888119335171666 0.190075069019131 -5.64502343687581 0.190075069019131 0.0178042725749267 scaffold_1 51155 51224 + 0
scaffold_1_100766_100777_+ 129.630000503696 108.126441744922 122.985889835938 143.035953523432 168.649662946296 153.419406038644 107.771598101607 148.638817747088 -0.197081467912458 7.31911611024484 -2.27246722316207 0.0525601361400041 0.132771050810638 -5.17667860620693 0.132771050810638 0.0209295892046013 scaffold_1 100766 100777 + 0
scaffold_1_120715_120736_+ 8.50446971804149 5.33766787622401 9.7468343670158 8.09858154361498 13.574141727051 5.07285982489272 5.17844064336197 9.90973373221957 0.01256816190496 3.29561957770571 0.0641914039760284 0.950386668160572 0.972505276803949 -6.72708790962364 0.972505276803949 0.0281733669755099 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00978025283749728 0.00690607318056258 6.38352308866195 0 9.046616289147 0 6.49073869572321 8.03678890734393 -0.797409235110543 1.2437393015986 -0.785930532994179 0.454466900617519 0.59316945263909 -5.19166361787861 0.59316945263909 0.321658937551236 scaffold_1 123356 123357 + 0
scaffold_1_157406_157461_+ 31.0568919218073 27.4434737957641 28.7380916420139 11.8758767907936 9.93451760203346 15.4542608060167 17.5103050634749 14.305811664087 0.321268724453463 4.46556986087367 5.1051748166452 0.000912589819143044 0.00961503619163714 -0.837733515567842 0.00961503619163714 0.0193109031344183 scaffold_1 157406 157461 + 1
scaffold_1_163697_163739_+ 28.4971026061943 30.0292410515743 30.1532251251914 29.5034480774929 23.5114125119395 34.4980944632589 45.9537929514272 37.9987807057017 -0.312882222908539 5.2698271951362 -4.53038217817351 0.00190397048545715 0.0150006460790641 -1.70184758515088 0.0150006460790641 0.0187139771879509 scaffold_1 163697 163739 + 0
scaffold_1_168298_168301_+ 13.4964848805242 11.4712435516097 11.9545700783159 5.52564165473451 0.00122282681730179 11.6647345740888 6.8486848054295 4.5787601755511 0.255895863167114 2.93082440074392 1.66077429459151 0.135186751948837 0.253551562874749 -5.62599692503506 0.253551562874749 0.0294137850347147 scaffold_1 168298 168301 + 0
scaffold_1_193064_193065_+ 17.8691854268944 16.5188829140396 16.0358875901391 26.2720133341397 15.8969194033106 15.1635415835272 6.28196200013269 8.33863955620215 0.303613295834161 4.12409303933651 1.89466194553049 0.094597066290214 0.198058066595333 -5.48169882699979 0.198058066595333 0.0287542352690058 scaffold_1 193064 193065 + 0
scaffold_1_213623_213627_+ 8.11957548594372 5.74655501102528 10.5934729361254 11.4806799411067 14.7891447214545 9.20338556516812 12.6038928068337 9.87880058532737 -0.304615858006579 3.63927698374629 -2.50469618684205 0.0365614426985195 0.104067042000768 -4.39524308547078 0.104067042000768 0.0241613192810737 scaffold_1 213623 213627 + 0
scaffold_1_216878_216890_+ 4.76165160245009 5.04893631575207 3.99278073930054 5.24975817890598 4.41546554867839 4.44411386293187 4.16412732590206 5.45864224522646 -0.117626623405069 2.62016539250883 -0.746921518009562 0.476404146954883 0.612188412347667 -5.99006468496849 0.612188412347667 0.0251369514260474 scaffold_1 216878 216890 + 0
