"mat_females_1" "mat_females_2" "mat_females_3" "mat_males_1" "mat_males_2" "pE_females_1" "pE_females_2" "pE_females_3" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "FDR" "tw_dis" "chr" "start" "end" "strand" "de" "gene"
"scaffold_1_517725_517731_+" 13.9776280578084 10.2581410865405 19.5788505156868 28.0709438792606 44.1460059509105 177.956554107114 170.586142971869 197.383024759953 2.3867368363477 5.80796561851127 9.39392149629563 1.31527672927808e-05 0.00071708887280241 3.68116518081638 0.00071708887280241 0.0227201104841087 "scaffold_1" 517725 517731 "+" 1 "JGI_V11_309533"
"scaffold_1_562554_562716_+" 1073.50075978659 879.878885809785 738.985369761369 1431.59655045032 1599.43012691856 864.745813377495 654.395678428001 722.796936711482 -0.990159743563218 10.1405169406876 -5.02782205869467 0.00100473467865758 0.00983433192225789 -0.95426033656288 0.00983433192225789 0.0247729432482948 "scaffold_1" 562554 562716 "+" 1 "JGI_V11_300012"
"scaffold_1_563101_563167_+" 306.825175363436 221.962307049238 185.19899031992 464.538061595052 478.471629831152 221.294204332306 176.331116084247 156.246385950093 -1.32839097373658 8.23988523390737 -5.73298241570607 0.000431068750702437 0.00573616032141136 -0.0520148771090616 0.00573616032141136 0.0323643809446886 "scaffold_1" 563101 563167 "+" 1 "JGI_V11_300012"
"scaffold_1_563561_563715_+" 103.585551758023 70.8619709561011 64.6435965488036 128.784040625988 161.364192986498 56.3191553544381 62.3415196136116 51.280614911775 -1.3078183722846 6.59227825501938 -6.12868490302355 0.000275981339342277 0.0043470309296561 0.407829627573661 0.0043470309296561 0.0272387687718472 "scaffold_1" 563561 563715 "+" 1 "JGI_V11_300012"
"scaffold_1_563890_564079_+" 113.245132483329 83.9851133060642 125.017836751024 154.529380437983 183.660407373677 66.59011974726 60.2805954018762 71.0854006590407 -1.31228985828234 6.89544132210472 -6.81670543759499 0.000132997935532455 0.00278274847130515 1.1965283575872 0.00278274847130515 0.021759528577758 "scaffold_1" 563890 564079 "+" 1 "JGI_V11_300012"
"scaffold_1_1004706_1004726_+" 33.3946005905893 28.4008881899901 30.067237115274 48.4457156515586 64.3453992821035 18.5071975659543 29.841235406817 23.8579753566515 -1.18554869454641 5.28577469827769 -5.9024538608968 0.000355256215481077 0.00515905563455853 0.157603307908484 0.00515905563455853 0.0224721077838709 "scaffold_1" 1004706 1004726 "+" 1 "JGI_V11_230081"
"scaffold_1_1478744_1478781_+" 52.6063917634139 39.7531590511024 62.3352106415962 97.5101157673515 164.671616946095 29.1105742377331 26.1988152797741 33.5938096895606 -2.05039478395323 5.96776572221956 -7.66197088038542 5.82388546438695e-05 0.00164395536141171 2.09484911567142 0.00164395536141171 0.0372496563194924 "scaffold_1" 1478744 1478781 "+" 1 "JGI_V11_299840"
"scaffold_1_1515529_1515538_+" 45.8210417285114 47.634980078217 44.9583044083012 26.9952882177151 24.062507966841 133.923059385355 122.796921078513 137.208631617365 2.37816659712224 6.14437388923174 18.224439845372 8.06686243609975e-08 4.52740791193104e-05 8.85295646872983 4.52740791193104e-05 0.0139038397235948 "scaffold_1" 1515529 1515538 "+" 1 "JGI_V11_300053"
"scaffold_1_1647765_1647798_+" 38.4810521483946 38.49279387555 37.4642829978778 3.23990409442131 4.74560252900508 14.6053947906233 17.4188863341682 14.1365519165571 1.87674213573669 4.25831047160449 5.56163218429698 0.000526191696730556 0.0065352874814287 0.29072343667333 0.0065352874814287 0.0189834910059055 "scaffold_1" 1647765 1647798 "+" 1 "JGI_V11_220051"
"scaffold_1_2692183_2692185_+" 36.3799054381818 34.0004204575009 41.8850623699213 63.9811030500164 58.1683063880769 29.5398171452762 27.5033483162793 27.7765806926162 -1.06027997920938 5.51836121961146 -7.90175761525207 4.66744621085979e-05 0.00142697902205408 2.32657608037628 0.00142697902205408 0.0166386960521533 "scaffold_1" 2692183 2692185 "+" 1 "JGI_V11_232495"
"scaffold_1_2923839_2923861_+" 12.9571614324721 11.6091160716644 13.6480238310027 23.1134740510459 22.9580263073619 7.30130874825677 6.94115947493485 9.21257535475506 -1.48118733892253 3.92846388815998 -8.44819066196954 2.87367888311001e-05 0.00108331091733181 3.01804551215211 0.00108331091733181 0.0212205620874742 "scaffold_1" 2923839 2923861 "+" 1 "JGI_V11_309932"
"scaffold_1_3088840_3088863_+" 22.5725783653349 24.7084565345337 27.575129008375 41.6882003854818 62.1368644812883 21.4787637594728 28.9089529132932 24.0254017391729 -0.995975569480896 5.16529180706676 -5.12177823256778 0.000894039467948267 0.00916222402115405 -0.836012203676861 0.00916222402115405 0.0237731245674619 "scaffold_1" 3088840 3088863 "+" 1 "JGI_V11_309949"
"scaffold_1_3900099_3900131_+" 48.6246555603368 48.8636116663104 44.6828516776792 20.8715195188546 18.6540477796721 33.1362018890422 32.5061496159652 32.7213400995777 0.755029002243697 5.32409798226694 5.96033795988127 0.00033282548483284 0.00491561602289494 0.274326623672336 0.00491561602289494 0.016045983554337 "scaffold_1" 3900099 3900131 "+" 1 "JGI_V11_299967"
"scaffold_1_3973877_3973931_+" 302.327269495424 341.510643640691 328.860430486455 95.9816463571113 78.9198845797955 221.664090268772 221.423479425473 303.944085728866 1.53185855519178 7.9713765090843 8.31962666527833 3.21352806771579e-05 0.00116137391265441 2.72139679378307 0.00116137391265441 0.0206330353038404 "scaffold_1" 3973877 3973931 "+" 1 "JGI_V11_299973"
"scaffold_1_1549320_1549355_-" 13.3538469540717 15.8263493319208 13.0046609208495 24.7362822140242 25.0550040468673 15.3607494228913 11.756711507909 11.4080337334339 -0.9052954744484 4.26141576193836 -5.40470424781229 0.00063379939682118 0.00741042614822205 -0.373010148988349 0.00741042614822205 0.0207176757168333 "scaffold_1" 1549320 1549355 "-" 1 "JGI_V11_309661"
"scaffold_1_2210156_2210161_-" 19.583289067802 15.4368402620579 19.0530807441996 60.5846529760008 66.996204498423 22.6518825495365 24.4531585250305 23.0049480373563 -1.39181004236949 5.04455852668244 -10.4653989841569 5.86054961999635e-06 0.000486668440799178 4.5404103709001 0.000486668440799178 0.0179835971782526 "scaffold_1" 2210156 2210161 "-" 1 "JGI_V11_299880"
"scaffold_1_2327585_2327662_-" 134.090543814842 132.674027882457 122.258233267637 91.937754932159 106.730157445363 40.2219815045326 42.7877027282854 44.8316084036026 -1.17240788118354 6.57935380879416 -9.43637168207759 1.27194312362081e-05 0.000701480308813072 3.70434573598 0.000701480308813072 0.0137172550341307 "scaffold_1" 2327585 2327662 "-" 1 "JGI_V11_230092"
"scaffold_1_2415527_2415561_-" 226.527496631278 235.053282232667 245.778862643764 64.731734898939 58.3891371602099 88.708606447773 100.962399275503 88.613641466678 0.623725516161659 7.14800352707302 5.37206098451738 0.00065908880160242 0.00760952694471643 -0.539249772407345 0.00760952694471643 0.0119924106913398 "scaffold_1" 2415527 2415561 "-" 1 "JGI_V11_299902"
"scaffold_1_2475865_2475866_-" 6.55842000938087 7.09613214817812 6.07746058408649 18.7402080100209 18.653417577353 6.14006208736538 5.64697090660246 6.1352829730998 -1.53742337974534 3.38422805096017 -8.29454689348026 3.28490695072962e-05 0.00117383135643863 2.94914561137261 0.00117383135643863 0.0226403539814861 "scaffold_1" 2475865 2475866 "-" 1 "JGI_V11_309841"
"scaffold_1_2505913_2505942_-" 52.7656022580161 53.914507528378 50.8398805416321 115.740376489994 84.4400111774651 36.0958254284638 35.2797568349744 40.7471034218645 -1.35776368243597 6.02214544996311 -8.28169869924335 3.32215537097221e-05 0.00118252284057371 2.68329452928571 0.00118252284057371 0.0191240901897371 "scaffold_1" 2505913 2505942 "-" 1 "JGI_V11_299908"
"scaffold_1_3100600_3100602_-" 16.9299012321027 15.8335499814279 13.7695740758493 12.8506856518593 17.5480761372901 32.2920726221595 31.3966180021403 29.475849335356 1.05899538355659 4.60548673746427 6.45840222625221 0.000193172454074416 0.00338797497118383 0.889234081157396 0.00338797497118383 0.0193291680853171 "scaffold_1" 3100600 3100602 "-" 1 "JGI_V11_309953"
"scaffold_10_307522_307606_+" 216.397070901903 272.970732462683 230.452093363436 125.428301278802 138.849528105548 272.928649852779 216.87439620645 301.024145840667 1.01904043690951 7.98831867379474 5.53444044587279 0.000543303411027961 0.0066627992861411 -0.310166607584743 0.0066627992861411 0.0205134556835541 "scaffold_10" 307522 307606 "+" 1 "JGI_V11_300212"
"scaffold_10_599027_599060_+" 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 213.875676906004 179.111436678268 162.901514719637 8.57959756175633 2.45640079250118 6.83123803848527 0.000131039653329371 0.00274780073058358 -0.7240830121549 0.00274780073058358 0.0244263426125179 "scaffold_10" 599027 599060 "+" 1 "JGI_V11_300372"
"scaffold_10_662841_662846_+" 13.3239854525548 8.60841376492628 8.46024124223044 58.3715530630341 47.0216056704066 16.0989145067507 15.0061250848675 11.4000559068366 -1.82727469885238 4.3969931451043 -8.73071286324046 2.25869153065592e-05 0.000945183153245094 3.14599429632241 0.000945183153245094 0.0231150614508445 "scaffold_10" 662841 662846 "+" 1 "JGI_V11_299530"
"scaffold_10_679492_679529_+" 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 37.1911144200481 55.9559935306794 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 -6.51173029873246 0.886260818608191 -5.24700073397263 0.000766713854069866 0.00837940078084833 -0.951444642498649 0.00837940078084833 0.033045331585601 "scaffold_10" 679492 679529 "+" 1 "JGI_V11_300253"
"scaffold_10_881559_881625_+" 1227.45645462549 1558.80135573069 1520.2601578804 631.473443500108 616.440114532699 1532.72840433064 1511.19615815651 1627.14045849068 1.35479212252391 10.4787068419077 9.46964172154009 1.23909208945404e-05 0.000699537137602426 3.75292496386376 0.000699537137602426 0.013306127330265 "scaffold_10" 881559 881625 "+" 1 "JGI_V11_300259"
"scaffold_10_887360_887366_+" 10.3723844511616 10.5034339850232 6.19653626322191 41.0941135052496 45.8044441285128 8.24567036458891 9.44002376142371 14.6844642349114 -1.96744614622715 4.1158282349647 -7.85765587845149 4.85942843090473e-05 0.00145797479014172 2.36986653615105 0.00145797479014172 0.0237011999549189 "scaffold_10" 887360 887366 "+" 1 "JGI_V11_300386"
"scaffold_10_887583_887587_+" 6.464114596189 4.09945080749802 3.43101542829156 44.1109768602984 41.0599774410346 3.90496178000407 6.76194982448569 8.36609312669112 -2.67464050820187 3.49830295587626 -10.2436764177279 6.88560580370251e-06 0.000525564519785005 4.48297694303317 0.000525564519785005 0.0237366838872656 "scaffold_10" 887583 887587 "+" 1 "JGI_V11_300386"
"scaffold_10_937370_937378_+" 23.5843207005138 24.5743478093807 28.1435404525228 70.4734239166119 66.8874484994243 96.3093186140675 131.158781251248 127.67245427792 0.804908617226884 6.11846046842037 5.09214780572145 0.000927438795120457 0.00935006941735628 -0.903186148872143 0.00935006941735628 0.0197948332792789 "scaffold_10" 937370 937378 "+" 1 "JGI_V11_237791"
"scaffold_10_1256108_1256124_+" 0.0111895274956402 3.40745412728822 3.96387845786876 3.99001673668449 5.40789767417791 55.7009501597399 47.5069068231016 44.1221753533721 3.30009888218081 3.34735822543893 7.56152748357333 6.40010207298281e-05 0.00173969726149086 2.28373639842873 0.00173969726149086 0.0233207193049187 "scaffold_10" 1256108 1256124 "+" 1 "JGI_V11_314084"
