"mat_females_1" "mat_females_2" "mat_females_3" "mat_males_1" "mat_males_2" "pE_females_1" "pE_females_2" "pE_females_3" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "FDR" "tw_dis" "chr" "start" "end" "strand" "de" "gene"
"scaffold_1_157406_157461_+" 31.0568919218073 27.4434737957641 28.7380916420139 11.8758767907936 9.93451760203346 15.4542608060167 17.5103050634749 14.305811664087 -1.19183318099358 4.46556986087367 -7.75167865891909 5.35763455192082e-05 0.000948370895359491 2.22603944000689 0.000948370895359491 0.0193109031344183 "scaffold_1" 157406 157461 "+" 1 "JGI_V11_219913"
"scaffold_1_387218_387361_+" 43.7248554585024 46.5481906639055 50.2403861746375 20.2585221963104 14.9022926169454 18.3151938719057 16.8508283197888 18.7508545174329 -1.21593798749907 4.95355828533101 -7.39612759465651 7.4919081201353e-05 0.00115851370136484 1.78707313102612 0.00115851370136484 0.0182520225624911 "scaffold_1" 387218 387361 "+" 1 "JGI_V11_219940"
"scaffold_1_517725_517731_+" 13.9776280578084 10.2581410865405 19.5788505156868 28.0709438792606 44.1460059509105 177.956554107114 170.586142971869 197.383024759953 1.47575386999281 5.80796561851127 5.35651825254487 0.000671516778322627 0.0050120848736851 -0.570230105631311 0.0050120848736851 0.0227201104841087 "scaffold_1" 517725 517731 "+" 1 "JGI_V11_309533"
"scaffold_1_562554_562716_+" 1073.50075978659 879.878885809785 738.985369761369 1431.59655045032 1599.43012691856 864.745813377495 654.395678428001 722.796936711482 0.957336366281224 10.1405169406876 4.8599580277677 0.00124161753122391 0.00741782897019869 -1.2896407714051 0.00741782897019869 0.0247729432482948 "scaffold_1" 562554 562716 "+" 1 "JGI_V11_300012"
"scaffold_1_563101_563167_+" 306.825175363436 221.962307049238 185.19899031992 464.538061595052 478.471629831152 221.294204332306 176.331116084247 156.246385950093 1.20380312211073 8.23988523390737 5.18633368964501 0.000825733057582966 0.0057255226034877 -0.856148445839207 0.0057255226034877 0.0323643809446886 "scaffold_1" 563101 563167 "+" 1 "JGI_V11_300012"
"scaffold_1_563561_563715_+" 103.585551758023 70.8619709561011 64.6435965488036 128.784040625988 161.364192986498 56.3191553544381 62.3415196136116 51.280614911775 1.06923902686439 6.59227825501938 5.00765570989091 0.00103039418537634 0.00660684873835729 -1.11732224632995 0.00660684873835729 0.0272387687718472 "scaffold_1" 563561 563715 "+" 1 "JGI_V11_300012"
"scaffold_1_642144_642148_+" 96.3480950413373 114.78598551826 113.398768707571 47.3382359593864 53.9718446661255 103.361200204958 71.2013366100843 73.7723841471962 -0.898539247801173 6.58854922727088 -4.72566529105614 0.00147506632686069 0.00831773512090889 -1.51130973495702 0.00831773512090889 0.0213397848911914 "scaffold_1" 642144 642148 "+" 1 "JGI_V11_300018"
"scaffold_1_642144_642148_+.1" 96.3480950413373 114.78598551826 113.398768707571 47.3382359593864 53.9718446661255 103.361200204958 71.2013366100843 73.7723841471962 -0.898539247801173 6.58854922727088 -4.72566529105614 0.00147506632686069 0.00831773512090889 -1.51130973495702 0.00831773512090889 0.0213397848911914 "scaffold_1" 642144 642148 "+" 1 "JGI_V11_299809"
"scaffold_1_989290_989313_+" 45.9889685389453 51.1831172588372 50.8215285589583 28.3642342652704 27.1525140528998 31.9710086663445 35.2958310684662 28.2736563928905 -0.63034212988521 5.44831232061105 -4.9425507687091 0.00111823560516078 0.0069486949884312 -1.18095955494143 0.0069486949884312 0.0165287244331933 "scaffold_1" 989290 989313 "+" 1 "JGI_V11_309603"
"scaffold_1_989290_989313_+.1" 45.9889685389453 51.1831172588372 50.8215285589583 28.3642342652704 27.1525140528998 31.9710086663445 35.2958310684662 28.2736563928905 -0.63034212988521 5.44831232061105 -4.9425507687091 0.00111823560516078 0.0069486949884312 -1.18095955494143 0.0069486949884312 0.0165287244331933 "scaffold_1" 989290 989313 "+" 1 "JGI_V11_299826"
"scaffold_1_1004706_1004726_+" 33.3946005905893 28.4008881899901 30.067237115274 48.4457156515586 64.3453992821035 18.5071975659543 29.841235406817 23.8579753566515 1.04651119763651 5.28577469827769 5.30331833443051 0.000716036947086778 0.00520803267478568 -0.718151704545568 0.00520803267478568 0.0224721077838709 "scaffold_1" 1004706 1004726 "+" 1 "JGI_V11_230081"
"scaffold_1_1478744_1478781_+" 52.6063917634139 39.7531590511024 62.3352106415962 97.5101157673515 164.671616946095 29.1105742377331 26.1988152797741 33.5938096895606 1.50039550778993 5.96776572221956 5.72077505888692 0.00043717990643381 0.00381273627722576 -0.19415713801369 0.00381273627722576 0.0372496563194924 "scaffold_1" 1478744 1478781 "+" 1 "JGI_V11_299840"
"scaffold_1_1515529_1515538_+" 45.8210417285114 47.634980078217 44.9583044083012 26.9952882177151 24.062507966841 133.923059385355 122.796921078513 137.208631617365 -0.656635099355166 6.14437388923174 -5.05172688614667 0.000975217996957179 0.00635557029301123 -1.02365498865796 0.00635557029301123 0.0139038397235948 "scaffold_1" 1515529 1515538 "+" 1 "JGI_V11_300053"
"scaffold_1_1623655_1623685_+" 29.8218147688871 32.3445797592376 29.2190367250324 14.500051497813 12.3627792391522 25.7387267583892 23.6220241553041 16.3302504635238 -0.968757670118479 4.72854374624382 -4.74509015057004 0.00143852724845445 0.00816477601279231 -1.3451543264282 0.00816477601279231 0.0205958296351833 "scaffold_1" 1623655 1623685 "+" 1 "JGI_V11_205172"
"scaffold_1_1647765_1647798_+" 38.4810521483946 38.49279387555 37.4642829978778 3.23990409442131 4.74560252900508 14.6053947906233 17.4188863341682 14.1365519165571 -2.94075008509873 4.25831047160449 -8.7978064597727 2.1351715704452e-05 0.000572237976225216 3.25817796559402 0.000572237976225216 0.0189834910059055 "scaffold_1" 1647765 1647798 "+" 1 "JGI_V11_220051"
"scaffold_1_1686579_1686580_+" 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 9.75111693365981 8.05809635368162 5.81985247633347 6.76277670409224 5.96188499708218 4.38486086458962 1.7195569271523 5.15658270914217 0.000856476584046069 0.00585361252749538 -0.797519165231209 0.00585361252749538 0.0257011437946406 "scaffold_1" 1686579 1686580 "+" 1 "JGI_V11_190018"
"scaffold_1_1788840_1788849_+" 19.5471832665282 28.1097855642622 28.9907584072813 9.24537684049689 8.94058056298792 16.1994525079767 16.3025435659892 13.9644482863376 -1.2337752967253 4.31995478927027 -5.41150341768749 0.000628666851730359 0.00478699954697474 -0.339332545660489 0.00478699954697474 0.0221323176849015 "scaffold_1" 1788840 1788849 "+" 1 "JGI_V11_232289"
"scaffold_1_1836913_1836939_+" 21.3152308047018 21.9780664823054 23.0375143954795 11.1343772970746 7.39656128271999 17.3695035452626 14.350507641365 14.3083179150584 -1.04956090038177 4.24480856297747 -5.12925617270977 0.000885819552601375 0.00596864714079782 -0.698621819535767 0.00596864714079782 0.0204217296678531 "scaffold_1" 1836913 1836939 "+" 1 "JGI_V11_309707"
"scaffold_1_1868881_1868934_+" 67.7600791651326 76.0174199480597 66.1158798714576 37.6010145687628 39.8447279688306 39.4888511930564 43.9124263515137 33.2091743168481 -0.656109323507475 5.85860686514362 -4.75934620492487 0.00141233757210003 0.00807062313732203 -1.45916749978246 0.00807062313732203 0.0163621069931608 "scaffold_1" 1868881 1868934 "+" 1 "JGI_V11_205195"
"scaffold_1_2203887_2203958_+" 155.578026328714 166.254071259358 169.256916465539 100.080752587666 98.7851735998777 103.214418144308 110.031283166708 105.324373034814 -0.528476493055744 7.19696725561637 -4.89188489025649 0.00119224734174039 0.00722695799716969 -1.27301119341136 0.00722695799716969 0.0109485217226106 "scaffold_1" 2203887 2203958 "+" 1 "JGI_V11_299504"
"scaffold_1_2298519_2298523_+" 22.0858928696727 20.6150757225416 20.9618246584886 42.2603718115083 30.5763842480852 43.1057505784017 35.9320064364482 30.6508862512402 0.933708407133859 5.16212606798663 4.785297800092 0.00136598387066517 0.00793235064517127 -1.37192818606962 0.00793235064517127 0.0214222063590881 "scaffold_1" 2298519 2298523 "+" 1 "JGI_V11_309801"
"scaffold_1_2692183_2692185_+" 36.3799054381818 34.0004204575009 41.8850623699213 63.9811030500164 58.1683063880769 29.5398171452762 27.5033483162793 27.7765806926162 0.889649929008301 5.51836121961146 6.72548957825122 0.000146053682220188 0.00182022175840916 0.990769156144751 0.00182022175840916 0.0166386960521533 "scaffold_1" 2692183 2692185 "+" 1 "JGI_V11_232495"
"scaffold_1_2752511_2752534_+" 28.8012866892565 27.1687910520057 29.0144454076489 46.2289856667636 45.6951626675669 24.9704354934799 28.2438310471212 34.2817334015618 0.875752382191228 5.28293264892281 5.76940515967137 0.000413385975530708 0.00365195888198007 -0.116596240929122 0.00365195888198007 0.017780990320674 "scaffold_1" 2752511 2752534 "+" 1 "JGI_V11_205349"
"scaffold_1_2761617_2761631_+" 20.610690216679 21.5658131174117 20.9602828487962 10.2623014013871 6.07225039931601 12.8161170829135 11.1124315171217 9.70290688647903 -1.16801168228207 4.00702926018779 -4.99327769301274 0.00104912508211087 0.00667294769478528 -0.794214989838121 0.00667294769478528 0.0213625544073805 "scaffold_1" 2761617 2761631 "+" 1 "JGI_V11_309890"
"scaffold_1_2836719_2836769_+" 300.477778063663 289.909562809617 218.472140288497 992.065337995188 468.107036680276 433.763661705323 336.730833191217 349.709876552917 1.53737007996472 8.82922727629611 4.92832032318503 0.00113850391119894 0.00700804246241876 -1.20048069976905 0.00700804246241876 0.0531570099464971 "scaffold_1" 2836719 2836769 "+" 1 "JGI_V11_220196"
"scaffold_1_2860053_2860079_+" 36.064969658848 35.6303207185352 37.8296179529126 115.213971910276 102.208060998186 81.3243913906118 68.8080048171064 63.0353230503005 1.74571874188413 6.20364741655868 12.1584033765843 1.87484021698384e-06 0.00013349142171823 5.66771940348625 0.00013349142171823 0.0163537038581053 "scaffold_1" 2860053 2860079 "+" 1 "JGI_V11_299926"
"scaffold_1_2864168_2864314_+" 54.800642076794 51.6092031647519 61.7985191382886 74.0711545775327 86.4213593798381 80.0228604386172 81.7702816315785 98.5401818790578 0.700167470746695 6.43064625125768 4.58272890647448 0.00177708391412825 0.00945035425675228 -1.7149957169609 0.00945035425675228 0.0163892544000611 "scaffold_1" 2864168 2864314 "+" 1 "JGI_V11_220202"
"scaffold_1_2923839_2923861_+" 12.9571614324721 11.6091160716644 13.6480238310027 23.1134740510459 22.9580263073619 7.30130874825677 6.94115947493485 9.21257535475506 1.01927853381622 3.92846388815998 6.89274941852199 0.000123096872023944 0.00161327919777534 1.29800820072596 0.00161327919777534 0.0212205620874742 "scaffold_1" 2923839 2923861 "+" 1 "JGI_V11_309932"
"scaffold_1_3088840_3088863_+" 22.5725783653349 24.7084565345337 27.575129008375 41.6882003854818 62.1368644812883 21.4787637594728 28.9089529132932 24.0254017391729 1.20598834286611 5.16529180706676 6.18809647151789 0.000258547307919288 0.00262687670731595 0.397715299884089 0.00262687670731595 0.0237731245674619 "scaffold_1" 3088840 3088863 "+" 1 "JGI_V11_309949"
"scaffold_1_3900099_3900131_+" 48.6246555603368 48.8636116663104 44.6828516776792 20.8715195188546 18.6540477796721 33.1362018890422 32.5061496159652 32.7213400995777 -1.05528811171837 5.32409798226694 -8.42068497807387 2.94288276044426e-05 0.000678213633270499 2.77820410653902 0.000678213633270499 0.016045983554337 "scaffold_1" 3900099 3900131 "+" 1 "JGI_V11_299967"
"scaffold_1_3917620_3917624_+" 13.8962956067554 12.5660436197275 15.6323794835035 23.4497170449315 37.6340834074556 19.6766813433863 20.735169975603 30.545266051823 1.24856267707234 4.638772169529 4.68225424274156 0.00156042538197261 0.00863834823522231 -1.46356829784485 0.00863834823522231 0.0276915899846556 "scaffold_1" 3917620 3917624 "+" 1 "JGI_V11_299971"
"scaffold_1_3922779_3922834_+" 64.3248061422539 66.0670174632357 68.174133278514 34.6034607011269 36.3128564466744 37.4715647341875 44.1907306399922 35.2624296634376 -0.704264474993773 5.80083364951094 -5.83981290097053 0.000381420602453827 0.00346677061963099 -0.0423128428010511 0.00346677061963099 0.01540663750471 "scaffold_1" 3922779 3922834 "+" 1 "JGI_V11_300177"
"scaffold_1_3973877_3973931_+" 302.327269495424 341.510643640691 328.860430486455 95.9816463571113 78.9198845797955 221.664090268772 221.423479425473 303.944085728866 -1.70262779648159 7.9713765090843 -9.23719487590439 1.49012351560864e-05 0.000440163110291704 3.46151661814936 0.000440163110291704 0.0206330353038404 "scaffold_1" 3973877 3973931 "+" 1 "JGI_V11_299973"
"scaffold_1_342706_342738_-" 41.8222530262826 37.4046077268631 35.4868134731141 16.4822429151293 18.983726705974 24.3397194407065 25.1847165581033 31.3815418516196 -0.900518468043827 5.06296325965638 -5.31320233600103 0.000707527025861464 0.00517677557802472 -0.630117716670653 0.00517677557802472 0.0185170690870177 "scaffold_1" 342706 342738 "-" 1 "JGI_V11_186885"
