chr start end strand gene gene_start gene_end gene_strand expression
4 scaffold_1 120715 120736 + JGI_V11_189791 113463 122111 + 65.3953448158924
6 scaffold_1 157386 157461 + JGI_V11_219913 157259 160920 + 191.789603963763
7 scaffold_1 162014 162063 + JGI_V11_299986 161993 163283 + 45.486418370908
8 scaffold_1 163697 163750 + JGI_V11_299784 163477 166217 + 298.042452933891
9 scaffold_1 168298 168301 + JGI_V11_231974 167992 177601 + 60.495004368877
13 scaffold_1 224681 224753 + JGI_V11_299786 224530 226471 + 615.259406578148
14 scaffold_1 226515 226518 + JGI_V11_299787 226316 228043 + 225.651923813431
15 scaffold_1 230668 230676 + JGI_V11_231986 230267 234016 + 140.754637504114
16 scaffold_1 234773 234777 + JGI_V11_299990 234573 236519 + 64.3186386500922
17 scaffold_1 240409 240414 + JGI_V11_231988 238418 244574 + 11.4751611458488
18 scaffold_1 338755 338789 + JGI_V11_309510 335687 340850 + 133.419387275685
19 scaffold_1 342988 343020 + JGI_V11_299792 342737 345023 + 168.419885591929
20 scaffold_1 387210 387364 + JGI_V11_219940 387105 390157 + 285.642168890541
21 scaffold_1 402522 402533 + JGI_V11_219945 402320 404326 + 88.4912125428561
23 scaffold_1 409256 409263 + JGI_V11_299604 409053 413196 + 118.646049801333
25 scaffold_1 424111 424137 + JGI_V11_299637 423858 430346 + 44.343146484679
26 scaffold_1 442734 442760 + JGI_V11_219955 442529 444186 + 253.579745947875
27 scaffold_1 517723 517732 + JGI_V11_309533 517538 521981 + 676.726773171731
29 scaffold_1 560841 560913 + JGI_V11_300012 560660 565218 + 32626.7663295063
30 scaffold_1 561752 561822 + JGI_V11_300012 560660 565218 + 375.376128003864
31 scaffold_1 562554 562716 + JGI_V11_300012 560660 565218 + 8063.6999038703
32 scaffold_1 562906 562947 + JGI_V11_300012 560660 565218 + 102.677376823006
33 scaffold_1 563101 563167 + JGI_V11_300012 560660 565218 + 2227.1279032205
34 scaffold_1 563319 563394 + JGI_V11_300012 560660 565218 + 648.121044808342
35 scaffold_1 563543 563715 + JGI_V11_300012 560660 565218 + 739.747965881662
36 scaffold_1 563871 564079 + JGI_V11_300012 560660 565218 + 943.970958562562
37 scaffold_1 567480 567482 + JGI_V11_299803 567290 568821 + 16.6876510494021
38 scaffold_1 599179 599238 + JGI_V11_230075 599014 600485 + 2905.96313806553
39 scaffold_1 599470 599495 + JGI_V11_230075 599014 600485 + 33.2423233485647
40 scaffold_1 599729 599732 + JGI_V11_230075 599014 600485 + 132.789922564711
41 scaffold_1 601270 601305 + JGI_V11_299805 601066 602507 + 242.188556869312
42 scaffold_1 638898 638899 + JGI_V11_300018 638766 642109 + 5.61871285604793
43 scaffold_1 642134 642148 + JGI_V11_299809 641947 645066 + 687.221182924778
44 scaffold_1 645397 645444 + JGI_V11_300019 645149 647868 + 156.239001384162
45 scaffold_1 704266 704330 + JGI_V11_299812 704075 706384 + 1077.41981404112
46 scaffold_1 704480 704529 + JGI_V11_299812 704075 706384 + 33.1500389562309
47 scaffold_1 704683 704687 + JGI_V11_299812 704075 706384 + 5.62211251814888
48 scaffold_1 901912 901974 + JGI_V11_300027 901791 905149 + 131.15763813028
50 scaffold_1 932304 932340 + JGI_V11_309592 932130 934234 + 89.6963070873946
51 scaffold_1 934122 934162 + JGI_V11_309592 932130 934234 + 88.4488732307943
51.1 scaffold_1 934122 934162 + JGI_V11_299818 933940 935505 + 88.4488732307943
53 scaffold_1 978321 978344 + JGI_V11_299820 977977 979463 + 53.5830403887144
54 scaffold_1 986174 986322 + JGI_V11_189934 983406 986304 + 2093.69207165744
54.1 scaffold_1 986174 986322 + JGI_V11_309603 986125 989184 + 2093.69207165744
55 scaffold_1 986839 986903 + JGI_V11_309603 986125 989184 + 13.8219296163772
56 scaffold_1 989274 989324 + JGI_V11_299826 989078 991592 + 353.689919662132
57 scaffold_1 995581 995764 + JGI_V11_230081 995487 1010274 + 3800.49492683606
58 scaffold_1 996848 996858 + JGI_V11_230081 995487 1010274 + 5.36352983603945
59 scaffold_1 998645 998649 + JGI_V11_230081 995487 1010274 + 68.7509957329867
60 scaffold_1 1000904 1001064 + JGI_V11_230081 995487 1010274 + 6847.73310415544
61 scaffold_1 1001249 1001290 + JGI_V11_230081 995487 1010274 + 919.948510168951
62 scaffold_1 1001450 1001454 + JGI_V11_230081 995487 1010274 + 18.1716672461239
63 scaffold_1 1002385 1002452 + JGI_V11_230081 995487 1010274 + 53.3476894037558
64 scaffold_1 1003187 1003209 + JGI_V11_230081 995487 1010274 + 5.05990126633399
65 scaffold_1 1003940 1003966 + JGI_V11_230081 995487 1010274 + 21.5569610586298
66 scaffold_1 1004706 1004728 + JGI_V11_230081 995487 1010274 + 284.746828801641
67 scaffold_1 1004968 1004987 + JGI_V11_230081 995487 1010274 + 5.6183581505026
68 scaffold_1 1006322 1006326 + JGI_V11_230081 995487 1010274 + 38.8231082328759
69 scaffold_1 1007278 1007367 + JGI_V11_230081 995487 1010274 + 116.705786022563
70 scaffold_1 1008363 1008547 + JGI_V11_230081 995487 1010274 + 2492.63760180231
73 scaffold_1 1142701 1142721 + JGI_V11_232153 1142696 1144729 + 118.110220889216
74 scaffold_1 1180791 1180794 + JGI_V11_299828 1180734 1188548 + 109.409613318881
75 scaffold_1 1253015 1253051 + JGI_V11_300039 1252815 1255908 + 81.3799109114903
77 scaffold_1 1269185 1269192 + JGI_V11_94071 1269069 1270601 + 517.462345122508
78 scaffold_1 1269405 1269415 + JGI_V11_94071 1269069 1270601 + 66.854302102759
80 scaffold_1 1359614 1359645 + JGI_V11_220021 1359499 1364759 + 50.4972792177706
81 scaffold_1 1389417 1389645 + JGI_V11_232195 1389516 1391418 + 576.207805758789
82 scaffold_1 1394059 1394082 + JGI_V11_232197 1393991 1396774 + 369.781027110979
83 scaffold_1 1394632 1394660 + JGI_V11_232197 1393991 1396774 + 29.9830938456125
85 scaffold_1 1478716 1478781 + JGI_V11_299840 1478544 1495713 + 529.621293246575
86 scaffold_1 1515529 1515540 + JGI_V11_300053 1515321 1519184 + 592.289207864925
87 scaffold_1 1588593 1588638 + JGI_V11_300057 1588468 1590539 + 572.050315115049
88 scaffold_1 1591711 1591715 + JGI_V11_300058 1591514 1593650 + 135.856145028036
89 scaffold_1 1614087 1614110 + JGI_V11_309672 1614063 1617016 + 19.3697070852159
90 scaffold_1 1623655 1623687 + JGI_V11_205172 1623466 1625024 + 216.47142227306
93 scaffold_1 1640782 1640792 + JGI_V11_232248 1640757 1645324 + 102.285461005969
94 scaffold_1 1647762 1647798 + JGI_V11_220051 1647595 1648912 + 184.683118754357
100 scaffold_1 1665636 1665642 + JGI_V11_190015 1665436 1668477 + 26.0052909021443
103 scaffold_1 1685675 1685714 + JGI_V11_190018 1684767 1691475 + 20.1808613435264
104 scaffold_1 1686579 1686580 + JGI_V11_190018 1684767 1691475 + 36.8149233301297
105 scaffold_1 1688814 1688832 + JGI_V11_190018 1684767 1691475 + 68.1818133651452
106 scaffold_1 1692946 1693004 + JGI_V11_232260 1692867 1697135 + 195.484297009287
108 scaffold_1 1771278 1771320 + JGI_V11_186925 1771090 1772893 + 40.9063509847811
109 scaffold_1 1785022 1785036 + JGI_V11_299852 1784832 1787029 + 75.5174782597694
110 scaffold_1 1788840 1788853 + JGI_V11_232289 1788708 1789548 + 147.969377694371
111 scaffold_1 1836906 1836939 + JGI_V11_309707 1836714 1840677 + 147.185860021026
112 scaffold_1 1841823 1841867 + JGI_V11_190026 1841633 1844886 + 667.318537420479
114 scaffold_1 1868879 1868942 + JGI_V11_205195 1868539 1869861 + 451.318913898879
116 scaffold_1 1913528 1913530 + JGI_V11_309722 1913314 1916750 + 29.5909979708534
117 scaffold_1 1932666 1932731 + JGI_V11_309730 1932718 1937075 + 1051.85003723064
119 scaffold_1 1951116 1951125 + JGI_V11_232322 1948030 1953391 + 20.4342662629332
120 scaffold_1 1962874 1962939 + JGI_V11_309740 1962820 1966196 + 502.109243201539
121 scaffold_1 1974465 1974469 + JGI_V11_299864 1974292 1975799 + 15.5989138710645
122 scaffold_1 1985516 1985613 + JGI_V11_309746 1985394 1988585 + 20881.5520606603
123 scaffold_1 1985999 1986104 + JGI_V11_309746 1985394 1988585 + 525.130079915103
124 scaffold_1 1986310 1986333 + JGI_V11_309746 1985394 1988585 + 111.842379992209
125 scaffold_1 1986618 1986624 + JGI_V11_309746 1985394 1988585 + 448.250191103076
126 scaffold_1 1986938 1986941 + JGI_V11_309746 1985394 1988585 + 101.687217641043
127 scaffold_1 1987249 1987312 + JGI_V11_309746 1985394 1988585 + 114.135335339044
128 scaffold_1 1987414 1987583 + JGI_V11_309746 1985394 1988585 + 210.911952474764
129 scaffold_1 1988827 1988856 + JGI_V11_299867 1988707 1990016 + 44.3190114839671
130 scaffold_1 2014537 2014541 + JGI_V11_232341 2010600 2019105 + 5.36352983603945
132 scaffold_1 2024522 2024527 + JGI_V11_4167 2020643 2028076 + 265.854658735285
133 scaffold_1 2034982 2035027 + JGI_V11_299870 2034800 2036600 + 420.700755710639
134 scaffold_1 2045725 2045770 + JGI_V11_190063 2045635 2047762 + 468.893075228856
135 scaffold_1 2060780 2060876 + JGI_V11_220094 2060612 2064215 + 127.672235815733
137 scaffold_1 2087920 2088007 + JGI_V11_205240 2087771 2091949 + 317.210953807877
138 scaffold_1 2092225 2092299 + JGI_V11_300090 2092077 2095106 + 236.425811579653
139 scaffold_1 2094266 2094267 + JGI_V11_300090 2092077 2095106 + 8.85769590487877
140 scaffold_1 2096677 2096746 + JGI_V11_300091 2096664 2101495 + 150.786613990934
143 scaffold_1 2194054 2194065 + JGI_V11_220106 2193831 2196330 + 6.04670305046984
145 scaffold_1 2203887 2203967 + JGI_V11_299504 2203733 2205908 + 1093.55263318962
148 scaffold_1 2240871 2240911 + JGI_V11_300097 2240673 2244972 + 494.872509234546
149 scaffold_1 2272313 2272314 + JGI_V11_300101 2271385 2275611 + 35.5765137812754
151 scaffold_1 2286525 2286586 + JGI_V11_220118 2286355 2287899 + 550.429363485607
152 scaffold_1 2292005 2292111 + JGI_V11_299889 2291862 2294676 + 149.101434457973
153 scaffold_1 2298518 2298523 + JGI_V11_309801 2298381 2300108 + 258.221324962329
154 scaffold_1 2302992 2302994 + JGI_V11_299891 2301889 2305761 + 5.14304357818685
156 scaffold_1 2312440 2312463 + JGI_V11_300107 2312263 2315251 + 281.964091197944
