promoter_ID	mat_females_1	mat_females_2	mat_females_3	mat_males_1	mat_males_2	pE_females_1	pE_females_2	pE_females_3	logFC	logCPM	PValue	FDR	tw_dis	chr	start	end	strand	de	gene	GO_ID	KOG_JGI	KOG_ID	FlyBase_id_representative_homolog	interprot_representative_homolog
scaffold_6_113932_113935_+	49.24246904	55.4520975	81.58399604	1.39E-17	1.39E-17	32.50177072	19.85865066	43.10541056	-9.005804922	5.438800816	2.39E-22	1.62E-20	0.048121525	scaffold_6	113932	113935	+	1	JGI_V11_290507	GO:0046872	KOG4738	KOG4738	0	0
scaffold_83_295243_295263_+	8.072022345	10.43283733	8.38895311	1.39E-17	1.39E-17	8.801376045	9.212859486	6.33873566	-6.231587867	3.286377067	3.87E-06	2.51E-05	0.025572148	scaffold_83	295243	295263	+	1	JGI_V11_201447	GO:0046872	KOG0509	KOG0509	FBgn0259824	Q9VUW9
scaffold_20_641881_641891_-	99.96306702	127.0437864	114.4783767	8.843558489	8.969734651	33.32177859	42.1714139	50.57466732	-3.658589517	6.188864838	5.33E-26	4.60E-24	0.021847435	scaffold_20	641881	641891	-	1	JGI_V11_211094	"GO:0046080,GO:0016787"	KOG3370	KOG3370	FBgn0250837	Q8IPB1
scaffold_13_1166937_1166985_-	19.1526788	14.89682405	18.37913624	1.39E-17	1.39E-17	5.431261931	8.062372195	8.121681453	-7.184132538	3.727278622	9.47E-11	1.57E-09	0.024495317	scaffold_13	1166937	1166985	-	1	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1167307_1167396_-	50.36022584	30.02081164	37.12192465	0.028489171	7.854120833	19.50003099	22.61481545	5.919143523	-3.270249922	4.793702701	3.89E-08	3.87E-07	0.081663916	scaffold_13	1167307	1167396	-	1	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1167601_1167613_-	209.4454831	186.2329601	288.3414439	37.38095752	48.92408721	105.8980996	148.352781	120.2883845	-2.398485346	7.388670116	1.34E-15	4.56E-14	0.032688798	scaffold_13	1167601	1167613	-	1	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1761082_1761089_-	12.97166863	57.81407876	120.5077605	1.39E-17	1.39E-17	88.00832914	58.53269572	52.13283836	-9.042799274	5.871112345	1.52E-10	2.44E-09	0.212449747	scaffold_13	1761082	1761089	-	1	JGI_V11_100075	GO:0042302	KOG0260	KOG0260	0	0
scaffold_14_1303587_1303588_-	10.20082796	8.395960585	7.514910745	1.39E-17	1.39E-17	25.48305661	22.86547535	20.76737755	-6.189236794	3.98416634	5.41E-06	3.39E-05	0.022974871	scaffold_14	1303587	1303588	-	1	JGI_V11_315550	GO:0042302	KOG0661	KOG0661	0	0
scaffold_18_315578_315598_+	10.58941711	11.53412377	9.057023964	1.39E-17	1.39E-17	67.65181264	99.25484657	71.67359623	-6.442117607	5.337432718	8.17E-07	6.14E-06	0.028607764	scaffold_18	315578	315598	+	1	JGI_V11_302596	GO:0042302	KOG3544	KOG3544	FBgn0035508	Q9VZG4
scaffold_18_820703_820713_+	72.04114433	27.48917859	21.79745982	261.1051606	142.2627443	186.0676604	109.8172208	229.1299333	2.315502516	7.249909637	1.74E-06	1.22E-05	0.1231428	scaffold_18	820703	820713	+	1	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_820894_820905_+	13.8267522	5.026615934	0	49.93691506	30.89994357	31.12143058	20.2030616	21.88058518	2.677090562	4.736789541	5.60E-08	5.35E-07	0.075676777	scaffold_18	820894	820905	+	1	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_821070_821125_+	1.39E-17	1.39E-17	1.39E-17	15.78395499	7.535965572	19.50071323	0.033640817	0.08510758	6.604596128	3.04499773	0.000160157	0.000693105	0.50627126	scaffold_18	821070	821125	+	1	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_452985_453012_-	502.7737546	502.3087345	627.988763	175.2917575	244.5444592	5211.997029	7096.492841	9169.278864	-1.374269542	11.72382845	2.79E-06	1.87E-05	0.041646652	scaffold_18	452985	453012	-	1	JGI_V11_241217	GO:0042302	KOG3544	KOG3544	FBgn0035508	Q9VZG4
scaffold_187_23406_23412_+	9.420129283	5.486076395	8.85953468	1.39E-17	1.39E-17	0.03519892	0.013347428	6.878542026	-6.054552595	2.784201633	2.20E-05	0.000119742	0.039484956	scaffold_187	23406	23412	+	1	JGI_V11_332291	GO:0042302	0	0	0	0
