JGI_V11_221545	FBgn0036812	Nufip
JGI_V11_330101	FBgn0046225	CG17230
JGI_V11_193293	FBgn0262127	kibra
JGI_V11_261922	FBgn0037832	Desi
JGI_V11_306521	FBgn0261588	pdm3
JGI_V11_306526	FBgn0264502	CG43901
JGI_V11_306524	FBgn0002566	lt
JGI_V11_301067	FBgn0033317	CG8635
JGI_V11_215303	FBgn0037781	Fancl
JGI_V11_308276	FBgn0001316	klar
JGI_V11_311170	FBgn0034002	CG8079
JGI_V11_228284	FBgn0011785	BRWD3
JGI_V11_100237	FBgn0011291	Taf11
JGI_V11_99998	FBgn0039883	RhoGAP100F
JGI_V11_191465	FBgn0040929	CG12659
JGI_V11_194107	FBgn0038424	CG17565
JGI_V11_322909	FBgn0003310	S
JGI_V11_205517	FBgn0026259	eIF5B
JGI_V11_51845	FBgn0034720	Liprin-gamma
JGI_V11_323053	FBgn0035282	CNMa
JGI_V11_306800	FBgn0025641	DAAM
JGI_V11_223037	FBgn0085265	CG34236
JGI_V11_250192	FBgn0033482	CG1371
JGI_V11_26393	FBgn0033029	Not3
JGI_V11_116789	FBgn0032221	CG5375
JGI_V11_309279	FBgn0038749	Xport
JGI_V11_328086	FBgn0003435	sm
JGI_V11_305763	FBgn0026400	Noa36
JGI_V11_46794	FBgn0051961	CG31961
JGI_V11_261213	FBgn0045862	btz
JGI_V11_300352	FBgn0030808	RhoGAP15B
JGI_V11_64901	FBgn0003275	RpII18
JGI_V11_210791	FBgn0035772	Sh3beta
JGI_V11_303244	FBgn0034797	nahoda
JGI_V11_254676	FBgn0033869	Cpr50Cb
JGI_V11_190335	FBgn0026876	CG11403
JGI_V11_302081	FBgn0025558	CG4101
JGI_V11_199309	FBgn0036376	Liprin-beta
JGI_V11_7781	FBgn0259176	bun
JGI_V11_241679	FBgn0034027	CG8187
JGI_V11_321103	FBgn0051363	Jupiter
JGI_V11_107786	FBgn0032753	CG17572
JGI_V11_303689	FBgn0050118	CG30118
JGI_V11_188962	FBgn0020270	mre11
JGI_V11_54175	FBgn0036239	Pop2
JGI_V11_234951	FBgn0037339	Pi4KIIalpha
JGI_V11_41567	FBgn0034110	Atg9
JGI_V11_256123	FBgn0028699	Rh50
JGI_V11_304011	FBgn0038871	CG3337
JGI_V11_303355	FBgn0037447	Neurochondrin
JGI_V11_314520	FBgn0032119	CG3769
JGI_V11_314522	FBgn0038115	CG7966
JGI_V11_305547	FBgn0036318	Wbp2
JGI_V11_303234	FBgn0038146	CG9799
JGI_V11_303236	FBgn0039213	atl
JGI_V11_325931	FBgn0029976	snz
JGI_V11_216440	FBgn0034923	Upf3
JGI_V11_306003	FBgn0051694	CG31694
JGI_V11_29107	FBgn0003270	amos
JGI_V11_105824	FBgn0053556	form3
JGI_V11_308489	FBgn0037383	CG2023
JGI_V11_308488	FBgn0033571	Rpb5
JGI_V11_65881	FBgn0036666	TSG101
JGI_V11_305996	FBgn0037580	DppIII
JGI_V11_305993	FBgn0031875	CG3430
JGI_V11_190410	FBgn0032884	Pomp
JGI_V11_230160	FBgn0001989	ND-B17
JGI_V11_43475	FBgn0030739	SWIP
JGI_V11_328140	FBgn0031670	CG3887
JGI_V11_52830	FBgn0023172	RhoGEF2
JGI_V11_192225	FBgn0027088	Aats-gly
JGI_V11_308600	FBgn0035644	DNApol-epsilon58
JGI_V11_304229	FBgn0261618	larp
JGI_V11_217047	FBgn0039055	Rassf
JGI_V11_303123	FBgn0031604	Elp3
JGI_V11_305573	FBgn0052850	CG32850
JGI_V11_307592	FBgn0036574	elg1
JGI_V11_307595	FBgn0030894	CG7192
JGI_V11_57291	FBgn0044028	Notum
JGI_V11_62500	FBgn0010438	mtSSB
