mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC logCPM PValue FDR chr start end strand de
scaffold_1_51155_51224_+ 27.172847308377 25.0922411771283 25.0389423250866 18.5150988969955 27.422578680769 33.9675351573648 24.636651088444 37.2884994478685 -0.30800796388493 5.07552801502446 0.326868021303883 0.54745017449629 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 121.822860855534 100.595427584239 114.317595315159 155.723912745439 180.45292004753 168.038324924967 115.247929487317 163.281111988789 -0.406447970475926 7.34783748260744 0.0857421235027087 0.21059142393345 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 7.75995193244494 4.74445781007938 8.88417311481052 8.61021255939807 14.0992268839371 5.54248135649745 5.39849957267845 10.6403257567784 -0.0107756812613915 3.5474602581245 1 1 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0 0 5.98177648079879 0.033180799495204 9.33489133980539 0.0725974879680238 6.70922551129676 8.59914239336476 -1.36058124446045 2.72630515886394 0.0947799716606724 0.227039391065779 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 35.1502365071726 31.8969541484903 30.8584895912461 17.3955721764274 13.2536396644877 19.9209793065561 21.411166665884 18.1683373540318 0.715096533500822 4.88668543737904 0.0303505848526016 0.0942838372833799 scaffold_1 157386 157461 + 0
scaffold_1_162014_162063_+ 7.95169016819962 8.03420279501791 8.14956435918423 1.38777878078145e-17 1.38777878078145e-17 7.4290730698792 5.30007717754637 7.75082721530443 0.236727725018011 3.13712240822697 0.789291757212848 0.931543574837556 scaffold_1 162014 162063 + 0
scaffold_1_163697_163750_+ 30.1131459973453 31.8035030288293 31.2346264120007 34.2806564667382 27.9733795148417 44.1285446335838 52.5249044185647 47.9252348484849 -0.632104622424509 5.49967151518773 0.0279789460934018 0.0882073089997245 scaffold_1 163697 163750 + 0
scaffold_1_168298_168301_+ 12.3212658859661 10.3614510371889 10.797953804051 5.76155386903713 0.0282378724989987 12.4183600477887 7.10498349250839 0.0852198657761982 0.754633950058783 3.44966255155145 0.117365885048342 0.267069677641847 scaffold_1 168298 168301 + 0
scaffold_1_193052_193068_+ 17.933521459863 16.058300376072 16.2017200771507 31.3462949436498 19.0428491501303 19.0674039814408 8.29803064858642 10.2311035880043 0.41626198695884 4.46938587750894 0.294167404109314 0.509093588722832 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 7.38574522991199 5.11901898636599 9.67180520577851 12.1591973717806 15.3841412919875 9.99499212849078 13.0495306478295 10.7479824645327 -0.600234635885539 3.82631581567003 0.195942195176633 0.384076876512734 scaffold_1 213623 213627 + 0
scaffold_1_216878_216897_+ 5.09818107352926 6.20216693507561 5.30814996795584 7.25093481722943 5.99263573838831 6.75253708185722 5.77304914787823 7.02208685225002 -0.2266868853814 3.2275747018207 0.764346317666884 0.917197566910427 scaffold_1 216878 216897 + 0
