consensus.cluster chr start end strand tpm
1 scaffold_1 36116 36124 + 5.43437869092859
2 scaffold_1 51155 51224 + 218.56504411317
3 scaffold_1 100766 100796 + 1110.14410556594
4 scaffold_1 120715 120736 + 65.3953448158924
5 scaffold_1 123356 123357 + 30.0190277073279
6 scaffold_1 157386 157461 + 191.789603963763
7 scaffold_1 162014 162063 + 45.486418370908
8 scaffold_1 163697 163750 + 298.042452933891
9 scaffold_1 168298 168301 + 60.495004368877
10 scaffold_1 193052 193068 + 138.380240880957
11 scaffold_1 213623 213627 + 82.580170500907
12 scaffold_1 216878 216897 + 49.2488705066188
13 scaffold_1 224681 224753 + 615.259406578148
14 scaffold_1 226515 226518 + 225.651923813431
15 scaffold_1 230668 230676 + 140.754637504114
16 scaffold_1 234773 234777 + 64.3186386500922
17 scaffold_1 240409 240414 + 11.4751611458488
18 scaffold_1 338755 338789 + 133.419387275685
19 scaffold_1 342988 343020 + 168.419885591929
20 scaffold_1 387210 387364 + 285.642168890541
21 scaffold_1 402522 402533 + 88.4912125428561
22 scaffold_1 406282 406290 + 398.274518038365
23 scaffold_1 409256 409263 + 118.646049801333
24 scaffold_1 415215 415257 + 121.695293490912
25 scaffold_1 424111 424137 + 44.343146484679
26 scaffold_1 442734 442760 + 253.579745947875
27 scaffold_1 517723 517732 + 676.726773171731
28 scaffold_1 532568 532577 + 326.418980019351
29 scaffold_1 560841 560913 + 32626.7663295063
30 scaffold_1 561752 561822 + 375.376128003864
31 scaffold_1 562554 562716 + 8063.6999038703
32 scaffold_1 562906 562947 + 102.677376823006
33 scaffold_1 563101 563167 + 2227.1279032205
34 scaffold_1 563319 563394 + 648.121044808342
35 scaffold_1 563543 563715 + 739.747965881662
36 scaffold_1 563871 564079 + 943.970958562562
37 scaffold_1 567480 567482 + 16.6876510494021
38 scaffold_1 599179 599238 + 2905.96313806553
39 scaffold_1 599470 599495 + 33.2423233485647
40 scaffold_1 599729 599732 + 132.789922564711
41 scaffold_1 601270 601305 + 242.188556869312
42 scaffold_1 638898 638899 + 5.61871285604793
43 scaffold_1 642134 642148 + 687.221182924778
44 scaffold_1 645397 645444 + 156.239001384162
45 scaffold_1 704266 704330 + 1077.41981404112
46 scaffold_1 704480 704529 + 33.1500389562309
47 scaffold_1 704683 704687 + 5.62211251814888
48 scaffold_1 901912 901974 + 131.15763813028
49 scaffold_1 919853 919867 + 397.109028374043
50 scaffold_1 932304 932340 + 89.6963070873946
51 scaffold_1 934122 934162 + 88.4488732307943
52 scaffold_1 957583 957584 + 41.4901433177144
53 scaffold_1 978321 978344 + 53.5830403887144
54 scaffold_1 986174 986322 + 2093.69207165744
55 scaffold_1 986839 986903 + 13.8219296163772
56 scaffold_1 989274 989324 + 353.689919662132
57 scaffold_1 995581 995764 + 3800.49492683606
58 scaffold_1 996848 996858 + 5.36352983603945
59 scaffold_1 998645 998649 + 68.7509957329867
60 scaffold_1 1000904 1001064 + 6847.73310415544
61 scaffold_1 1001249 1001290 + 919.948510168951
62 scaffold_1 1001450 1001454 + 18.1716672461239
63 scaffold_1 1002385 1002452 + 53.3476894037558
64 scaffold_1 1003187 1003209 + 5.05990126633399
65 scaffold_1 1003940 1003966 + 21.5569610586298
66 scaffold_1 1004706 1004728 + 284.746828801641
67 scaffold_1 1004968 1004987 + 5.6183581505026
68 scaffold_1 1006322 1006326 + 38.8231082328759
69 scaffold_1 1007278 1007367 + 116.705786022563
70 scaffold_1 1008363 1008547 + 2492.63760180231
71 scaffold_1 1111413 1111417 + 41.8024553094606
72 scaffold_1 1141366 1141376 + 5.25042508249226
73 scaffold_1 1142701 1142721 + 118.110220889216
74 scaffold_1 1180791 1180794 + 109.409613318881
75 scaffold_1 1253015 1253051 + 81.3799109114903
76 scaffold_1 1256964 1256977 + 5.15816262194564
77 scaffold_1 1269185 1269192 + 517.462345122508
78 scaffold_1 1269405 1269415 + 66.854302102759
79 scaffold_1 1327886 1327899 + 287.703248274926
80 scaffold_1 1359614 1359645 + 50.4972792177706
81 scaffold_1 1389417 1389645 + 576.207805758789
82 scaffold_1 1394059 1394082 + 369.781027110979
83 scaffold_1 1394632 1394660 + 29.9830938456125
84 scaffold_1 1403266 1403272 + 74.7445433585381
85 scaffold_1 1478716 1478781 + 529.621293246575
86 scaffold_1 1515529 1515540 + 592.289207864925
87 scaffold_1 1588593 1588638 + 572.050315115049
88 scaffold_1 1591711 1591715 + 135.856145028036
89 scaffold_1 1614087 1614110 + 19.3697070852159
90 scaffold_1 1623655 1623687 + 216.47142227306
91 scaffold_1 1629086 1629087 + 6.60983311823835
