promoter_ID	chr	start	end	strand	gene	GO_ID	KOG_JGI	KOG_ID	FlyBase_id_representative_homolog	interprot_representative_homolog
scaffold_6_113932_113935_+	scaffold_6	113932	113935	+	JGI_V11_290507	GO:0046872	KOG4738	KOG4738	0	0
scaffold_83_295243_295263_+	scaffold_83	295243	295263	+	JGI_V11_201447	GO:0046872	KOG0509	KOG0509	FBgn0259824	Q9VUW9
scaffold_20_641881_641891_-	scaffold_20	641881	641891	-	JGI_V11_211094	"GO:0046080,GO:0016787"	KOG3370	KOG3370	FBgn0250837	Q8IPB1
scaffold_13_1166937_1166985_-	scaffold_13	1166937	1166985	-	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1167307_1167396_-	scaffold_13	1167307	1167396	-	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1167601_1167613_-	scaffold_13	1167601	1167613	-	JGI_V11_239294	GO:0042302	KOG3544	KOG3544	0	0
scaffold_13_1761082_1761089_-	scaffold_13	1761082	1761089	-	JGI_V11_100075	GO:0042302	KOG0260	KOG0260	0	0
scaffold_14_1303587_1303588_-	scaffold_14	1303587	1303588	-	JGI_V11_315550	GO:0042302	KOG0661	KOG0661	0	0
scaffold_18_315578_315598_+	scaffold_18	315578	315598	+	JGI_V11_302596	GO:0042302	KOG3544	KOG3544	FBgn0035508	Q9VZG4
scaffold_18_820703_820713_+	scaffold_18	820703	820713	+	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_820894_820905_+	scaffold_18	820894	820905	+	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_821070_821125_+	scaffold_18	821070	821125	+	JGI_V11_302548	GO:0042302	0	0	0	0
scaffold_18_452985_453012_-	scaffold_18	452985	453012	-	JGI_V11_241217	GO:0042302	KOG3544	KOG3544	FBgn0035508	Q9VZG4
scaffold_187_23406_23412_+	scaffold_187	23406	23412	+	JGI_V11_332291	GO:0042302	0	0	0	0
scaffold_187_55733_55743_+	scaffold_187	55733	55743	+	JGI_V11_332302	GO:0042302	0	0	FBgn0033731	A1Z8Z7
scaffold_187_57660_57668_+	scaffold_187	57660	57668	+	JGI_V11_229447	GO:0042302	0	0	0	0
scaffold_187_60873_60882_+	scaffold_187	60873	60882	+	JGI_V11_116508	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_96064_96103_+	scaffold_187	96064	96103	+	JGI_V11_18087	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_96288_96427_+	scaffold_187	96288	96427	+	JGI_V11_18087	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_85644_85653_-	scaffold_187	85644	85653	-	JGI_V11_302741	GO:0042302	0	0	0	0
scaffold_187_90073_90115_-	scaffold_187	90073	90115	-	JGI_V11_332314	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_2_1080565_1080573_-	scaffold_2	1080565	1080573	-	JGI_V11_94766	GO:0042302	0	0	0	0
scaffold_210_73787_73797_+	scaffold_210	73787	73797	+	JGI_V11_332865	GO:0042302	0	0	FBgn0036618	Q9VV45
scaffold_226_117245_117262_+	scaffold_226	117245	117262	+	JGI_V11_303639	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_286784_286900_+	scaffold_23	286784	286900	+	JGI_V11_303722	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_287014_287073_+	scaffold_23	287014	287073	+	JGI_V11_303722	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_319985_319987_+	scaffold_23	319985	319987	+	JGI_V11_318015	GO:0042302	0	0	0	0
scaffold_23_386565_386573_+	scaffold_23	386565	386573	+	JGI_V11_318026	GO:0042302	0	0	0	0
scaffold_3_6954_7681_-	scaffold_3	6954	7681	-	JGI_V11_220681	GO:0042302	0	0	0	0
scaffold_3_7834_7859_-	scaffold_3	7834	7859	-	JGI_V11_220681	GO:0042302	0	0	0	0
scaffold_3_10082_10283_-	scaffold_3	10082	10283	-	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_10508_10719_-	scaffold_3	10508	10719	-	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_10841_10949_-	scaffold_3	10841	10949	-	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_11176_11186_-	scaffold_3	11176	11186	-	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_32_1024076_1024083_+	scaffold_32	1024076	1024083	+	JGI_V11_305009	GO:0042302	0	0	FBgn0002440	P52302
scaffold_32_1024220_1024230_+	scaffold_32	1024220	1024230	+	JGI_V11_305009	GO:0042302	0	0	FBgn0002440	P52302
scaffold_37_501279_501316_+	scaffold_37	501279	501316	+	JGI_V11_105613	GO:0042302	0	0	0	0
scaffold_37_793227_793258_+	scaffold_37	793227	793258	+	JGI_V11_246873	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_4_2321434_2321470_-	scaffold_4	2321434	2321470	-	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2321718_2321736_-	scaffold_4	2321718	2321736	-	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2321874_2321914_-	scaffold_4	2321874	2321914	-	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2322572_2322579_-	scaffold_4	2322572	2322579	-	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_40_847243_847392_-	scaffold_40	847243	847392	-	JGI_V11_106124	GO:0042302	0	0	0	0
scaffold_40_847609_847643_-	scaffold_40	847609	847643	-	JGI_V11_106124	GO:0042302	0	0	0	0
scaffold_5_1013489_1013511_-	scaffold_5	1013489	1013511	-	JGI_V11_306592	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_5_1014981_1014986_-	scaffold_5	1014981	1014986	-	JGI_V11_306592	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_65_632184_632190_-	scaffold_65	632184	632190	-	JGI_V11_324898	GO:0042302	0	0	FBgn0033867	Q7JZ94
scaffold_76_23620_23637_+	scaffold_76	23620	23637	+	JGI_V11_326065	GO:0042302	0	0	0	0
scaffold_76_23962_24023_+	scaffold_76	23962	24023	+	JGI_V11_326065	GO:0042302	0	0	0	0
scaffold_98_170973_170982_-	scaffold_98	170973	170982	-	JGI_V11_61224	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_5_712647_712667_-.1	scaffold_5	712647	712667	-	JGI_V11_311915	GO:0031177	KOG0166	KOG0166	FBgn0031609	Q9VR04
scaffold_8_1365199_1365204_+	scaffold_8	1365199	1365204	+	JGI_V11_308484	"GO:0030674,GO:0051015"	0	0	FBgn0003447	Q24524
scaffold_155_256661_256670_+	scaffold_155	256661	256670	+	JGI_V11_203681	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_155_256971_256972_+	scaffold_155	256971	256972	+	JGI_V11_203681	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_155_267643_267644_+	scaffold_155	267643	267644	+	JGI_V11_302006	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_245_8880_8890_+	scaffold_245	8880	8890	+	JGI_V11_65736	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_245_11155_11161_-	scaffold_245	11155	11161	-	JGI_V11_117590	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_52_346940_346973_+	scaffold_52	346940	346973	+	JGI_V11_107750	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_58_290842_290886_-	scaffold_58	290842	290886	-	JGI_V11_306978	GO:0019028	0	0	FBgn0261803	NULL
scaffold_182_203797_203910_-	scaffold_182	203797	203910	-	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_182_204092_204123_-	scaffold_182	204092	204123	-	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_182_204431_204473_-	scaffold_182	204431	204473	-	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_43_151697_151766_-	scaffold_43	151697	151766	-	JGI_V11_305948	GO:0016998	KOG2850	KOG2850	FBgn0033199	Q7K4J7
scaffold_110_90993_91012_+	scaffold_110	90993	91012	+	JGI_V11_300846	GO:0016787	KOG3770	KOG3770	FBgn0044328	Q8IQD3
scaffold_13_638270_638373_-	scaffold_13	638270	638373	-	JGI_V11_209708	GO:0016787	KOG0372	KOG0372	FBgn0023177	O76932
scaffold_58_484622_484669_+	scaffold_58	484622	484669	+	JGI_V11_306991	GO:0016787	KOG1378	KOG1378	FBgn0030245	Q9VZ56
scaffold_46_49996_50046_+	scaffold_46	49996	50046	+	JGI_V11_55076	"GO:0016773,GO:0003777,GO:0005524,GO:0005875,GO:0007018"	KOG0243	KOG0243	FBgn0004378	P46863
scaffold_46_53634_53639_+	scaffold_46	53634	53639	+	JGI_V11_55076	"GO:0016773,GO:0003777,GO:0005524,GO:0005875,GO:0007018"	KOG0243	KOG0243	FBgn0004378	P46863
scaffold_43_755504_755517_+	scaffold_43	755504	755517	+	JGI_V11_306029	"GO:0016763,GO:0004731,GO:0006139"	KOG3984	KOG3984	FBgn0035348	Q7KV91
scaffold_13_1489606_1489645_-	scaffold_13	1489606	1489645	-	JGI_V11_315212	"GO:0016706,GO:0019538"	KOG3844	KOG3844	0	0
scaffold_9_1625627_1625630_+	scaffold_9	1625627	1625630	+	JGI_V11_309105	"GO:0016706,GO:0019538"	KOG1591	KOG1591	FBgn0039776	Q9VA69
scaffold_9_1645810_1645825_-	scaffold_9	1645810	1645825	-	JGI_V11_45616	"GO:0016706,GO:0019538"	KOG1591	KOG1591	FBgn0039776	Q9VA69
scaffold_17_888670_888701_+	scaffold_17	888670	888701	+	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_17_890826_890853_+	scaffold_17	890826	890853	+	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_17_892998_893065_+	scaffold_17	892998	893065	+	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_3_183864_183961_-	scaffold_3	183864	183961	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184095_184248_-	scaffold_3	184095	184248	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184432_184641_-	scaffold_3	184432	184641	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184804_184951_-	scaffold_3	184804	184951	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185074_185199_-	scaffold_3	185074	185199	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185335_185454_-	scaffold_3	185335	185454	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185642_185689_-	scaffold_3	185642	185689	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_186192_186226_-	scaffold_3	186192	186226	-	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_2_29114_29136_+	scaffold_2	29114	29136	+	JGI_V11_310076	GO:0016021	KOG2399	KOG2399	FBgn0033323	Q8SZV0
scaffold_25_133711_133715_-	scaffold_25	133711	133715	-	JGI_V11_32841	"GO:0016020,GO:0030001,GO:0046873"	KOG1558	KOG1558	FBgn0033096	Q7JZR2
scaffold_83_108409_108416_+	scaffold_83	108409	108416	+	JGI_V11_308636	"GO:0016020,GO:0030001,GO:0046873"	KOG1558	KOG1558	FBgn0033096	Q7JZR2
scaffold_193_29687_29728_-	scaffold_193	29687	29728	-	JGI_V11_263601	"GO:0016020,GO:0005509"	KOG1215	KOG1215	FBgn0004649	P98163
scaffold_21_1131139_1131306_-	scaffold_21	1131139	1131306	-	JGI_V11_303430	"GO:0016020,GO:0005489,GO:0006118"	KOG2592	KOG2592	FBgn0028399	Q9U6P4
scaffold_11_216663_216676_+	scaffold_11	216663	216676	+	JGI_V11_314322	"GO:0016020,GO:0003677,GO:0005634,GO:0005509,GO:0007160"	KOG1214	KOG1214	FBgn0026403	A1Z876
scaffold_1_2752479_2752534_+	scaffold_1	2752479	2752534	+	JGI_V11_205349	GO:0016020	KOG4788	KOG4788	0	0
scaffold_11_257167_257193_+	scaffold_11	257167	257193	+	JGI_V11_194044	GO:0016020	KOG0809	KOG0809	FBgn0031106	Q86P91
scaffold_13_1157990_1158012_-	scaffold_13	1157990	1158012	-	JGI_V11_209797	GO:0016020	KOG3839	KOG3839	FBgn0039160	Q9VCC2
scaffold_211_153473_153563_+	scaffold_211	153473	153563	+	JGI_V11_303532	GO:0016020	KOG4818	KOG4818	FBgn0032949	Q8SZP0
scaffold_211_153911_154057_+	scaffold_211	153911	154057	+	JGI_V11_303532	GO:0016020	KOG4818	KOG4818	FBgn0032949	Q8SZP0
scaffold_3_2665434_2665541_-	scaffold_3	2665434	2665541	-	JGI_V11_230263	GO:0016020	0	0	FBgn0030309	Q9VYX8
scaffold_90_183940_183969_+	scaffold_90	183940	183969	+	JGI_V11_309163	GO:0016020	KOG4016	KOG4016	FBgn0033876	Q7JYV2
scaffold_11_1049486_1049533_+	scaffold_11	1049486	1049533	+	JGI_V11_230573	"GO:0015986,GO:0016469,GO:0046933,GO:0046961"	KOG4634	KOG4634	FBgn0016119	Q24407
scaffold_24_1139171_1139237_+	scaffold_24	1139171	1139237	+	JGI_V11_303877	"GO:0015986,GO:0016469,GO:0046933,GO:0046961"	KOG1662	KOG1662	FBgn0016691	Q24439
scaffold_67_599014_599043_-	scaffold_67	599014	599043	-	JGI_V11_231350	"GO:0015986,GO:0016469,GO:0046933,GO:0046961"	KOG3976	KOG3976	FBgn0019644	Q94516
scaffold_58_467094_467113_-	scaffold_58	467094	467113	-	JGI_V11_226547	"GO:0015986,GO:0016020,GO:0016469,GO:0046933,GO:0046961"	KOG1531	KOG1531	FBgn0020235	O01666
scaffold_39_458441_458443_+	scaffold_39	458441	458443	+	JGI_V11_105878	"GO:0015520,GO:0015904,GO:0016021"	KOG2816	KOG2816	FBgn0260388	Q0E8E1
scaffold_61_464996_465001_+	scaffold_61	464996	465001	+	JGI_V11_226732	"GO:0015204,GO:0015840,GO:0016021"	0	0	0	0
scaffold_87_477248_477324_+	scaffold_87	477248	477324	+	JGI_V11_308832	"GO:0009306,GO:0015450,GO:0016020"	KOG1373	KOG1373	FBgn0086357	Q8STG9
scaffold_11_1057448_1057455_-	scaffold_11	1057448	1057455	-	JGI_V11_194139	"GO:0009168,GO:0019239,GO:0003876"	KOG1096	KOG1096	FBgn0052626	Q76NQ9
scaffold_11_1059091_1059097_-	scaffold_11	1059091	1059097	-	JGI_V11_194139	"GO:0009168,GO:0019239,GO:0003876"	KOG1096	KOG1096	FBgn0052626	Q76NQ9
scaffold_60_73363_73375_-	scaffold_60	73363	73375	-	JGI_V11_307202	"GO:0009168,GO:0019239"	KOG1097	KOG1097	FBgn0036752	Q9VVK5
scaffold_115_93909_94011_+	scaffold_115	93909	94011	+	JGI_V11_300939	"GO:0009116,GO:0016740,GO:0004422,GO:0005737,GO:0006166"	KOG3367	KOG3367	0	0
scaffold_10_385731_385767_+	scaffold_10	385731	385767	+	JGI_V11_300219	"GO:0009116,GO:0004749,GO:0009156,GO:0016978,GO:0009165"	KOG1448	KOG1448	FBgn0036030	Q8IGE6
scaffold_37_827509_827547_-	scaffold_37	827509	827547	-	JGI_V11_305287	"GO:0009116,GO:0004590,GO:0006207,GO:0016740,GO:0004588,GO:0006221"	KOG1377	KOG1377	FBgn0003257	Q01637
scaffold_60_166430_166624_-	scaffold_60	166430	166624	-	JGI_V11_199801	GO:0009103	KOG4179	KOG4179	FBgn0051915	Q8IPK4
scaffold_1_934122_934162_+	scaffold_1	934122	934162	+	JGI_V11_309592	GO:0009058	KOG1387	KOG1387	FBgn0037108	Q9VP06
scaffold_1_4048772_4048777_-	scaffold_1	4048772	4048777	-	JGI_V11_300180	"GO:0008757,GO:0008168"	KOG1270	KOG1270	FBgn0028841	Q767F0
scaffold_4_221425_221470_-	scaffold_4	221425	221470	-	JGI_V11_191515	"GO:0008757,GO:0008168"	KOG3115	KOG3115	FBgn0025629	O77263
scaffold_70_499598_499609_+	scaffold_70	499598	499609	+	JGI_V11_58148	"GO:0008757,GO:0008168"	KOG1269	KOG1269	0	0
scaffold_70_500018_500107_+	scaffold_70	500018	500107	+	JGI_V11_58148	"GO:0008757,GO:0008168"	KOG1269	KOG1269	0	0
scaffold_70_500747_500815_+	scaffold_70	500747	500815	+	JGI_V11_58148	"GO:0008757,GO:0008168"	KOG1269	KOG1269	0	0
scaffold_20_1191676_1191681_-.1	scaffold_20	1191676	1191681	-	JGI_V11_230833	"GO:0008757,GO:0004190,GO:0006508"	0	0	FBgn0038074	Q9VG42
scaffold_10_624035_624160_-	scaffold_10	624035	624160	-	JGI_V11_193775	GO:0008757	KOG1500	KOG1500	FBgn0037770	Q9VH48
scaffold_91_273603_273697_+	scaffold_91	273603	273697	+	JGI_V11_228087	GO:0008612	KOG2924	KOG2924	FBgn0035854	Q9VSF4
scaffold_8_829258_829289_+	scaffold_8	829258	829289	+	JGI_V11_97952	GO:0008440	KOG1621	KOG1621	FBgn0032147	Q95R55
scaffold_1_3900099_3900140_+	scaffold_1	3900099	3900140	+	JGI_V11_299967	GO:0008380	KOG0272	KOG0272	FBgn0036733	Q9VVI0
scaffold_2_3222960_3223009_+	scaffold_2	3222960	3223009	+	JGI_V11_190827	"GO:0008270,GO:0016787"	KOG3127	KOG3127	FBgn0036959	Q9VWA2
scaffold_48_739460_739510_-.1	scaffold_48	739460	739510	-	JGI_V11_306296	"GO:0008270,GO:0016787"	KOG1018	KOG1018	FBgn0038491	Q9VEM0
scaffold_13_1480357_1480416_+	scaffold_13	1480357	1480416	+	JGI_V11_230642	"GO:0008270,GO:0016491"	KOG0022	KOG0022	0	0
scaffold_16_812147_812206_+	scaffold_16	812147	812206	+	JGI_V11_230717	"GO:0008270,GO:0016491"	KOG0022	KOG0022	FBgn0011768	P46415
scaffold_25_682977_683092_-	scaffold_25	682977	683092	-	JGI_V11_224701	"GO:0008270,GO:0005215,GO:0006810,GO:0016020"	KOG1729	KOG1729	FBgn0031251	Q8MSP0
scaffold_17_892998_893065_+.1	scaffold_17	892998	893065	+	JGI_V11_316434	"GO:0008270,GO:0004721,GO:0006470,GO:0004725,GO:0004437,GO:0046839"	KOG1089	KOG1089	FBgn0028497	Q7KK51
scaffold_2_249599_249677_+	scaffold_2	249599	249677	+	JGI_V11_190431	GO:0008270	KOG1704	KOG1704	0	0
scaffold_2_252250_252303_+	scaffold_2	252250	252303	+	JGI_V11_190431	GO:0008270	KOG1704	KOG1704	0	0
scaffold_2_256387_256391_+	scaffold_2	256387	256391	+	JGI_V11_190431	GO:0008270	KOG1704	KOG1704	0	0
scaffold_2_257651_257700_+	scaffold_2	257651	257700	+	JGI_V11_190431	GO:0008270	KOG1704	KOG1704	0	0
scaffold_39_606745_606785_+	scaffold_39	606745	606785	+	JGI_V11_231122	GO:0008270	KOG1700	KOG1700	0	0
scaffold_39_608182_608215_+	scaffold_39	608182	608215	+	JGI_V11_231122	GO:0008270	KOG1700	KOG1700	0	0
scaffold_39_609127_609157_+	scaffold_39	609127	609157	+	JGI_V11_231122	GO:0008270	KOG1700	KOG1700	0	0
scaffold_51_55752_55801_-	scaffold_51	55752	55801	-	JGI_V11_306649	GO:0008270	KOG1700	KOG1700	FBgn0068123	Q6XIG1
scaffold_51_56541_56563_-	scaffold_51	56541	56563	-	JGI_V11_306649	GO:0008270	KOG1700	KOG1700	FBgn0068123	Q6XIG1
