consensus.cluster chr start end strand tpm
1 scaffold_1 51155 51224 + 219.874692556954
2 scaffold_1 100766 100777 + 1083.54889206879
3 scaffold_1 120715 120736 + 65.3953448158924
4 scaffold_1 123356 123357 + 30.0190277073279
5 scaffold_1 157406 157461 + 155.421132390774
6 scaffold_1 163697 163739 + 260.585590764311
7 scaffold_1 168298 168301 + 65.184372789107
8 scaffold_1 173160 173165 + 6.96211324001792
9 scaffold_1 193064 193065 + 122.269458547713
10 scaffold_1 213623 213627 + 82.580170500907
11 scaffold_1 216878 216890 + 37.5633704693759
12 scaffold_1 224729 224735 + 596.427415207523
13 scaffold_1 226515 226518 + 225.651923813431
14 scaffold_1 230668 230673 + 128.029906105853
15 scaffold_1 234773 234776 + 56.7308306494996
16 scaffold_1 240409 240414 + 16.0806634868717
17 scaffold_1 338755 338789 + 110.617034057685
18 scaffold_1 342988 343020 + 155.595390584186
19 scaffold_1 387218 387361 + 227.843580035091
20 scaffold_1 402528 402533 + 73.9842859727341
21 scaffold_1 406284 406290 + 378.152827646263
22 scaffold_1 409256 409263 + 118.646049801333
23 scaffold_1 415223 415253 + 88.8592778530169
24 scaffold_1 424122 424132 + 21.892798184792
25 scaffold_1 442738 442758 + 212.157287758689
26 scaffold_1 517725 517731 + 669.497585640084
27 scaffold_1 518858 518860 + 7.3541912449332
28 scaffold_1 532568 532573 + 316.371165324017
29 scaffold_1 560841 560913 + 32600.8559133454
30 scaffold_1 561762 561816 + 358.489554198368
31 scaffold_1 562554 562716 + 7971.71828585993
32 scaffold_1 562922 562947 + 91.3189181547724
33 scaffold_1 563101 563167 + 2213.62901422172
34 scaffold_1 563321 563388 + 596.224401689293
35 scaffold_1 563561 563715 + 699.306516804464
36 scaffold_1 563890 564079 + 857.44998744684
37 scaffold_1 599188 599226 + 2881.49794404898
38 scaffold_1 599470 599495 + 38.4405984950104
39 scaffold_1 599729 599730 + 127.11785637292
40 scaffold_1 601270 601305 + 242.188556869312
41 scaffold_1 638898 638899 + 5.61871285604793
42 scaffold_1 642144 642148 + 671.940501536117
43 scaffold_1 645397 645444 + 135.720655264661
44 scaffold_1 704277 704327 + 1014.11996010715
45 scaffold_1 901920 901958 + 109.843315747408
46 scaffold_1 919853 919867 + 397.109028374043
47 scaffold_1 932311 932326 + 58.6997789600879
48 scaffold_1 934138 934162 + 74.9129180421952
49 scaffold_1 957583 957584 + 41.4901433177144
50 scaffold_1 978322 978331 + 50.9499988280551
51 scaffold_1 986179 986322 + 2022.82817182472
52 scaffold_1 986839 986848 + 17.7746085002126
53 scaffold_1 989290 989313 + 297.916802252231
54 scaffold_1 995583 995759 + 3766.44578300809
55 scaffold_1 998645 998649 + 68.7509957329867
56 scaffold_1 1000904 1001064 + 6726.72434119809
57 scaffold_1 1001249 1001290 + 925.708345812878
58 scaffold_1 1001450 1001454 + 25.4152643454233
59 scaffold_1 1002449 1002452 + 23.7422427156006
60 scaffold_1 1003940 1003966 + 24.6476994604054
61 scaffold_1 1004706 1004726 + 276.972776974071
62 scaffold_1 1006322 1006323 + 30.5308289250607
63 scaffold_1 1007281 1007303 + 76.4463902762348
64 scaffold_1 1008363 1008545 + 2431.99315567759
65 scaffold_1 1111413 1111417 + 41.8024553094606
66 scaffold_1 1142710 1142715 + 104.447603973258
67 scaffold_1 1180793 1180794 + 106.773996950038
68 scaffold_1 1253015 1253028 + 59.5932141273839
69 scaffold_1 1269185 1269192 + 511.212953702631
70 scaffold_1 1269414 1269415 + 62.4825575216997
71 scaffold_1 1327887 1327889 + 262.103421120831
72 scaffold_1 1359635 1359638 + 19.0780602412412
73 scaffold_1 1389417 1389617 + 492.627877233739
74 scaffold_1 1394059 1394080 + 358.292225532367
75 scaffold_1 1394657 1394660 + 16.3433147990723
76 scaffold_1 1403266 1403272 + 69.1407819205728
77 scaffold_1 1478744 1478781 + 505.671623977704
78 scaffold_1 1515529 1515538 + 586.775595304955
79 scaffold_1 1588593 1588638 + 555.653632987097
80 scaffold_1 1591712 1591715 + 130.585728860098
81 scaffold_1 1614087 1614098 + 11.9382845422172
82 scaffold_1 1623655 1623685 + 183.270671940368
83 scaffold_1 1629086 1629087 + 6.60983311823835
84 scaffold_1 1636865 1636866 + 6.60983311823835
85 scaffold_1 1640782 1640792 + 102.285461005969
86 scaffold_1 1647765 1647798 + 166.957565457081
87 scaffold_1 1651966 1651971 + 229.835920730683
88 scaffold_1 1657519 1657520 + 70.5369560267721
