mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_157386_157461_+ 38.3776733592051 35.0354005820702 33.9399631764019 16.5806615485132 12.7352314687053 18.4852033846704 20.6938479912641 16.7403053295248 0.70239593666433 4.71586237868816 5.51726685385545 0.000691732753434521 0.00704506201923059 -0.401011696616892 0.00704506201923059 0.0189492207901641 scaffold_1 157386 157461 + 1
scaffold_1_163697_163750_+ 32.9517027795346 34.8963506693171 34.3056381118345 32.6507235228661 26.906544025322 40.8954187411089 50.7568302287397 44.2655430102727 -0.624683157798898 5.41286473131798 -5.46477389360604 0.00073383743071592 0.0073046593909875 -0.52727392133168 0.0073046593909875 0.0172098860772792 scaffold_1 163697 163750 + 1
scaffold_1_338755_338789_+ 29.548789241668 40.9967490086946 35.4374072916404 0 0 8.60194125412637 8.80968389843615 11.2905770093471 1.61180396582627 3.12578473523576 7.60953416150532 0.000085705612193788 0.00268262336065909 2.03423849880222 0.00268262336065909 0.0236663507260078 scaffold_1 338755 338789 + 1
scaffold_1_387210_387364_+ 52.3066607602303 55.2677762809678 61.2400978772836 25.3667537101886 21.3702450041957 24.0106205579782 22.2600126400377 25.3025300662753 0.997607401801995 5.25473474055332 8.29779670191247 0.0000475089133966694 0.00195073897225115 2.44108018370602 0.00195073897225115 0.0171381814693783 scaffold_1 387210 387364 + 1
scaffold_1_409256_409263_+ 25.6390615606606 20.9206089001607 27.2213592759125 14.3192926119252 11.1848196133482 5.62658353476591 8.16922329185382 6.32051614134618 1.57702310661602 3.93326527222047 5.34897722897534 0.000837092568001774 0.00794418790304013 -0.13885158340847 0.00794418790304013 0.0225506001791999 scaffold_1 409256 409263 + 1
scaffold_1_517723_517732_+ 13.9915092472986 10.3325196347384 19.7516663897065 28.8404041826636 45.824360087351 179.7601971275 171.989993518009 200.174025543331 -3.87155167518473 5.77875794875134 -14.9054170771476 0.000000730078797131391 0.000309766349632873 6.72864222179835 0.000309766349632873 0.0239350872994327 scaffold_1 517723 517732 + 1
scaffold_1_532568_532577_+ 47.413566425561 50.9227680276648 57.6545967258515 59.1502078108011 44.5125315422812 25.718088187732 19.3796059169949 22.5611520510657 0.970423287148902 5.46016740315373 5.78614545671594 0.000513985508806328 0.00598161649848553 -0.111701655244643 0.00598161649848553 0.0199660841785063 scaffold_1 532568 532577 + 1
scaffold_1_901912_901974_+ 21.9179201729863 24.1676410158805 22.5287405444973 14.186173813772 13.5076169992877 10.8332721135501 13.5504300620085 10.9332751191813 0.707401590819234 4.21999508028996 5.64905424183317 0.000597321409924116 0.00649842298852272 -0.0832045486896726 0.00649842298852272 0.0202240071392357 scaffold_1 901912 901974 + 1
scaffold_1_1389417_1389645_+ 112.134076712173 121.525284217601 114.042759560902 30.7516616356435 32.3267527011835 48.647578003148 64.212225584645 55.5484647349154 0.824268816800936 6.20528176852068 7.46094239782195 0.0000978945495994844 0.0029062979550191 1.63619126001329 0.0029062979550191 0.0150689453068392 scaffold_1 1389417 1389645 + 1
scaffold_1_1515529_1515540_+ 46.3914575109706 48.2026706817575 45.5276620809539 27.2472822901057 24.1372958079932 135.674332618068 123.655866438107 138.630156725465 -1.71797434731039 6.10921399150608 -16.6676348217807 0.000000321626100633972 0.000192654034279749 7.55609787827353 0.000192654034279749 0.01385583171335 scaffold_1 1515529 1515540 + 1
