#1_usercol	2_usercol	3_usercol	4_usercol	5_usercol	6_usercol	7_usercol	8_usercol	9_usercol	10_pct_at	11_pct_gc	12_num_A	13_num_C	14_num_G	15_num_T	16_num_N	17_num_oth	18_seq_len
scaffold_1	51155	51224	.	0	+	51155	51224	0	0.449275	0.550725	17	22	16	14	0	0	69
scaffold_1	100766	100777	.	0	+	100766	100777	0	0.363636	0.636364	3	2	5	1	0	0	11
scaffold_1	120715	120736	.	0	+	120715	120736	0	0.523810	0.476190	6	6	4	5	0	0	21
scaffold_1	123356	123357	.	0	+	123356	123357	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	157406	157461	.	0	+	157406	157461	0	0.581818	0.418182	9	11	12	23	0	0	55
scaffold_1	163697	163739	.	0	+	163697	163739	0	0.523810	0.476190	9	9	11	13	0	0	42
scaffold_1	168298	168301	.	0	+	168298	168301	0	0.666667	0.333333	2	0	1	0	0	0	3
scaffold_1	173160	173165	.	0	+	173160	173165	0	0.400000	0.600000	2	1	2	0	0	0	5
scaffold_1	193064	193065	.	0	+	193064	193065	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	213623	213627	.	0	+	213623	213627	0	0.500000	0.500000	1	1	1	1	0	0	4
scaffold_1	216878	216890	.	0	+	216878	216890	0	0.416667	0.583333	2	3	4	3	0	0	12
scaffold_1	224729	224735	.	0	+	224729	224735	0	0.333333	0.666667	2	3	1	0	0	0	6
scaffold_1	226515	226518	.	0	+	226515	226518	0	0.333333	0.666667	1	2	0	0	0	0	3
scaffold_1	230668	230673	.	0	+	230668	230673	0	0.400000	0.600000	2	1	2	0	0	0	5
scaffold_1	234773	234776	.	0	+	234773	234776	0	0.666667	0.333333	2	1	0	0	0	0	3
scaffold_1	240409	240414	.	0	+	240409	240414	0	0.400000	0.600000	0	1	2	2	0	0	5
scaffold_1	338755	338789	.	0	+	338755	338789	0	0.558824	0.441176	7	7	8	12	0	0	34
scaffold_1	342988	343020	.	0	+	342988	343020	0	0.687500	0.312500	8	3	7	14	0	0	32
scaffold_1	387218	387361	.	0	+	387218	387361	0	0.629371	0.370629	42	33	20	48	0	0	143
scaffold_1	402528	402533	.	0	+	402528	402533	0	0.600000	0.400000	1	1	1	2	0	0	5
scaffold_1	406284	406290	.	0	+	406284	406290	0	0.500000	0.500000	1	1	2	2	0	0	6
scaffold_1	409256	409263	.	0	+	409256	409263	0	0.571429	0.428571	2	1	2	2	0	0	7
scaffold_1	415223	415253	.	0	+	415223	415253	0	0.500000	0.500000	9	7	8	6	0	0	30
scaffold_1	424122	424132	.	0	+	424122	424132	0	0.600000	0.400000	1	2	2	5	0	0	10
scaffold_1	442738	442758	.	0	+	442738	442758	0	0.650000	0.350000	7	4	3	6	0	0	20
scaffold_1	517725	517731	.	0	+	517725	517731	0	0.500000	0.500000	1	2	1	2	0	0	6
scaffold_1	518858	518860	.	0	+	518858	518860	0	0.500000	0.500000	1	0	1	0	0	0	2
scaffold_1	532568	532573	.	0	+	532568	532573	0	0.400000	0.600000	2	2	1	0	0	0	5
scaffold_1	560841	560913	.	0	+	560841	560913	0	0.458333	0.541667	19	20	19	14	0	0	72
scaffold_1	561762	561816	.	0	+	561762	561816	0	0.500000	0.500000	12	16	11	15	0	0	54
scaffold_1	562554	562716	.	0	+	562554	562716	0	0.462963	0.537037	43	44	43	32	0	0	162
scaffold_1	562922	562947	.	0	+	562922	562947	0	0.360000	0.640000	4	10	6	5	0	0	25
scaffold_1	563101	563167	.	0	+	563101	563167	0	0.439394	0.560606	9	21	16	20	0	0	66
scaffold_1	563321	563388	.	0	+	563321	563388	0	0.552239	0.447761	18	11	19	19	0	0	67
scaffold_1	563561	563715	.	0	+	563561	563715	0	0.428571	0.571429	31	51	37	35	0	0	154
scaffold_1	563890	564079	.	0	+	563890	564079	0	0.529101	0.470899	31	59	30	69	0	0	189
scaffold_1	599188	599226	.	0	+	599188	599226	0	0.578947	0.421053	12	9	7	10	0	0	38
scaffold_1	599470	599495	.	0	+	599470	599495	0	0.440000	0.560000	4	4	10	7	0	0	25
scaffold_1	599729	599730	.	0	+	599729	599730	0	0.000000	1.000000	0	0	1	0	0	0	1
