	gene	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	FDR
scaffold_163_128481_128482_-	JGI_V11_299520	cyclinE	3.889421094	0.727721681	5.715494777	0.000555202	0.006226451	-0.947937858	0.006226451
scaffold_17_682512_682553_-	JGI_V11_299714	rad51	0.421444554	3.465832259	1.774459297	0.116221976	0.225109885	-4.971685889	0.225109885
scaffold_77_79138_79154_-	JGI_V11_299469	cdk2	1.042088667	3.229087699	7.85751792	6.89609E-05	0.002426156	2.144708277	0.002426156
scaffold_79_381752_381806_+	JGI_V11_299546	cdk1/cdc2	0.057381072	5.86539738	0.439540062	0.672601959	0.775224194	-7.203213453	0.775224194
scaffold_100_432647_432719_-	JGI_V11_228408	cyclinB-B	2.104835172	1.974061472	2.071626314	0.07419741	0.164143434	-4.128828964	0.164143434
scaffold_12_754858_754872_+	JGI_V11_222925	cyclinB-D	1.02428946	6.72573962	9.516575309	1.83406E-05	0.001383546	3.442292379	0.001383546
scaffold_88_276410_276559_-	JGI_V11_216737	cyclinA	1.020900149	3.723640116	5.284061269	0.000901923	0.008229643	-0.709201425	0.008229643
scaffold_17_649232_649239_-	JGI_V11_210441	cyclinB3	4.154762307	0.828665958	6.650152379	0.000210193	0.00417231	-0.490125329	0.00417231
scaffold_1_409256_409263_+	JGI_V11_299604	cyclinD-A	1.577023107	3.933265272	5.348977229	0.000837093	0.007944188	-0.138851583	0.007944188
scaffold_10_928060_928062_+	JGI_V11_230543	cdk10	-0.213386336	5.407619903	-1.111794725	0.300436869	0.438429132	-6.653284884	0.438429132
scaffold_12_1037164_1037224_+	JGI_V11_301125	polo-B	1.188575332	5.696182545	12.024007	3.47357E-06	0.000648141	5.174431119	0.000648141
scaffold_9_1434538_1434559_+	JGI_V11_309099	polo-A	0.791494633	3.148199635	2.86964808	0.022188254	0.071621897	-3.609825284	0.071621897
scaffold_4_611628_611657_-	JGI_V11_311335	pms1	-0.064421007	4.765035593	-0.3603967	0.728442864	0.821545429	-7.147942183	0.821545429
scaffold_9_486816_486818_-	JGI_V11_237171	polo-C	3.838383588	0.708173746	4.836094924	0.001533392	0.011802369	-1.462728851	0.011802369
scaffold_120_151613_151617_+	JGI_V11_301153	mcm4	2.247176776	2.010299909	2.773592024	0.025609039	0.078784544	-3.191410361	0.078784544
scaffold_83_138855_138856_+	JGI_V11_308681	aub-C	3.91213866	0.737772216	6.360643351	0.000280865	0.004705898	-0.640778515	0.004705898
scaffold_61_470695_470696_-	JGI_V11_307300	mcm6	0.399625697	3.054272227	1.729303643	0.124333275	0.236042091	-5.317740602	0.236042091
scaffold_16_328249_328251_-	JGI_V11_240344	aub-D	4.276466799	1.897777832	6.001588401	0.000407834	0.005351766	-0.766643865	0.005351766
scaffold_16_323272_323274_-	JGI_V11_100816	aub-E	-0.184401932	0.540457851	-0.137191256	0.89447409	0.939691494	-5.149687878	0.939691494
scaffold_25_541547_541553_-	JGI_V11_304009	smc1A	0.085955918	3.209712158	0.279141974	0.787643313	0.870193323	-6.275456012	0.870193323
scaffold_25_47166_47192_+	JGI_V11_382	tim-A	0.192119587	2.229774558	0.794523553	0.451186351	0.582869855	-5.976658401	0.582869855
scaffold_47_649347_649356_-	JGI_V11_226104	smc5	0.397122528	6.517107713	3.940985689	0.00483178	0.025154406	-2.571572163	0.025154406
scaffold_4_1008678_1008747_-	JGI_V11_311398	recq5	0.21602791	3.986143861	1.250665327	0.248493634	0.381948782	-6.18126612	0.381948782
scaffold_24_607300_607305_+	JGI_V11_318263	tim-C	-2.723137429	1.362496317	-1.763251922	0.118187188	0.227633845	-4.236214792	0.227633845
scaffold_8_578496_578505_-	JGI_V11_97929	recq1	-0.350785998	4.823452149	-2.109826179	0.070011515	0.158019195	-5.247400771	0.158019195
