consensus.cluster chr start end strand tpm
1 scaffold_10 85454 85462 + 56.6917193552412
2 scaffold_10 92832 92844 + 114.699864730895
3 scaffold_10 99509 99515 + 88.4238597023341
4 scaffold_10 149886 149934 + 172.645639746144
5 scaffold_10 165589 165620 + 186.522664826492
6 scaffold_10 179689 179739 + 966.5108461453
7 scaffold_10 204999 205011 + 405.748119898572
8 scaffold_10 221627 221685 + 202.140808057048
9 scaffold_10 258496 258508 + 119.226753024735
10 scaffold_10 272926 272994 + 335.189084239203
11 scaffold_10 273198 273218 + 51.0035117684914
12 scaffold_10 277010 277079 + 154.530595286717
13 scaffold_10 284550 284565 + 1023.72649380368
14 scaffold_10 285149 285165 + 17.2791460073372
15 scaffold_10 285709 286253 + 1031.63841384371
16 scaffold_10 302659 302660 + 17.1483689094616
17 scaffold_10 304737 304738 + 5.38367463329895
18 scaffold_10 315303 315306 + 6.83131968799997
19 scaffold_10 322399 322407 + 1094.39150429478
20 scaffold_10 342474 342479 + 20.0604638757841
21 scaffold_10 359791 359801 + 25.6902503017389
22 scaffold_10 366080 366084 + 17.2490478165422
23 scaffold_10 408065 408078 + 1633.7830719777
24 scaffold_10 408215 408218 + 5.2071607108957
25 scaffold_10 440097 440105 + 563.093860552898
26 scaffold_10 469889 469997 + 659.333747785073
27 scaffold_10 470324 470328 + 18.912783274148
28 scaffold_10 483587 483591 + 136.882424360454
29 scaffold_10 495358 495386 + 148.706276733786
30 scaffold_10 501818 502053 + 341.224078816406
31 scaffold_10 538498 538499 + 5.0924383128727
32 scaffold_10 623470 623480 + 418.46322753064
33 scaffold_10 634033 634086 + 244.670838850386
34 scaffold_10 645239 645245 + 166.351720232707
35 scaffold_10 645475 645492 + 7.20393712552724
36 scaffold_10 654361 654365 + 152.977330955667
37 scaffold_10 658983 659005 + 273.553571784272
38 scaffold_10 666683 666687 + 18.4123587971908
39 scaffold_10 666939 666942 + 10.0606708132363
40 scaffold_10 670466 670493 + 55.8814864904156
41 scaffold_10 689176 689191 + 256.650628537651
42 scaffold_10 691059 691086 + 139.481073964932
43 scaffold_10 712043 712057 + 9.93646500072723
44 scaffold_10 716699 716767 + 309.310763262032
45 scaffold_10 735737 735771 + 123.803590377962
46 scaffold_10 745605 745662 + 120.87011578632
47 scaffold_10 759169 759261 + 376.446656282242
48 scaffold_10 761788 761825 + 67.1386139086962
49 scaffold_10 764318 764347 + 69.4895644653117
50 scaffold_10 771892 771916 + 81.3227248948903
51 scaffold_10 784926 785022 + 1500.23692621567
52 scaffold_10 792943 792946 + 18.5017566338934
53 scaffold_10 805937 805945 + 53.605437936002
54 scaffold_10 809187 809254 + 244.264407268371
