chr	start	end	breadth	score	strand	nTSSs	SI
1	scaffold_1	51223	51224	2	3	+	1953	0.512398122850412
2	scaffold_1	100766	100777	12	3	+	10402	-0.360839870223338
3	scaffold_1	120715	120736	22	3	+	701	-0.281090886709239
4	scaffold_1	123356	123357	2	2	+	446	0.974607468970843
5	scaffold_1	157406	157434	29	3	+	1697	-2.27060420632879
6	scaffold_1	163714	163729	16	3	+	3167	-1.51797526063104
7	scaffold_1	168298	168301	4	3	+	772	-0.135151824658899
8	scaffold_1	193064	193065	2	3	+	1365	0.284100418538586
9	scaffold_1	213626	213627	2	3	+	845	0.13076713865662
10	scaffold_1	224729	224735	7	3	+	5899	0.134200144931997
11	scaffold_1	226515	226518	4	3	+	2191	0.622843348750049
12	scaffold_1	230668	230672	5	3	+	1320	0.0411242888026642
13	scaffold_1	234773	234774	2	2	+	437	1.08724966570065
14	scaffold_1	338755	338768	14	3	+	972	-1.06665010782723
15	scaffold_1	342998	343020	23	3	+	2171	-2.07202927467247
16	scaffold_1	387220	387244	25	3	+	2206	-1.97977972263949
17	scaffold_1	402528	402533	6	3	+	942	-1.0183046253491
18	scaffold_1	406285	406290	6	3	+	3797	0.152155872800072
19	scaffold_1	409256	409260	5	3	+	1118	0.197997395500499
20	scaffold_1	415223	415239	17	3	+	1300	-2.2426089173383
21	scaffold_1	442738	442758	21	3	+	2597	-1.61761042439174
22	scaffold_1	517726	517729	4	3	+	5920	0.972981077543488
23	scaffold_1	532568	532573	6	3	+	3104	0.0516564310257752
24	scaffold_1	560859	560868	10	3	+	302948	1.47228360296005
25	scaffold_1	561778	561779	2	3	+	3275	1.02879219755816
26	scaffold_1	561815	561816	2	1	+	3696	0.373270389740292
27	scaffold_1	562554	562716	163	3	+	80144	-2.68535689040336
28	scaffold_1	562943	562944	2	2	+	1002	-0.841867817627494
29	scaffold_1	563102	563152	51	3	+	21151	-1.46639270928384
30	scaffold_1	563321	563329	9	3	+	2458	0.146522384294711
31	scaffold_1	563351	563354	4	3	+	5296	-1.02312135010847
32	scaffold_1	563375	563388	14	3	+	4033	-1.52182543320016
33	scaffold_1	563626	563636	11	3	+	1278	-1.88633421814737
34	scaffold_1	563711	563714	4	3	+	5731	0.0771819975379611
35	scaffold_1	563899	563985	87	3	+	8139	-2.8406015097825
36	scaffold_1	564025	564037	13	3	+	1473	-2.65954988959227
37	scaffold_1	564078	564079	2	2	+	848	-0.996447614142208
38	scaffold_1	599189	599223	35	3	+	27635	-0.782720235716148
39	scaffold_1	599729	599730	2	3	+	1200	1.49554392360154
40	scaffold_1	601298	601299	2	3	+	2625	0.83943254089988
41	scaffold_1	642144	642148	5	3	+	6778	0.342004301052893
42	scaffold_1	645397	645415	19	3	+	1286	-1.41743777089531
43	scaffold_1	704280	704327	48	3	+	10717	-2.33633768565318
44	scaffold_1	901920	901936	17	3	+	1155	-1.60891243249674
45	scaffold_1	919853	919856	4	3	+	3701	0.535664004887245
46	scaffold_1	934151	934162	12	3	+	1644	-2.34710166628142
47	scaffold_1	957583	957584	2	2	+	537	0.933631053896241
48	scaffold_1	978322	978331	10	3	+	1058	-2.2750360516993
49	scaffold_1	986180	986227	48	3	+	11626	-0.690833783688387
50	scaffold_1	986254	986322	69	3	+	26088	-2.05078224170329
51	scaffold_1	989293	989313	21	3	+	3670	-1.97311523867478
52	scaffold_1	995673	995696	24	3	+	8491	-0.801604041083504
53	scaffold_1	995717	995752	36	3	+	35160	-1.33564327519516
54	scaffold_1	998648	998649	2	3	+	677	0.25749701997342
55	scaffold_1	1000904	1000913	10	3	+	1699	-1.22648761688085
56	scaffold_1	1000958	1001008	51	3	+	61284	-1.25414289068859
57	scaffold_1	1001058	1001059	2	3	+	2911	-0.548577232837343
58	scaffold_1	1001287	1001290	4	3	+	9129	0.502535666632131
59	scaffold_1	1004706	1004726	21	3	+	2730	0.0518386187462403
60	scaffold_1	1006322	1006323	2	2	+	426	1.45928535937914
61	scaffold_1	1007284	1007285	2	1	+	622	0.195062380400158
62	scaffold_1	1008363	1008444	82	3	+	18219	-2.50595586526626
63	scaffold_1	1008487	1008490	4	3	+	4814	-1.03582932074123
64	scaffold_1	1008510	1008534	25	3	+	5920	-2.71267745706685
65	scaffold_1	1111416	1111417	2	2	+	518	0.40992784004983
66	scaffold_1	1142710	1142715	6	3	+	1071	-0.328341746822124
67	scaffold_1	1180793	1180794	2	3	+	1102	1.25037403875952
68	scaffold_1	1269185	1269192	8	3	+	4952	0.224083574970646
69	scaffold_1	1269414	1269415	2	3	+	769	1.07117005824117
70	scaffold_1	1327888	1327889	2	3	+	2736	0.849834267314141
71	scaffold_1	1389417	1389444	28	3	+	4425	-1.5897946046645
72	scaffold_1	1389506	1389511	6	3	+	778	-1.55431672215479
73	scaffold_1	1394059	1394077	19	3	+	3580	-1.05095781008922
74	scaffold_1	1403268	1403272	5	3	+	735	-0.630201741439803
75	scaffold_1	1478745	1478778	34	3	+	5142	-0.858054497317752
76	scaffold_1	1515531	1515537	7	3	+	5344	-0.221554521275049
77	scaffold_1	1588602	1588636	35	3	+	5893	-1.04088151784711
78	scaffold_1	1591712	1591715	4	3	+	1308	0.645695389303608
79	scaffold_1	1623666	1623685	20	3	+	2240	-1.93998208101161
80	scaffold_1	1629086	1629087	2	1	+	141	0.837364082946398
81	scaffold_1	1636865	1636866	2	1	+	145	0.442071944232645
82	scaffold_1	1640785	1640788	4	3	+	946	-0.689129472865968
83	scaffold_1	1647765	1647796	32	3	+	2073	-1.71600036910409
84	scaffold_1	1651969	1651971	3	3	+	2133	0.968910293681087
85	scaffold_1	1657519	1657520	2	2	+	856	0.50495638990217
86	scaffold_1	1659771	1659772	2	3	+	611	1.19193249537416
87	scaffold_1	1659982	1659983	2	1	+	532	-0.930497391575028
88	scaffold_1	1660003	1660004	2	1	+	1071	-1.46839796305483
89	scaffold_1	1662833	1662838	6	3	+	3172	0.0477634975525238
90	scaffold_1	1668802	1668803	2	1	+	777	0.183732281791878
91	scaffold_1	1674376	1674380	5	3	+	4014	0.373047789792615
92	scaffold_1	1685684	1685685	2	1	+	301	-0.46200041194027
93	scaffold_1	1686579	1686580	2	2	+	489	1.16163321677058
94	scaffold_1	1688816	1688817	2	3	+	639	0.551867631753584
95	scaffold_1	1692967	1692984	18	3	+	1834	-1.75066880067298
96	scaffold_1	1732054	1732065	12	3	+	1172	-1.39115984410524
97	scaffold_1	1785032	1785033	2	3	+	705	-0.380401200839654
98	scaffold_1	1788842	1788847	6	3	+	1287	-0.444663859851875
99	scaffold_1	1836913	1836922	10	3	+	1132	-1.31620695456944
100	scaffold_1	1841825	1841858	34	3	+	6309	-2.20642173864122
101	scaffold_1	1859006	1859015	10	3	+	1718	-0.901527588210488
102	scaffold_1	1868891	1868933	43	3	+	4840	-2.812489489199
103	scaffold_1	1913528	1913529	2	1	+	497	-0.00473226820479278
104	scaffold_1	1932683	1932727	45	3	+	10209	-2.15689044955769
105	scaffold_1	1962893	1962898	6	3	+	1080	-1.2408645028883
106	scaffold_1	1962918	1962936	19	3	+	5035	-2.08776921314787
107	scaffold_1	1974468	1974469	2	1	+	303	0.641608376984746
108	scaffold_1	1985555	1985613	59	3	+	196685	-0.808296691680633
109	scaffold_1	1986022	1986041	20	3	+	3217	-1.7341147452725
110	scaffold_1	1986076	1986078	3	3	+	3593	-1.07265108315046
111	scaffold_1	1986319	1986321	3	3	+	1002	0.172294871433236
112	scaffold_1	1986618	1986622	5	3	+	4380	0.958141105099037
113	scaffold_1	1986939	1986941	3	3	+	1218	-0.727557759605235
114	scaffold_1	1987269	1987270	2	2	+	653	-0.594992977156296
115	scaffold_1	1987435	1987436	2	3	+	1059	-0.510413189373964
116	scaffold_1	1987510	1987511	2	3	+	607	-0.253796408759726
117	scaffold_1	1988851	1988852	2	1	+	661	-1.37714584358363
118	scaffold_1	2020157	2020158	2	3	+	1106	-0.0268698603838198
119	scaffold_1	2024522	2024524	3	3	+	2377	0.748973739593564
120	scaffold_1	2034985	2035001	17	3	+	3261	-0.932037792932754
121	scaffold_1	2035025	2035027	3	3	+	4236	-1.82862559615904
122	scaffold_1	2045747	2045764	18	3	+	4343	-2.13299775043011
123	scaffold_1	2083512	2083521	10	3	+	1942	-2.56788705286765
124	scaffold_1	2087926	2087937	12	3	+	1710	-1.15843466665568
125	scaffold_1	2087967	2087972	6	3	+	2658	-2.1656908225982
126	scaffold_1	2092283	2092292	10	3	+	2378	-2.70911995001008
127	scaffold_1	2096700	2096701	2	3	+	1013	-1.04190720276919
128	scaffold_1	2096735	2096746	12	3	+	1556	-1.36252237639537
129	scaffold_1	2180797	2180801	5	3	+	2831	0.271101238030494
130	scaffold_1	2180987	2180989	3	3	+	795	-0.173622292014742
131	scaffold_1	2200277	2200278	2	1	+	442	0.833098482278152
132	scaffold_1	2203887	2203888	2	1	+	505	-0.138119320741682
133	scaffold_1	2203910	2203953	44	3	+	10626	-2.37561476322843
134	scaffold_1	2240871	2240877	7	3	+	829	0.101428984225928
135	scaffold_1	2240905	2240911	7	3	+	4697	-1.40183702015402
136	scaffold_1	2272313	2272314	2	2	+	418	0.855541192127344
137	scaffold_1	2278351	2278352	2	3	+	822	-0.998370480602961
138	scaffold_1	2286542	2286573	32	3	+	5364	-2.1463442240071
139	scaffold_1	2298519	2298523	5	3	+	2412	1.10200157100568
140	scaffold_1	2306933	2306934	2	1	+	321	0.633537636432442
141	scaffold_1	2312445	2312458	14	3	+	2596	-1.21291587693323
142	scaffold_1	2332292	2332319	28	3	+	1498	-1.28677235544997
