chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
3 scaffold_1 120715 120736 + JGI_V11_189791 113163 121911 22 + 701 -1.51797526063104 scaffold_1_120715_120736_+
5 scaffold_1 157406 157434 + JGI_V11_219913 156959 160720 29 + 1697 0.622843348750049 scaffold_1_157406_157434_+
6 scaffold_1 163714 163729 + JGI_V11_299784 163177 166017 16 + 3167 -2.07202927467247 scaffold_1_163714_163729_+
7 scaffold_1 168298 168301 + JGI_V11_231974 167692 177401 4 + 772 -1.97977972263949 scaffold_1_168298_168301_+
10 scaffold_1 224729 224735 + JGI_V11_299786 224230 226271 7 + 5899 0.972981077543488 scaffold_1_224729_224735_+
11 scaffold_1 226515 226518 + JGI_V11_299787 226016 227843 4 + 2191 0.0516564310257752 scaffold_1_226515_226518_+
12 scaffold_1 230668 230672 + JGI_V11_231986 229967 233816 5 + 1320 1.02879219755816 scaffold_1_230668_230672_+
13 scaffold_1 234773 234774 + JGI_V11_299990 234273 236319 2 + 437 0.373270389740292 scaffold_1_234773_234774_+
14 scaffold_1 338755 338768 + JGI_V11_309510 335387 340650 14 + 972 -2.33633768565318 scaffold_1_338755_338768_+
15 scaffold_1 342998 343020 + JGI_V11_299792 342437 344823 23 + 2171 0.933631053896241 scaffold_1_342998_343020_+
16 scaffold_1 387220 387244 + JGI_V11_219940 386805 389957 25 + 2206 -1.97311523867478 scaffold_1_387220_387244_+
17 scaffold_1 402528 402533 + JGI_V11_219945 402020 404126 6 + 942 0.25749701997342 scaffold_1_402528_402533_+
19 scaffold_1 409256 409260 + JGI_V11_299604 408753 412996 5 + 1118 -1.25414289068859 scaffold_1_409256_409260_+
21 scaffold_1 442738 442758 + JGI_V11_219955 442229 443986 21 + 2597 -2.71267745706685 scaffold_1_442738_442758_+
22 scaffold_1 517726 517729 + JGI_V11_309533 517238 521781 4 + 5920 -0.858054497317752 scaffold_1_517726_517729_+
24 scaffold_1 560859 560868 + JGI_V11_300012 560360 565018 10 + 302948 -1.93998208101161 scaffold_1_560859_560868_+
25 scaffold_1 561778 561779 + JGI_V11_300012 560360 565018 2 + 3275 -1.93998208101161 scaffold_1_561778_561779_+
26 scaffold_1 561815 561816 + JGI_V11_300012 560360 565018 2 + 3696 -1.93998208101161 scaffold_1_561815_561816_+
27 scaffold_1 562554 562716 + JGI_V11_300012 560360 565018 163 + 80144 -1.93998208101161 scaffold_1_562554_562716_+
28 scaffold_1 562943 562944 + JGI_V11_300012 560360 565018 2 + 1002 -1.93998208101161 scaffold_1_562943_562944_+
29 scaffold_1 563102 563152 + JGI_V11_300012 560360 565018 51 + 21151 -1.93998208101161 scaffold_1_563102_563152_+
30 scaffold_1 563321 563329 + JGI_V11_300012 560360 565018 9 + 2458 -1.93998208101161 scaffold_1_563321_563329_+
31 scaffold_1 563351 563354 + JGI_V11_300012 560360 565018 4 + 5296 -1.93998208101161 scaffold_1_563351_563354_+
32 scaffold_1 563375 563388 + JGI_V11_300012 560360 565018 14 + 4033 -1.93998208101161 scaffold_1_563375_563388_+
33 scaffold_1 563626 563636 + JGI_V11_300012 560360 565018 11 + 1278 -1.93998208101161 scaffold_1_563626_563636_+
34 scaffold_1 563711 563714 + JGI_V11_300012 560360 565018 4 + 5731 -1.93998208101161 scaffold_1_563711_563714_+
