mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de gene
scaffold_1_409256_409263_+ 25.7538152138738 21.0362585115483 27.385044867161 14.254170297944 11.148994262285 5.60474216393383 8.15640867590563 6.30151354110376 -0.749324139891667 3.9826287668099 -4.07455363802367 0.00353103875307499 0.0153180557807691 -2.28104776084769 0.0153180557807691 0.0220788205496704 scaffold_1 409256 409263 + 0 JGI_V11_231997
scaffold_11_1861914_1861920_- 11.958302144295 16.0981397194184 14.225380242057 7.0023671166421 5.40911375114473 8.57578998360276 7.77660883634539 8.35052223136025 -0.935138014161068 3.55251347651773 -3.54386391435046 0.00752827094170803 0.0261189938381223 -2.65155731716208 0.0261189938381223 0.022658116814502 scaffold_11 1861914 1861920 - 0 JGI_V11_232066
scaffold_12_754858_754866_+ 255.096007334744 273.539410153564 268.93029815002 12.9902082984728 13.5759809578058 100.026878202235 129.313950855838 105.825033444813 -4.08531622113528 6.76837780651535 -27.5678239401628 3.04778268874913e-09 7.26972365833886e-06 11.7467130095559 7.26972365833886e-06 0.0148739842371802 scaffold_12 754858 754866 + 1 JGI_V11_231992
scaffold_12_1037164_1037204_+ 95.2369624878944 107.683009957635 93.2388438490355 12.9906276450079 13.4656445456807 34.6103625116542 41.0386015237391 35.6125446205324 -2.664023015996 5.64187606837791 -18.8716075322666 6.13033525739491e-08 2.15011324773602e-05 9.12433958028167 2.15011324773602e-05 0.0160735992623885 scaffold_12 1037164 1037204 + 1 JGI_V11_126544
scaffold_141_56032_56080_- 39.8210705693297 47.2152864316697 40.507002744516 31.500612429285 25.9394846758378 24.2340966106269 26.9506007565779 29.1550225493501 -0.3736076208698 5.28658934656784 -2.43680425163316 0.040651225960904 0.088088427638652 -4.95345037141147 0.088088427638652 0.017830155444456 scaffold_141 56032 56080 - 0 JGI_V11_186885
scaffold_16_323272_323274_- 3.11606274489731 3.6771923321394 0.0154211074916677 16.0897000482239 24.2799634341908 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 3.53137266741929 1.32487011276058 4.11161574413576 0.00335425437332396 0.0147751343378966 -1.42333715630064 0.0147751343378966 0.0308369133757425 scaffold_16 323272 323274 - 0 JGI_V11_299808
scaffold_16_328250_328251_- 10.2262966541948 10.3739512057993 9.86781953377416 9.63272305099056 6.51338035884206 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 -0.150354004803572 1.91680316261001 -0.747035241891462 0.476339196161043 0.58042928581828 -6.71513126183234 0.58042928581828 0.0251465286784338 scaffold_16 328250 328251 - 0 JGI_V11_300012
scaffold_16_332925_332926_- 20.4766395932252 25.252608016774 29.361984198629 11.1278918056664 8.83091380666055 0 6.58604947163229 6.83637404030945 -1.09160808093712 3.42713345924417 -3.39278218673056 0.00940518954981861 0.0304787953526705 -3.24473612682225 0.0304787953526705 0.0284758341007553 scaffold_16 332925 332926 - 0 JGI_V11_299795
scaffold_163_129125_129128_- 12.8114751533747 13.9250243180608 15.6333851061535 4.64645760732661 0.00104107780977358 11.3289807530484 10.7420451772557 10.3918744644389 -2.9898963043128 3.18245665988866 -3.14222169356652 0.0136898637415242 0.0399923423018625 -2.651941609469 0.0399923423018625 0.02361329649595 scaffold_163 129125 129128 - 0 JGI_V11_93892
scaffold_163_129125_129128_-.1 12.8114751533747 13.9250243180608 15.6333851061535 4.64645760732661 0.00104107780977358 11.3289807530484 10.7420451772557 10.3918744644389 -2.9898963043128 3.18245665988866 -3.14222169356652 0.0136898637415242 0.0399923423018625 -2.651941609469 0.0399923423018625 0.02361329649595 scaffold_163 129125 129128 - 0 JGI_V11_204955
