Promoter_ID,mat_females_1,mat_females_2,mat_females_3,mat_males_1,mat_males_2,pE_females_1,pE_females_2,pE_females_3,logFC,AveExpr,t,P.Value,adj.P.Val,B,FDR,tw_dis,chr,start,end,strand,de
scaffold_47_127033_127078_-,17393.25053,21044.72247,17404.33607,105.6207176,75.9412665,5879.615421,5810.133172,4856.63369,-6.733495404,11.84956852,-42.05220178,1.05E-10,1.00E-06,14.60983785,1.00E-06,0.019807997,scaffold_47,127033,127078,-,1
scaffold_12_1046174_1046183_-,1274.663075,1326.648453,1609.165559,61.47528704,59.27144858,770.6883759,857.895934,917.2959104,-4.084415451,9.297638174,-31.94441857,9.42E-10,4.50E-06,12.97073875,4.50E-06,0.016327573,scaffold_12,1046174,1046183,-,1
scaffold_12_754858_754866_+,255.0960073,273.5394102,268.9302982,12.9902083,13.57598096,100.0268782,129.3139509,105.8250334,-3.569589274,6.768377807,-26.31046072,4.42E-09,7.15E-06,11.46651066,7.15E-06,0.014873984,scaffold_12,754858,754866,+,1
scaffold_12_1887548_1887561_+,869.7880725,931.3367733,1019.270636,60.85711599,55.40892118,380.0398754,512.3846474,382.2521058,-3.349307397,8.690816663,-24.82084788,7.02E-09,7.15E-06,11.23000141,7.15E-06,0.019812152,scaffold_12,1887548,1887561,+,1
scaffold_4_2993968_2993975_-,596.5931197,640.8633228,674.5829664,24.11269747,24.06173801,287.8371434,279.8658852,360.1718942,-4.095745678,7.998372678,-28.61779996,2.26E-09,7.15E-06,12.15445884,7.15E-06,0.016180937,scaffold_4,2993968,2993975,-,1
scaffold_72_512521_512528_+,1214.798078,1235.74688,1604.308961,52.98579259,47.90349602,744.1534231,558.0676233,719.9298183,-4.143657478,9.083518547,-24.70367984,7.29E-09,7.15E-06,11.19372367,7.15E-06,0.024054901,scaffold_72,512521,512528,+,1
scaffold_77_247104_247114_+,271.4333473,330.0418348,326.4712244,18.86985801,17.4397135,189.7028736,186.3298223,223.2983587,-3.660122442,7.272048051,-24.61594924,7.50E-09,7.15E-06,11.07985849,7.15E-06,0.016248377,scaffold_77,247104,247114,+,1
scaffold_88_276950_277005_-,759.5692117,851.7427058,804.715324,48.08622867,55.62730155,312.8177756,407.076361,311.6950115,-3.252684512,8.453156118,-25.45911166,5.74E-09,7.15E-06,11.41231279,7.15E-06,0.017235799,scaffold_88,276950,277005,-,1
scaffold_958_1392_1437_-,30437.94304,32651.9303,25153.6433,486.223863,330.6865094,11748.13429,9577.060672,7602.119162,-5.299896058,12.9309959,-25.01677989,6.59E-09,7.15E-06,11.2653146,7.15E-06,0.0354649,scaffold_958,1392,1437,-,1
scaffold_97_428994_429002_-,487.3948495,566.0440621,510.756821,35.88548048,26.05081932,310.068054,352.8725037,342.2349107,-3.673751614,8.019788821,-24.98898085,6.65E-09,7.15E-06,11.25278145,7.15E-06,0.013240942,scaffold_97,428994,429002,-,1
