logFC logCPM PValue FDR promoter_ID
JGI_V11_222925 -5.7234634697939 3.38447316285232 2.31288576779112e-05 0.000182150934055816 scaffold_53_425511_425513_-
JGI_V11_301125 -1.60896989431986 5.54602768444107 2.53122279255126e-05 0.000197210724533661 scaffold_23_865553_865558_-
JGI_V11_301153 5.88304306551492 3.63438277739585 5.2859793594507e-05 0.000375985574877784 scaffold_11_1267028_1267050_+
JGI_V11_100816 1.6793159348654 4.1684692386429 0.00360699096270921 0.0149491204612405 scaffold_1_630820_630852_-
JGI_V11_240344 5.25840611370579 2.37766732192998 0.0036102445879457 0.0149554494312407 scaffold_5_567169_567170_-
JGI_V11_299520 -1.60945547363433 3.49067261505464 0.00430336152131233 0.0171982458286984 scaffold_61_178450_178455_+
JGI_V11_210441 1.83334064044632 3.78738201129192 0.00689472538974085 0.0256705625754044 scaffold_164_260377_260408_-
JGI_V11_299714 0.877822322672028 5.78775973840344 0.00700088399995069 0.0260182488217146 scaffold_16_1047359_1047421_-
JGI_V11_318263 1.27015332186662 2.55178969737311 0.0785646024524951 0.184634975022792 scaffold_16_1586207_1586209_-
JGI_V11_382 0.406948435621672 6.69683804585889 0.0896039422060073 0.204857867867933 scaffold_89_40095_40137_-
JGI_V11_304009 4.11377326106403 2.58317462328068 0.0999618232485119 0.221909498670109 scaffold_13_1157990_1158012_-
JGI_V11_311335 0.406794691736579 4.76130321973451 0.309762415217264 0.509911198538216 scaffold_115_98947_99002_+
JGI_V11_311398 -0.676988373425228 3.43718541217316 0.313585230598056 0.515081439769205 scaffold_39_982477_982485_+
JGI_V11_226104 0.239715587761826 5.40850160698825 0.433341711006817 0.644474754371611 scaffold_31_608830_608911_+
JGI_V11_226732 0.1371562940505 6.02057714039485 0.642147373391388 0.824418593343748 scaffold_15_1325451_1325500_-
JGI_V11_307300 0.158849468033083 5.32174768259511 0.653036592379971 0.832158391361139 scaffold_2_34218_34324_-
JGI_V11_326156 0.123945110128355 4.25085368415895 0.843505623560037 0.96937234428867 scaffold_82_506860_506887_+
JGI_V11_299469 0.0653349235798947 6.07618312080144 0.850364068809531 0.974373502046524 scaffold_29_384897_384969_-
JGI_V11_299546 -0.0669786074426643 4.55709671639183 0.863025505461204 0.982289269037849 scaffold_100_414904_414950_-
JGI_V11_216737 0.07903329553987 3.54485073987685 0.987243124882271 1 scaffold_14_1391788_1391814_-
JGI_V11_237171 -0.0383757770513009 3.31967359748063 1 1 scaffold_6_2350787_2350795_+
JGI_V11_97929 0.0839911996838202 4.38260577221812 0.906366449853944 1 scaffold_72_331194_331334_-
JGI_V11_309099 -0.0606034651310925 2.67024617942042 1 1 scaffold_89_20896_20917_-
JGI_V11_308681 -0.0424203390898598 5.77999239146829 0.940032034148591 1 scaffold_94_435737_435795_+
JGI_V11_228408 -1.28692589377059 6.76677276940539 1.9130931478052e-07 2.57685549260586e-06 scaffold_1_563543_563715_+
JGI_V11_299529 -1.28692589377059 6.76677276940539 1.9130931478052e-07 2.57685549260586e-06 scaffold_1_563543_563715_+.1
JGI_V11_299604 12.3297529147984 8.18889658164226 5.49098724817046e-54 2.66260586419618e-51 scaffold_25_996147_996185_+
JGI_V11_230543 -1.89213920267453 5.28483326314565 2.66884680133477e-09 5.60347772742103e-08 scaffold_4_2822895_2822924_+
