mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC AveExpr t P.Value adj.P.Val B FDR tw_dis chr start end strand de
scaffold_1_51155_51224_+ 29.6784330291997 27.5671406582336 27.5258538843433 17.5523517125888 26.4534047340617 31.5570349528382 23.733636248165 34.5451960139759 -0.143519005173448 4.97572932966088 -1.48144407173442 0.179050277247479 0.302930327852259 -6.3465289132888 0.302930327852259 0.0218878857139856 scaffold_1 51155 51224 + 0
scaffold_1_100766_100796_+ 133.092210455506 110.542574722387 125.530130144398 148.113793621571 173.809791546173 156.083827447884 111.207981482015 150.944897945701 -0.195617060905025 7.30531423016884 -2.3405596643969 0.0492784088423548 0.123901737590543 -5.14988357140895 0.123901737590543 0.0204749803775028 scaffold_1 100766 100796 + 0
scaffold_1_120715_120736_+ 8.46705160150253 5.30442372554335 9.69141205511912 8.14218275199546 13.612536915731 5.09358150328123 5.18841056926057 9.93446941945723 0.00402205103714381 3.24625608311628 0.0179871434477562 0.986116206415174 0.990688765777991 -6.39103749343229 0.990688765777991 0.0294100756935277 scaffold_1 120715 120736 + 0
scaffold_1_123356_123357_+ 0.00747687246070172 0.00426258370349708 6.35802149544656 0 9.06774059240901 0 6.50053989915236 8.05585136239323 -0.80063333290802 1.19437580700917 -0.860526598166175 0.416037631015543 0.552132307654278 -5.20202201955233 0.552132307654278 0.477054159300542 scaffold_1 123356 123357 + 0
scaffold_1_157386_157461_+ 38.3776733592051 35.0354005820702 33.9399631764019 16.5806615485132 12.7352314687053 18.4852033846704 20.6938479912641 16.7403053295248 0.351197968332165 4.71586237868816 5.51726685385545 0.000691732753434521 0.00704506201923059 -0.558994624367608 0.00704506201923059 0.0189492207901641 scaffold_1 157386 157461 + 1
scaffold_1_162014_162063_+ 8.70483661359288 8.82691733161437 8.95408811007691 0 0 6.90688354504577 5.09654161920048 7.1828437762873 0.119017921933382 2.19652232819016 0.956284856607169 0.368597208900342 0.507014099450518 -5.97404725036482 0.507014099450518 0.0251133332810871 scaffold_1 162014 162063 + 0
scaffold_1_163697_163750_+ 32.9517027795346 34.8963506693171 34.3056381118345 32.6507235228661 26.906544025322 40.8954187411089 50.7568302287397 44.2655430102727 -0.312341578899449 5.41286473131798 -5.46477389360604 0.00073383743071592 0.0073046593909875 -0.689657611292747 0.0073046593909875 0.0172098860772792 scaffold_1 163697 163750 + 1
scaffold_1_168298_168301_+ 13.4374649360983 11.4094050300222 11.8797675984905 5.54559518356554 0.00316766237134702 11.707432358383 6.86719841849791 0 0.805202297821206 2.45951603566319 1.75494902667578 0.11966331767568 0.229565102466363 -4.75281470760597 0.229565102466363 0.0578127685944206 scaffold_1 168298 168301 + 0
scaffold_1_193052_193068_+ 19.5767327068177 17.6549675037846 17.8180587480557 29.9051069677676 18.2753466434733 17.8682162457938 7.96490480567796 9.3866935779448 0.250251223392942 4.25722779106502 1.56514131181025 0.158496575610595 0.279919788227726 -5.93277891451937 0.279919788227726 0.0310226507908465 scaffold_1 193052 193068 + 0
scaffold_1_213623_213627_+ 8.08261914734826 5.7114099218475 10.5343330289928 11.5383587912297 14.832630258544 9.23831023259824 12.6238960030728 9.90848982565774 -0.313486163397177 3.58991348915686 -2.23763675833348 0.0576357874847235 0.137512939071448 -4.54517651337461 0.137512939071448 0.024832938090755 scaffold_1 213623 213627 + 0
scaffold_1_216878_216897_+ 5.59892044361504 6.78753567658232 5.84732802146797 6.90711535839782 5.75849291342516 6.26818722086542 5.56327932370563 6.49646780230999 -0.111886187221423 2.93109818022684 -0.762168293272123 0.469141506034692 0.599406267998905 -5.95038030084797 0.599406267998905 0.0247810717838201 scaffold_1 216878 216897 + 0
scaffold_1_224681_224753_+ 39.8374845078853 74.9352141438752 69.8981704562165 72.7276217509694 178.326255784977 55.7709556438668 85.2097844738583 38.9167108636876 -0.083203910432589 6.31676365401 -0.407269477414218 0.69513321170961 0.795073738609341 -7.40468350286973 0.795073738609341 0.0965387945839082 scaffold_1 224681 224753 + 0
scaffold_1_226515_226518_+ 32.6447674218647 43.2990267353999 28.5913081230174 36.1556040791121 34.8748083655102 24.5638828555843 16.6975948366604 9.364856959858 0.440103672327826 4.92150055700172 2.8671969067469 0.0222693486621208 0.0717622713374608 -4.23486329036887 0.0717622713374608 0.0326046771751132 scaffold_1 226515 226518 + 0
scaffold_1_230668_230676_+ 18.7325498771368 24.7004571573011 15.7678474836226 22.1156253689635 13.9560141064635 24.037298897993 11.3050694784526 10.2296648617 0.115816784807387 4.31352591299417 0.669349479374406 0.523247113704922 0.646333337655207 -7.03542477841169 0.646333337655207 0.0401834964678762 scaffold_1 230668 230676 + 0
scaffold_1_234773_234777_+ 10.1758289065428 10.5881011526846 7.37000572797104 10.5451154449934 10.0754627714458 9.79168565509714 5.93962796659832 0 0.69045403622051 2.92055020386457 1.62614594961067 0.144897275828763 0.263574305066862 -4.84902269827049 0.263574305066862 0.0356998871491946 scaffold_1 234773 234777 + 0
scaffold_1_338755_338789_+ 29.548789241668 40.9967490086946 35.4374072916404 0 0 8.60194125412637 8.80968389843615 11.2905770093471 0.805901982913137 3.12578473523576 7.60953416150532 8.5705612193788e-05 0.00268262336065909 1.95700384096657 0.00268262336065909 0.0236663507260078 scaffold_1 338755 338789 + 1
scaffold_1_342988_343020_+ 25.4061531534666 26.2033045041871 21.6018403396706 20.2303367359458 13.0697491290061 22.9537003516472 20.1290680802329 18.9635432333096 0.00542730653675161 4.60559553662289 0.0624626543293979 0.951819292830038 0.969832250647202 -7.37754177491837 0.969832250647202 0.0210315940924879 scaffold_1 342988 343020 + 0
scaffold_1_387210_387364_+ 52.3066607602303 55.2677762809678 61.2400978772836 25.3667537101886 21.3702450041957 24.0106205579782 22.2600126400377 25.3025300662753 0.498803700900997 5.25473474055332 8.29779670191247 4.75089133966694e-05 0.00195073897225115 2.31179248054414 0.00195073897225115 0.0171381814693783 scaffold_1 387210 387364 + 1
