"mat_females_1" "mat_females_2" "mat_females_3" "mat_males_1" "mat_males_2" "pE_females_1" "pE_females_2" "pE_females_3" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "FDR" "tw_dis" "chr" "start" "end" "strand" "de" "gene"
"scaffold_1_157406_157461_+" 31.0568919218073 27.4434737957641 28.7380916420139 11.8758767907936 9.93451760203346 15.4542608060167 17.5103050634749 14.305811664087 0.642537448906927 4.46556986087367 5.1051748166452 0.000912589819143044 0.00961503619163714 -0.749543600374862 0.00961503619163714 0.0193109031344183 "scaffold_1" 157406 157461 "+" 1 "JGI_V11_219913"
"scaffold_1_338755_338789_+" 24.3015063021073 33.971359643617 29.3035491256875 1.38777878078145e-17 1.38777878078145e-17 6.87437633624803 7.86999201691921 9.725152394758 1.55914664835632 2.98904945194295 7.81687086677179 5.04480196341034e-05 0.00178931061460587 2.45482951055441 0.00178931061460587 0.023528550024221 "scaffold_1" 338755 338789 "+" 1 "JGI_V11_309510"
"scaffold_1_387218_387361_+" 43.7248554585024 46.5481906639055 50.2403861746375 20.2585221963104 14.9022926169454 18.3151938719057 16.8508283197888 18.7508545174329 1.13435571676193 4.95355828533101 7.86470309354014 4.82817065720158e-05 0.00174490819092274 2.35908114012527 0.00174490819092274 0.0182520225624911 "scaffold_1" 387218 387361 "+" 1 "JGI_V11_219940"
"scaffold_1_409256_409263_+" 25.7538152138738 21.0362585115483 27.385044867161 14.254170297944 11.148994262285 5.60474216393383 8.15640867590563 6.30151354110376 1.58738465131605 3.9826287668099 6.9252832160922 0.00011911234842791 0.00284824791065337 1.64810178841708 0.00284824791065337 0.0220788205496704 "scaffold_1" 409256 409263 "+" 1 "JGI_V11_299604"
"scaffold_1_517725_517731_+" 13.9776280578084 10.2581410865405 19.5788505156868 28.0709438792606 44.1460059509105 177.956554107114 170.586142971869 197.383024759953 -3.86249070634051 5.80796561851127 -15.3731361962297 3.0566014871648e-07 0.000126795803430606 7.54816560871041 0.000126795803430606 0.0227201104841087 "scaffold_1" 517725 517731 "+" 1 "JGI_V11_309533"
"scaffold_1_1515529_1515538_+" 45.8210417285114 47.634980078217 44.9583044083012 26.9952882177151 24.062507966841 133.923059385355 122.796921078513 137.208631617365 -1.72153149776707 6.14437388923174 -15.391460145602 3.02835213493568e-07 0.000126795803430606 7.57439510426275 0.000126795803430606 0.0139038397235948 "scaffold_1" 1515529 1515538 "+" 1 "JGI_V11_300053"
"scaffold_1_1591712_1591715_+" 12.6429497023253 11.1988201476155 12.6096928783996 10.8512839840265 15.4509289746674 20.3178178426922 21.4823957853257 25.5812236490973 -1.07728391146865 4.25355213925495 -6.33120886527177 0.000221330601523632 0.00411910881622814 0.811134974875958 0.00411910881622814 0.0211883290276653 "scaffold_1" 1591712 1591715 "+" 1 "JGI_V11_300058"
"scaffold_1_1647765_1647798_+" 38.4810521483946 38.49279387555 37.4642829978778 3.23990409442131 4.74560252900508 14.6053947906233 17.4188863341682 14.1365519165571 1.06400794936204 4.25831047160449 9.20052652350873 1.53467596619595e-05 0.000957015908070298 3.58610650383469 0.000957015908070298 0.0189834910059055 "scaffold_1" 1647765 1647798 "+" 1 "JGI_V11_220051"
"scaffold_1_1868881_1868934_+" 67.7600791651326 76.0174199480597 66.1158798714576 37.6010145687628 39.8447279688306 39.4888511930564 43.9124263515137 33.2091743168481 0.622073371119623 5.85860686514362 5.05518482868763 0.000971027215048337 0.00995120371511942 -0.914119927184363 0.00995120371511942 0.0163621069931608 "scaffold_1" 1868881 1868934 "+" 1 "JGI_V11_205195"
"scaffold_1_2298519_2298523_+" 22.0858928696727 20.6150757225416 20.9618246584886 42.2603718115083 30.5763842480852 43.1057505784017 35.9320064364482 30.6508862512402 -0.981171076324525 5.16212606798663 -5.57092648411561 0.000520479109897953 0.00682278907594438 -0.188309308640895 0.00682278907594438 0.0214222063590881 "scaffold_1" 2298519 2298523 "+" 1 "JGI_V11_309801"
"scaffold_1_2860053_2860079_+" 36.064969658848 35.6303207185352 37.8296179529126 115.213971910276 102.208060998186 81.3243913906118 68.8080048171064 63.0353230503005 -1.1673098090814 6.20364741655868 -9.12422838021349 1.63221541815864e-05 0.000996795238956004 3.46687593848374 0.000996795238956004 0.0163537038581053 "scaffold_1" 2860053 2860079 "+" 1 "JGI_V11_299926"
"scaffold_1_2864168_2864314_+" 54.800642076794 51.6092031647519 61.7985191382886 74.0711545775327 86.4213593798381 80.0228604386172 81.7702816315785 98.5401818790578 -0.846929179416977 6.43064625125768 -6.19266605623534 0.000257257527737119 0.0044790037812771 0.506869234506447 0.0044790037812771 0.0163892544000611 "scaffold_1" 2864168 2864314 "+" 1 "JGI_V11_220202"
"scaffold_1_683391_683447_-" 44.8060660555077 45.3180989107669 45.0459527364548 24.6182691279041 22.7377548350404 18.8376336738438 22.1405394426955 20.1081086776236 0.906019463781705 5.10759634473589 8.50218412243889 2.74303393517373e-05 0.00126251853552082 2.95062435947404 0.00126251853552082 0.0168201426824105 "scaffold_1" 683391 683447 "-" 1 "JGI_V11_300021"
"scaffold_1_1863874_1863879_-" 13.1255253975999 13.6561502665795 17.4228650154589 20.8354372861413 30.5710976569475 32.4992569732748 30.7415284171565 34.9478607873886 -1.35650115291737 4.78672898803204 -7.492713146072 6.83131670288271e-05 0.00211949862768883 2.01903294849523 0.00211949862768883 0.0208714753907038 "scaffold_1" 1863874 1863879 "-" 1 "JGI_V11_299857"
